Id|Description|Speaker|Text
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|…继续，陌生人。很多暗灵都期待着能与你在外面打一场。
PatroclusFirstMeeting|Patroclus First Meeting|Zagreus|我只是路过。你看上去比其他人要更和平一点。容我问一下你的名字，先生。我是扎格列欧斯。
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|名字是会被忘记的，陌生人。你不应该在这里，愿命运三女神眷顾你。不过，万一她们没有的话，拿着这个吧。
PatroclusMeeting02|Patroclus Meeting 02|Zagreus|有什么问题吗，先生？我是说，你不是应该为了永恒的骄傲和荣耀而战吗？
PatroclusMeeting02|Patroclus Meeting 02|Patroclus|那又有什么意义呢？如果别人问起来，我就说我们打过了。走吧，我也不想跟你有争执。我猜我会一直呆在这里，呆到地老天荒吧。祝你愉快……不用管时间了。
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|还是在至福乐土受苦啊。以荣耀之名，与我的弟兄们战斗。
PatroclusMeeting03|Patroclus Meeting 03|Zagreus|我要去凡界。但是你的弟兄们拖慢了我的速度。不管是因为荣誉还是因为我父亲的要求。
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|你父亲…？啊，没错，你是王子，对吧。你也清楚看到了，你与生俱来的能力：其实也不比我们这里的人好多少。走吧。
PatroclusMeeting04|Patroclus Meeting 04|Patroclus|又是你。我说了离我远点。你父亲也许是个大人物，但是这跟我没关系，知道吗？走吧，告诉你父亲他大可把我扔进塔耳塔罗斯深渊，我不在乎。那应该比在这里要有趣得多。
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|上回是我不对，陌生人。请原谅我的失礼。不原谅也可以。但我希望向你道歉。
PatroclusMeeting05|Patroclus Meeting 05|Zagreus|没事，先生。如果有什么事我可以帮上忙，请尽管说，好吗？
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|恐怕你没有能够将我从这里放走的力量。所以，你忙你自己的事情去吧，不用管我。
PatroclusMeeting06|Patroclus Meeting 06|Patroclus|陌生人，我警告你：如果你继续像这样出现在我面前，我就要给你找个新外号了。
PatroclusMeeting06|Patroclus Meeting 06|Zagreus|不用麻烦了，先生。我们只是刚认识而已。我对你也是一无所知。
PatroclusMeeting06|Patroclus Meeting 06|Patroclus|那你最好离开。这个地方只提供给最伟大的希腊人。我看上去像是这样的人吗？去跟忒修斯谈谈吧，或者其他的什么类似的人。
PatroclusMeeting07|Patroclus Meeting 07|Patroclus|告诉我吧，陌生人，如果可以的话。你为什么老是碰到我…？我还以为这是至福乐土最偏远的地方。
PatroclusMeeting07|Patroclus Meeting 07|Zagreus|不断变化的冥界房间包含了相当多的可能性。我以为我们的会面只是巧合罢了。
PatroclusMeeting07|Patroclus Meeting 07|Patroclus|当你觉得这一切不可思议的时候，那就是命运之神在作怪了。或者其他的什么原因。我不知道该不该相信你，但是我知道，我现在要你离开。
