Id|Description|Speaker|Text
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Megaera|……你又一次帮助了他，下次让我见到你，我会好好赏你一顿鞭子。等我回来的时候，如果这块小石头还原地不动，没被推上去，你就等着好好挨鞭子吧。
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Sisyphus|听起来不错，真不错，女士。真的是非常公平公正，我会记住的！回头再见！
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Megaera|……你要继续向上推那块大石头，因为这对你有好处，你这个小骗子。别以为我看不见。
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Sisyphus|您的警惕性可真高，女士。我马上就把这个石头推到顶，虽说我从来没成功过！
MegaeraWithSisyphus03|Megaera With Sisyphus 03|Megaera|……等我处理好这次王子殿下的事务，我们就会回到正轨上来。到那时，最好让我看到你的巨石已经在山顶了。
MegaeraWithSisyphus03|Megaera With Sisyphus 03|Sisyphus|完全没问题，女士，我将继续与石头，*嗯*，就是这块儿大石头，我会继续夜以继日地推它上山，和以前一样！失陪了！
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|……最后，以后你不准向扎格列欧斯王子提供任何帮助。明白吗？
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Sisyphus|哎呀，当然了，塔纳托斯大人，这种事情我想都不会想！再说了，我的脑子已经被推石头技巧大全占满了，哪有工夫想那种事情。
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|够了！你忙你的吧，我也要回去做点正事儿了。
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Sisyphus|我明白了，塔纳托斯大人，我会照您说的做。我再也不帮助扎格列欧斯王子了，这次绝对保证。
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Thanatos|很好，如果我发现你敢骗我的话，我恐怕就要给你点颜色看看了。你最好别让这种事情发生。
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|……你要是识相的话，下次最好按我说的做，考虑考虑蒙骗我的后果。死亡的滋味是可以让人痛不欲生的，你肯定明白这一点吧。
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Sisyphus|这就是问题所在，塔纳托斯大人。恕我直言，我从来不怎么惧怕你们这些神。就我所知，你们当中没有哪一个的烦恼比我们凡人少，除了你们不需要畏惧死亡。
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|关于神明的烦恼，你又知道些什么？现在，你有无穷无尽的时间来反思自己的罪过。或许等过个几百万年，我可以再来见你一面，看看你有没有什么长进。
SisyphusFirstMeeting|Sisyphus First Meeting|Sisyphus|嘿，扎王子。我可没坐在石头上偷懒噢…我刚准备站起来呢。复仇女神三姐妹一般都不会这样不管我的。她们去哪儿了？还有…你在这里做什么？
SisyphusFirstMeeting|Sisyphus First Meeting|Zagreus|噢，没什么，就是出来逛两圈。不过，请你帮个忙，如果你见到复仇女神三姐妹，告诉她们我打道回府了，好吗…？
SisyphusFirstMeeting|Sisyphus First Meeting|Sisyphus|噢，我会告诉她们的，我明白你的意思，殿下。那我就继续去忙我自己的事情了，你保重。
SisyphusMeeting02_A|Sisyphus Meeting 02 A|Sisyphus|扎格王子，没想到这么久之后还能见到你。圣殿发生什么事情了吗，还是？只是近来有点孤单而已。
SisyphusMeeting02_A|Sisyphus Meeting 02 A|Zagreus|哦，家里有些事情始终不太对劲，先生。我觉得多检查检查塔耳塔罗斯的情况，也不会有什么坏处。
SisyphusMeeting02_A|Sisyphus Meeting 02 A|Sisyphus|我和我的巨石老友都特别感谢你。我习惯了自己一个人干着这永无止境的活计，但时不时有几个来访的客人也不错！
SisyphusMeeting02|Sisyphus Meeting 02|Sisyphus|恕我冒昧，殿下……我想知道，是什么让你又回到这里来？跟上次一样吗？
SisyphusMeeting02|Sisyphus Meeting 02|Zagreus|我得跟你说实话，西西弗斯。我要离开圣殿。我受够了。你知道我是认真的，我要去凡间。
SisyphusMeeting02|Sisyphus Meeting 02|Sisyphus|*哎哟*，那可真是番大事业呢，王子。老实说，要不是从你口中说出来的，我还以为这人疯了呢。不过想要成功也可以说是疯了。那好嘞，希望你可以成功，祝好运！
SisyphusMeeting03|Sisyphus Meeting 03|Sisyphus|嘿，王子，逃脱计划怎么样了？
SisyphusMeeting03|Sisyphus Meeting 03|Zagreus|还算可以吧，所有事情计划周全了。死来死去的话有点艰难，不过，也没有其他办法了。
SisyphusMeeting03|Sisyphus Meeting 03|Sisyphus|哎，别灰心。我呢，早就放弃逃出这里了，但如果我是跟你一样的脚下生火的小伙子，也许我会选择坚持下去。
SisyphusMeeting04|Sisyphus Meeting 04|Sisyphus|嘿，殿下，有什么事吗，还是刚好路过？很高兴我们能这样聊天。
SisyphusMeeting04|Sisyphus Meeting 04|Zagreus|西西弗斯，你不要会错意了啊，但是…你为什么要帮我？我父亲把你困在这里永远惩罚你，但你对我却依旧笑容满面。
SisyphusMeeting04|Sisyphus Meeting 04|Sisyphus|*哈*！听我说，扎格王子，我就是这样的人啊！再说，你又不是你父亲，感谢诸神！在我看来你是一个很正派的小伙子，如果你说自己要逃离这里，我还是会认同你的。
