Id|Description|Speaker|Text
InspectHouse01|Inspect House 01|Storyteller|*冥王圣殿：这漆黑奢华的巢穴里，住着的并不单单只有冥王一个人，还有他执拗的子嗣。*
InspectLoungeClosed01|Inspect Lounge Closed 01|Storyteller|*冥王圣殿曾经的休息室现已被封闭，只剩一片废墟，因为三头犬刻耳柏洛斯忆主心切，一边哀嗥一边将这地儿毁了个精光。*
InspectShades01|Inspect Shades 01|Storyteller|*亡者的幽灵们时常在这里徘徊，抱怨自己苦难的同时也会寻找愿意倾听自己的人。*
InspectLoungeOpen01|Inspect Lounge Open 01|Storyteller|*冥王圣殿的休息室本来是让这里的居民们放松活跃的地方，可这里还是显得沉闷十足。*
InspectEmployeeOfTheMonth01|Inspect Employee Of The Month 01|Storyteller|*休息室里一面坚实的墙壁上挂着一块板子，用以表彰那些为冥王哈迪斯鞠躬尽瘁的人。*
InspectCellar01|Inspect Cellar 01|Storyteller|* 冥王哈迪斯圣殿的酒窖里藏着许多古老的佳酿……几乎没人品尝过这些陈酿令人沉醉的味道，至于允许接近酒窖的人，就更屈指可数了。*
InspectCellar01|Inspect Cellar 01|Storyteller|* 冥王圣殿里的酒桶在某个盛宴坚执地抵抗了奥林匹斯众神的饥渴，现在只剩下一片空虚。*
InspectOlympusSculpture01|Inspect Olympus Sculpture 01|Storyteller|*冥王的亲人赠送了一座用真正的山石精心打造的奥林匹斯山作为告别礼物，它那镀金的宏伟的轮廓即使是在幽暗的冥王圣殿中也闪耀着永恒的光芒。*
InspectMural01|Inspect Mural 01|Storyteller|*这副错综复杂的巨大马赛克绘画，描绘了冥王掌控着自己广阔领地的情形，而他的冥界子民们则敬畏地望着他。*
InspectThrone01|Inspect Throne 01|Storyteller|*冥王哈迪斯的威严王座非常少有地空了出来；而大家都忙着自己的事情，不敢询问其中的缘由。*
InspectHouseGarden01|Inspect House Garden 01|Storyteller|* 王子从未去过冥后珀耳塞福涅的花园，如今，这座光彩照人的花园终于向他敞开了大门。*
Flashback02|Flashback 02|Storyteller|*他小心翼翼地走向威严的王座，心想着可能会被逮到，但没想着会在那找到什么。*
Flashback03|Flashback 03|Storyteller|*他不确定自己到底在找什么。但总有什么东西让他感到浑身不自在，感觉自己不属于这里。他的身世到底如何？冥王哈迪斯不曾回答过这种问题。既然如此，扎格列欧斯王子只能自己去寻找答案了。*
Flashback04|Flashback 04|Storyteller|*他翻遍了父亲大人的所有。完全没有找到关键信息。不论是账簿，行政文件。还是父亲从来不看的来自奥林匹斯的通信文件。都没有一字一句提到他的儿子。*
Flashback05|Flashback 05|Storyteller|*不过，王子发现了一张字条……上面有着他从未见闻过的优美字迹以及动听的声音。*
Flashback05|Flashback 05|Persephone|*“哈迪斯：我不想再在这个地方折磨自己了。我要离开，付出生命的代价也在所不惜。我不会再回奥林匹斯。如果这世界有可以包容我的地方，那它一定在天堂与地狱之间。也许是在海岸边，附带一个小花园。照顾好刻耳柏洛斯；我会想他的。”*
Flashback05|Flashback 05|Storyteller|*母亲写下的字条内容深深吸引了扎格列欧斯，这位冥界的王子。*
Flashback05|Flashback 05|Zagreus|母亲写下的字条，母亲写下的，等等，*你说什么*？！你是说，这个叫珀尔塞福涅的人，她是……我母亲……？可，可我父亲一直说，说倪克斯才是我的……那个骗子。他骗我，他们两个都在骗我，把我蒙在鼓里！
Flashback05|Flashback 05|Storyteller|*咳咳，就这样，王子在不经意间解开了自己的身世之谜。完完全全的偶然，没错……*
Flashback06|Flashback 06|Storyteller|*珀尔塞福涅……曾经的冥后……她去哪儿了，她为什么要走？带着满心的疑问和怒气，王子决定与冥界之主当面对质。*
Flashback_DayNightJob_02|Flashback Day Night Job 02|Storyteller|*拒绝承担责任的王子在父亲的大厅里大步流星地走着。这种时候，他本该表现出一定程度的紧迫感，但他完全没有在意大家的期望。*
Flashback_DayNightJob_03|Flashback Day Night Job 03|Storyteller|*管理大厅的大门就在大厅的另一边向他招手。王子大概以为自己可以在不引起别人注意的情况下，悄悄地溜进去。*
Inspect_HousePillars_01|Inspect House Pillars 01|Storyteller|*在这地下数之不尽的华美宝石中，很多都拿来装饰冥王圣殿，死亡之神，财富之神。*
Inspect_NorthFountain_01|Inspect North Fountain 01|Storyteller|*水是生命之源，但它仍在冥界最黑暗的深处流动着，那些焦躁不安的凡躯暗灵们一看到它，就会回想起自己也曾饮水呼吸的短暂生命。*
Inspect_SouthFountain_01|Inspect South Fountain 01|Storyteller|*王子为这屋中修建了优雅的喷泉，从那时起，见证此事的暗灵无不思念着这位身着璀璨宝石的王子。*
Inspect_Cauldron_01|Inspect Cauldron 01|Storyteller|*尽管死人完全不用进食，但他们依然会大开餐宴，藉着这样的凡间习俗来寻得一丝安宁。*
Inspect_KitchenIsland|Inspect Kitchen Island|Storyteller|*虽然对冥王圣殿的厨房进行了大量投资，不过饥肠辘辘的扎格列欧斯还是找不到什么可口的食物。*
Inspect_PoetBust_01|Inspect Poet Bust 01|Storyteller|*如今，圣殿的画廊里摆着一尊杰出诗人的半身像，与他本人年龄相仿，带着一股粗犷的帅气劲儿。虽说他现在还没像命中注定的那般名声大噪，不过日后应该会变得更有名气吧。*
Inspect_AsphodelStatue_01|Inspect Asphodel Statue 01|Storyteller|*一个无血僵尸的苍白面容装饰着圣殿，为冥王那些残酷手下象征一道敬意。*
Inspect_WarriorStatue_01|Inspect Warrior Statue 01|Storyteller|*希腊有史以来最伟大的英雄之一的雕像，如今成了圣殿画廊的精美装饰。而大多数的观赏者都明白，这位雕像人物的很多方面，他们都望尘莫及。*
Inspect_MainHallFireplace01|Inspect Main Hall Fireplace 01|Storyteller|*地狱最深处的火焰发出的柔和光芒，照亮了休息室的区域，它的温暖抚慰了休息室里为数不多的居民。*
Inspect_Sundial01|Inspect Sundial 01|Storyteller|*在永恒的死亡国度之中，似乎连时间也变得停滞不前了，死者们用来度量时间的单位便证明了这一点。*
Flashback_Mother_01|Flashback Mother 01|Storyteller|*在一个深夜，或者这个国度里与之相近的场景。冥界王子扎格列欧斯从断续的睡眠中醒来，迷迷糊糊。*
Flashback_DayNightJob_01|Flashback Day Night Job 01|Storyteller|*熟睡不醒的冥界王子终于醒了。他原本只打算小睡一会儿，来缓解自己彻夜的疲劳，但他发现那恐怕并不是什么“小”睡……*
InspectBedroom01|Inspect Bedroom 01|Storyteller|*王子的卧室可以说是一团混乱。尽管他的国王，冥王圣殿的主人，再三叮嘱他记得收拾房间。*
InspectBedroom_TrojanArms|Inspect Bedroom Trojan Arms|Storyteller|*围攻伊利昂的武器碎片已经沦为王子凌乱小窝的窗饰了。*
InspectBedroom_AchillesPoster|Inspect Bedroom Achilles Poster|Storyteller|*无畏的阿喀琉斯的不朽英勇挂在王子房间的墙上，仿佛从中可以唤起额外的勇气。*
InspectBedroom_AphroditePoster|Inspect Bedroom Aphrodite Poster|Storyteller|*女神阿弗洛狄忒的样貌装饰着王子的卧室，也许下一次死亡的时候能给予些许安慰吧。*
InspectBedroom_DionysusPoster|Inspect Bedroom Dionysus Poster|Storyteller|*酒神迪奥尼索司那张满是酒气、欢天喜地的笑脸，如今成了王子房间墙上的装饰品，散发着让人走上歧途的气场。*
InspectBedroom_ScryingPool|Inspect Bedroom Scrying Pool|Storyteller|*带有华丽装饰、精致魔法的碗，上面显示的是倒霉的王子之前企图逃离冥界的踪迹。现在这碗在房间的一个凌乱角落占有一席之地。*
InspectBedroom_Lyre|Inspect Bedroom Lyre|Storyteller|*喜欢大吵大闹的王子，房间里多了一件精致的乐器。要是它也能有意识的话，它肯定会担心王子会笨手笨脚地去碰它。*
InspectBedroomGamingTable01|Inspect Bedroom Gaming Table 01|Storyteller|*如今，在热衷享乐的王子的房间里，摆着一件完全为娱乐目的而雕琢出来的精致雕塑。不过由于缺乏衬托，它显得没那么亮眼。*
InspectBedroomRug01|Inspect Bedroom Rug 01|Storyteller|*由于王子的双脚包裹在火焰之中，尽管他得到了那些厚实的棉织地毯，他恐怕没法充分感受那柔软的触感。*
InspectBedroom_FancyBed|Inspect Bedroom Fancy Bed|Storyteller|*扎格列欧斯王子的新寝具装饰着以死亡为主题的刺绣，柔软性也恰到好处，这让所有渴望安息的人羡慕不已。*
InspectBedroomCouch01|Inspect Bedroom Couch 01|Storyteller|*即便房间里摆着一张如此柔软、舒适的座椅，精力过剩的王子还是没法老老实实地坐在上面。*
InspectBedroomWeights01|Inspect Bedroom Weights 01|Storyteller|*一套巨大的举重器材被特意放置在了来访者的视线范围内，毫无疑问，这会让他们误以为王子更强壮、更有肌肉。*
InspectBedroom_QuestLog|Inspect Bedroom Quest Log|Storyteller|*这位不认命的王子或许认为，他之所以能获得这张小预言命运清单是因为自己一次次正确的抉择，但实际上，那是命中注定的。*
Flashback01|Flashback 01|Storyteller|*这时候一切都很安静；永远睡不醒的修普诺斯给这屋里施了咒语，这正是执拗的扎格列欧斯所要求的。除了王子以外，大家都陷入昏睡。正如他所计划的。*
Inspect_DeathAreaBedroomHades_Portrait_01|Inspect Death Area Bedroom Hades Portrait 01|Storyteller|*在他父亲大人的私密房间里，门锁破坏者——扎格列欧斯发现了一幅极为精美的画，那上面不是别人，正是珀尔塞福涅。那上面蒙附的尘埃诉说着它已在此处沉眠许久。*
Inspect_DeathAreaBedroomHades_Capes_01|Inspect Death Area Bedroom Hades Capes 01|Storyteller|*这位禁欲主义的圣殿主人拥有着超乎想像的财富，而他只花了其中很少的一部分，给自己购置了一套朴素的衣服，每天都穿。*
Inspect_DeathAreaOffice_Teleporter_01|Inspect Death Area Office Teleporter 01|Storyteller|*管理大厅的角落里，放置着圣殿之中最古老的印记：那是命运赋予的统治整个地下世界的权力的象征，持有它就可以在这世界里自由穿行。*
Inspect_DeathAreaOffice_WaterCooler01|Inspect Death Area Office Water Cooler 01|Storyteller|*那些在管理大厅里没日没夜工作的死神仆从们，如今可以喝到清凉、纯净的冥河水，想喝多少都可以。*
