Id|Description|Speaker|Text
Text|Text|Zagreus|……我……墨纪，我非常荣幸，你对我十分重要，只不过……这不是我想从我们之间的关系中得到的东西。恐怕是我骗了你。原谅我。我们还可以继续做朋友吧？
Text|Text|Megaera|……这真的是你想要的吗……？想和我交朋友？*呵*，我是真的搞不懂你啊，扎格。不过，既然我们已经一起做过那么多事情了，不如这次就按你说的办吧？我们到时候见吧。
Text|Text|Megaera|……你确定？听着，我……完全没放在心上。那我们回头再见。
Text|Text|Zagreus|……我真的这么觉得。有时候我需要放慢节奏。我们最近的关系越来越好，我也感到非常欣慰。但我的情绪有点过于激动。请你原谅。你是我的好朋友。我不想伤害你。或者其他人。
Text|Text|Thanatos|我……哦，我知道，我明白的，你也是我亲爱的朋友。虽然我们最近做了不少破坏友谊的事情，不过我们还是朋友，对吧？多保重，扎格，下次再见。
Text|Text|Zagreus|……再见了。
Text|Text|Zagreus|塔纳……*哈哈哈*，我很高兴！只是……你知道吗，墨纪拉也在这里……？
Text|Text|Thanatos|*哧。*我认识墨纪拉可比你早得多。你以为在这件事情上是谁说服我的？
Text|Text|Zagreus|哈！难道是她？很好！不错。
Text|Text|Thanatos|你确定吗？嗯……我明白。我现在最好重新肩负起自己的责任。
Text|Text|Zagreus|……再见，塔纳。
Text|Text|Zagreus|……嘿……你看，我很在乎你，很在乎你们两个。你看，我很高兴我们的关系变得这么亲密……很高兴你们的关系变得这么亲密，不用像以前那样剑拔弩张。可是，我觉得我稍微有点接受不了。
Text|Text|Megaera|……你确定吗？你看……这一点问题都没有。你已经承受很大的压力了，我们下次见吧。
Text|Text|Thanatos|改天再和你说，可以吗？
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|塔纳托斯……！我正要叫你进来呢，这不……你就来了。很高兴见到你。
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|告诉我一件事，扎格列欧斯。上次你说的话是真心的吗，就是……或许我们应该……慢慢来？
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|我只是……不想给你太多压力，塔纳。我知道发生了太多的事。而且我想让你知道……对我来说，在这件事上我不会冲动。我会等你，不管多长时间。
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|*咳！*你根本就不知道哪些事情需要冲动，哪些需要克制。你说你会等，好，那我问你：你在等什么？你在等什么，我就在这里啊。不是吗……？
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|塔纳……！*哈哈哈*，你说的没错！
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|嘿，塔纳，听好了……有什么就说什么，我不喜欢你一直这样保持沉默，你究竟在想什么？
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|很多事情。而且你会慢慢喜欢上这样的我，扎格。我的意思是……不要对我的沉默产生误会，好吗？不过，我现在得继续忙了，工作进度有点落后……回聊。如果可以的话。
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|当然可以了。没问题。
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Megaera|扎格列欧斯，你房间又没有门，你怎么老是这么惊讶？
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Zagreus|*嗳*，等下，墨纪，塔纳，你们……你们两个……什么情况？总之，这里发生的事情我都可以解释……等等，你们怎么都在笑。哦……让我……让我先冷静一下。
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Megaera|你对我和塔纳托斯实在是太不放心了，扎格，我们认识的时间比你活着的时间都长。
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Thanatos|这么说吧，到目前为止，我们已经对彼此相当了解了。是这样吧，墨纪拉？
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Megaera|你看不出来我们现在不在上班吗，扎格列欧斯？
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Zagreus|*哈*！好吧……如果这是个梦的话，那我肯定要气急败坏了。不过……我猜只有一个办法能弄清楚了。
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Zagreus|呼，好了，现在，呃，我刚刚说到哪儿了……
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Megaera|很好！我觉得我们已经达成了共识。我得走了，下次见，扎格，塔纳托斯。
MegaeraWithThanatosBedroom01|Duo - Megaera and Thanatos Bedroom (1)|Zagreus|哎呀，这，这可真是……这可真是……*嗯嗯*。
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Thanatos|……最后，以后你不准向扎格列欧斯王子提供任何帮助。明白吗？
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Sisyphus|哎呀，当然了，塔纳托斯大人，这种事情我想都不会想！再说了，我的脑子已经被推石头技巧大全占满了，哪有工夫想那种事情。
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Thanatos|够了！你忙你的吧，我也要回去做点正事儿了。
ThanatosWithSisyphus02|Duo - Thanatos and Sisyphus (2)|Sisyphus|我明白了，塔纳托斯大人，我会照您说的做。我再也不帮助扎格列欧斯王子了，这次绝对保证。
ThanatosWithSisyphus02|Duo - Thanatos and Sisyphus (2)|Thanatos|很好，如果我发现你敢骗我的话，我恐怕就要给你点颜色看看了。你最好别让这种事情发生。
ThanatosWithSisyphus03|Duo - Thanatos and Sisyphus (3)|Thanatos|……你要是识相的话，下次最好按我说的做，考虑考虑蒙骗我的后果。死亡的滋味是可以让人痛不欲生的，你肯定明白这一点吧。
ThanatosWithSisyphus03|Duo - Thanatos and Sisyphus (3)|Sisyphus|这就是问题所在，塔纳托斯大人。恕我直言，我从来不怎么惧怕你们这些神。就我所知，你们当中没有哪一个的烦恼比我们凡人少，除了你们不需要畏惧死亡。
ThanatosWithSisyphus03|Duo - Thanatos and Sisyphus (3)|Thanatos|关于神明的烦恼，你又知道些什么？现在，你有无穷无尽的时间来反思自己的罪过。或许等过个几百万年，我可以再来见你一面，看看你有没有什么长进。
ThanatosHomeFirstMeeting|Thanatos Home First Meeting|Thanatos|去做你自己的事，扎格。如果哈迪斯大人看见我们这样聊天怎么办……？我冒着失去一切的风险帮你，但你仍失败了。
ThanatosHomeFirstMeeting|Thanatos Home First Meeting|Zagreus|即使是在冥界我也有无数的亡灵要战。不过多亏了你，我比原先走得更远了。
ThanatosHomeFirstMeeting|Thanatos Home First Meeting|Thanatos|我永远乐意为你效劳。尤其是我还得冒着失去地位的风险。甚至失去我所拥有的一切。
