Id|Description|Speaker|Text
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|{#DialogueItalicFormat}啊，哈哈哈{#PreviousFormat}，终于等到了，阿斯忒里俄斯。他来了！我以为是谁呢，这不是卑鄙无耻不入流的地狱之子吗？等着被蹂躏吧！
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Zagreus|哦，不公平……那是马其顿塔乌-拉姆达镀铜战车！像你这样讨厌的牢骚鬼要这辆迄今为止最伟大的战车做什么？
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|呸！关你什么事。只要我和阿斯忒里俄斯能再漂亮地赢一场就够了。而且我们会毫不犹豫地从你手中拿走辛苦得来的战利品！
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|他会让你我二人反目成仇，阿斯忒里俄斯，他那双邪恶的眼睛就说明了一切！我没办法摆脱那可怕的景象，有朝一日，我会站在这里，而你呢……？而你却和我为敌！和那只{#DialogueItalicFormat}恶魔{#PreviousFormat}并肩而战！
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Zagreus|关于这一点，阿斯忒里俄斯，如果你愿意的话，我的提案长期有效。比起与你刀剑相向，我更希望能和你成为朋友。不过，同样的话我恐怕是不会对忒修斯说的。
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|{#DialogueItalicFormat}你这只恶毒的蛆虫{#PreviousFormat}！我早就知道你还有别的把戏，因为你战斗的本事简直不值一提！为了达到目的，你还有什么事情做不出来？
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|……听我一句劝吧，阿斯忒里俄斯，你{#DialogueItalicFormat}错了{#PreviousFormat}！他才不是什么{#DialogueItalicFormat}有王室血统的人呢{#PreviousFormat}，反正肯定不是{#DialogueItalicFormat}我{#PreviousFormat}认识的家伙！他不过是个被遗忘的无名小神，他诞生于深渊之底，也应该生生世世呆在那里！
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Minotaur|国王，我以前也听信过他的鬼话。这个敌人我们已经交手过多少次了？在我看来，他战斗得很英勇。
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|{#DialogueItalicFormat}英勇{#PreviousFormat}？！他就会躲在那些柱子后面，你却管这叫{#DialogueItalicFormat}英勇{#PreviousFormat}，阿斯忒里俄斯？等打败他之后，我们得好好讨论讨论你怎么会产生这种怪想法！
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|我希望你已经准备好了，地狱之子，因为我和阿斯忒里俄斯狠狠地吵了一架！没错，他说是我看错了像你这样的人！{#DialogueItalicFormat}真是气死我了{#PreviousFormat}。
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Minotaur|我的话你根本没听进去，国王。关于这个敌人，我们还有很多事情要弄明白。他每次来这里，装备都不一样，拿的武器、能力之类的也都不一样。无论我们怎么努力……都没办法看透他的战术。
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|是吗？你是在说我打不过他吗，阿斯忒里俄斯？别忘了，我可是在你的迷宫里，轻轻松松就把{#DialogueItalicFormat}你{#PreviousFormat}打败了啊！？别废话了，赶紧打完这一仗吧！
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|是你啊，蛆虫！你是来和我们打架的吧，看看你把我们的关系破坏成了什么样子！我们已经不再是什么队友了！不过是两个单打独斗的人，刚好在这里各自为战罢了。
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Minotaur|国王，我觉得你实在是太小题大做了，冷静点，好好考虑考虑我的观点吧。我觉得我的要求并不过分。
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|别让我做我做不到的事情！赶紧开打，然后认输吧。我知道肯定打不赢，因为如果我们不是队友的话，那我们到底算什么呢，阿斯忒里俄斯……？
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Theseus|请再次和我并肩作战吧，阿斯忒里俄斯。我是说，就像从前一样！你一定得原谅我最近犯下的蠢事。那只该死的恶魔！他的谎言和背叛，或是幻象之类的法术，毒害了我的心灵！
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Minotaur|我的国王，向我发誓，发誓你永远都不会再怀疑我们之间的羁绊。那个小矮子是不会摧毁我们之间的羁绊的，他甚至根本无法理解这种感情。唯一能摧毁这种羁绊的人，只有你自己。
