Id|Description|Speaker|Text
ZeusWithAthena01|Zeus With Athena 01|Zeus|快看，扎格列欧斯，勇武过人的雅典娜来了。她是个机灵能干的家伙，也是我的家人之中最先和你见面的人。你真是太主动了，甚至没告诉我就和扎格列欧斯碰了面，亲爱的女儿！
ZeusWithAthena01|Zeus With Athena 01|Athena|父亲大人，希望我能迅速、谨慎地解决更多诸如此类的事情，这样您只需要处理最重要的问题就够了。不过，可以肯定的是，我和扎格列欧斯都非常感激您的介入。
ZeusWithAres01|Zeus With Ares 01|Zeus|我的侄子！我经常无辜背负恶名的儿子阿瑞斯，现在将以我的神威为你赋予他的力量。我会让他帮忙的！
ZeusWithAres01|Zeus With Ares 01|Ares|父亲大人，遵命。我们的目标是一致的。
ZeusWithAphrodite01|Zeus With Aphrodite 01|Zeus|年轻人，我知道你很想和阿弗洛狄忒面对面地交流。不过，或许我想错了呢，还是等你来这里之后再说吧！他想不想来，得看他的意思，你说是吧，我亲爱的阿弗洛狄忒？
ZeusWithAphrodite01|Zeus With Aphrodite 01|Aphrodite|你这么说是什么意思，宙斯大人！*你*的话听起来就像是在侮辱我一样！被我们大家尊为天父的人，竟然会对*我*说出这样的话，这真是太让我震惊了！
ZeusWithArtemis01|Zeus With Artemis 01|Zeus|扎格列欧斯，你一来这儿我们就会给你找一位合适的伴侣。我敢说，一定要是一位和你一样优秀的年轻人！正常来说，这里有很多可供你选择的，不过也有一些例外，比如……我可爱的女儿，阿尔忒弥斯。她根本不打算寻求一位伴侣！
ZeusWithArtemis01|Zeus With Artemis 01|Artemis|是的，扎格列欧斯，尽管我到哪里都能遇到完美英俊的有为青年，他们与其说是想娶我，不如说是让我难堪，因为我宁愿独自待着或在森林里陪伴我的女仙朋友们！
ZeusWithDemeter01|Zeus With Demeter 01|Zeus|好了，年轻人，不管你听说的得墨忒尔是什么样的人，我都得澄清一下。没错，对我来说她就像姐姐一样，但也仅此而已。不过，她的泰坦双亲和我的父母都遭遇了差不多的命运。
ZeusWithDemeter01|Zeus With Demeter 01|Demeter|我的义兄弟宙斯啊！你这次还真是坦率得有点过头啊！我甚至觉得，只有我在场的时候，你才不得不实话实说吧。
ZeusAboutLuciferAspect01|Zeus About Lucifer Aspect 01|Zeus|你已经见过伊格瑞菲，对它说出那句我告诉你的唤醒咒语了吗，年轻人？哎哟，我要是能亲口说出这句咒语就好了！别忘了，那句话是*我看到高傲的你从天堂跌落下来，落入了地狱的烈焰之中*。
