Id|Description|Speaker|Text
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|{#DialogueItalicFormat}Mmmrrrrnnn{#PreviousFormat}....
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Zagreus|Weißt du, Charon, dein Geschäftspartner Hermes hatte scheinbar eine Wette mit dir laufen, dass ich dich irgendwann zweimal hintereinander besiegen könnte? Ich würde ihn nur ungern enttäuschen, deswegen ... nichts für ungut, in Ordnung?
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|{#DialogueItalicFormat}Nnnrrrraaaaaauugggghhh{#PreviousFormat}!!
BossCharonEncounter01|Boss Charon Encounter 01|Charon|Haaahhhhh....
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|{#DialogueItalicFormat}Ähm{#PreviousFormat}, Charon, ich kann dir das erklären. Es ist nur so, dass ich mich einfach daran gewöhnt habe, Dinge aus dem Reich meines Vaters an mich zu nehmen. Ich habe dich nicht bestohlen, ehrlich!
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|Das war absolut nicht verständlich, was du eben von dir gegeben hast. Warte mal, warum schwingst du dein Ruder auf so bedrohliche Art?
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Du stellst mich hier nur auf die Probe, richtig, Charon? Ich meine, was erwartest du von mir, wenn du einen riesigen Berg Münzen unübersehbar in meine Nähe legst?
BossCharonEncounter02|Boss Charon Encounter 02|Charon|Nrrnnhhh, hnnnn, hrrnn, {#DialogueItalicFormat}hrrrrrnnn{#PreviousFormat}...
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Kling gut, Kumpel, wenn ich dich also in Zukunft bestehle, dann ist das nur meine Art zu sagen: {#DialogueItalicFormat}Charon, zur Abwechslung würde ich es gern mit dir in einem Kampf auf Leben und Tod aufnehmen und zwar gleich hier und jetzt{#PreviousFormat}.
BossCharonMiscStart01|Boss Charon Misc Start 01|Charon|{#DialogueItalicFormat}Hrrrnnnggghh{#PreviousFormat}....
BossCharonMiscStart02|Boss Charon Misc Start 02|Charon|{#DialogueItalicFormat}Grrnrnhh, rrraahhh{#PreviousFormat}!
BossCharonMiscStart03|Boss Charon Misc Start 03|Charon|{#DialogueItalicFormat}Hrraaaahhhhhh{#PreviousFormat}!!
