Id|Description|Speaker|Text
OrpheusWithEurydice01|Orpheus With Eurydice 01|Orpheus|Ach, Zagreus, wie wundervoll, dich hierzu sehen. Eurydike und ich sind dabei, einander über all die Dinge zu informieren, die sich seit unserer Trennung zugetragen haben.
OrpheusWithEurydice01|Orpheus With Eurydice 01|Eurydice|Genau. Würdest du uns eine kleine Weile entschuldigen, mein Lieber? Ein paar Lücken gilt es noch zu schließen. Aber erst einmal, ehe du gehst!
OrpheusWithEurydice02|Orpheus With Eurydice 02|Zagreus|Was für ein unvergleichlicher Genuss. Ihr mögt zwar jeder für sich gut klingen, aber im Duett seid ihr einfach wundervoll.
OrpheusWithEurydice02|Orpheus With Eurydice 02|Orpheus|Was für ein herrliches Kompliment, mein Freund. Zweifellos fädelten die Schicksalsgöttinnen selbst es so ein, dass Eurydike und ich einander begegneten und miteinander sangen. Dass wir uns ineinander verliebten. Und dass wir grausam für einige Zeit voneinander getrennt wurden!
OrpheusWithEurydice02|Orpheus With Eurydice 02|Eurydice|Fang nicht wieder damit an, hörst du, Orphy? Wir haben noch unser gesamtes Leben im Jenseits vor uns! Und noch viele Gesänge nachzuholen.
OrpheusWithEurydice02|Orpheus With Eurydice 02|Orpheus|Tja, du hast natürlich recht, meine Liebe. Wenn du uns bitte entschuldigen würdest, Zagreus? Unsere Gabe ruft.
OrpheusWithEurydice03|Orpheus With Eurydice 03|Zagreus|He, ihr beiden, wie geht's denn so in letzter Zeit? Ihr redet wieder miteinander? Oder singt gar?
OrpheusWithEurydice03|Orpheus With Eurydice 03|Orpheus|Oh, alles ist geradezu wundervoll, mein Freund. Ich dachte, ich würde Eurydike nie wiedersehen, nachdem ich...
OrpheusWithEurydice03|Orpheus With Eurydice 03|Eurydice|Orphy schafft es einfach nicht, die Sache damals auf sich beruhen zu lassen, mein Lieber. Aber wir machen Fortschritte. Danke, dass du ihn hierher geschickt hast. Ich bin sicher, du musstest ihm gut zureden.
OrpheusWithEurydiceMiscChat01|Orpheus With Eurydice Misc Chat 01|Eurydice|He, nett von dir, uns zu besuchen, eure königliche Hoheit! Für dich!
OrpheusWithEurydiceMiscChat02|Orpheus With Eurydice Misc Chat 02|Eurydice|Orphy und mir geht es hier gut, und das haben wir dir zu verdanken. Pass auf dich auf, mein Lieber!
OrpheusWithEurydiceMiscChat03|Orpheus With Eurydice Misc Chat 03|Eurydice|Hoffe, du findest auch bald jemanden für ein Gesangsduett, mein Lieber.
OrpheusWithEurydiceMiscChat04|Orpheus With Eurydice Misc Chat 04|Eurydice|Keine Sorge, eure Hoheit. Ich sorge dafür, dass er wieder pünktlich auf der Arbeit ist, hörst du, Orphy?
OrpheusWithEurydiceMiscChat05|Orpheus With Eurydice Misc Chat 05|Eurydice|Orphy und ich sind ganz wie jedes alte Ehepaar, mein Lieber.
OrpheusWithEurydiceMiscChat06|Orpheus With Eurydice Misc Chat 06|Eurydice|Falls du da draußen dein Glück findest, mein Lieber, blick nicht zurück.
OrpheusWithEurydiceMiscChat07|Orpheus With Eurydice Misc Chat 07|Eurydice|Die Dinge stehen hier nicht gerade schlecht, mein Lieber. Ich hoffe, du kannst das Gleiche behaupten.
OrpheusWithEurydiceMiscChat08|Orpheus With Eurydice Misc Chat 08|Eurydice|Was soll ich sagen, mein Lieber? Wir üben gern unsere Lieblingsmelodie!
OrpheusWithEurydiceMiscChat09|Orpheus With Eurydice Misc Chat 09|Eurydice|Na sowas, Hades' Sprössling höchstpersönlich zu Besuch bei uns!
OrpheusWithEurydiceMiscChat18|Orpheus With Eurydice Misc Chat 18|Eurydice|Rate mal, was wir in letzter Zeit gemacht haben, mein Lieber? Wenn du uns jetzt bitte entschuldigen würdest?
OrpheusWithEurydiceMiscChat19|Orpheus With Eurydice Misc Chat 19|Eurydice|Wir waren gerade mit dem Essen fertig. Es gibt noch ziemlich viele Reste.
OrpheusWithEurydiceMiscChat20|Orpheus With Eurydice Misc Chat 20|Eurydice|Nur eine Sache ist schöner als zu singen, mein Lieber, nämlich mit einem geliebten Menschen zu singen.
OrpheusWithEurydiceMiscChat21|Orpheus With Eurydice Misc Chat 21|Eurydice|Orphy hier übt bloß für seinen nächsten Auftritt vor Hades Senior!
OrpheusWithEurydiceMiscChat22|Orpheus With Eurydice Misc Chat 22|Eurydice|Stell dir vor, wir waren gerade dabei zu singen, mein Lieber!
OrpheusWithEurydiceMiscChat23|Orpheus With Eurydice Misc Chat 23|Eurydice|Meine Versuche, Orphy das Kochen beizubringen, sind nicht gerade von Erfolg gekrönt, aber singen kann er!
OrpheusWithEurydiceMiscChat24|Orpheus With Eurydice Misc Chat 24|Eurydice|Schau mal, Orphy, wie haben einen Zuhörer! Also sing dir die Seele aus dem Leib!
OrpheusWithEurydiceMiscChat25|Orpheus With Eurydice Misc Chat 25|Eurydice|Beachte Orphy nicht weiter, mein Lieber. Wenn er einmal zu singen anfängt, bringt man ihn nicht mehr zum Schweigen!
OrpheusWithEurydiceInTheBloodChat01|Orpheus With Eurydice In The Blood Chat 01|Eurydice|Du kennst diese Melodie, mein Lieber. Das ist einer unserer alten Hits!
OrpheusWithEurydiceInTheBloodChat02|Orpheus With Eurydice In The Blood Chat 02|Eurydice|Wir schwelgten gerade in Erinnungen an früher, Orphy und ich!
OrpheusWithEurydiceInTheBloodChat03|Orpheus With Eurydice In The Blood Chat 03|Eurydice|Dachte, wir könnten unseren Gesang ein bisschen abwechslungsreicher gestalten, mein Lieber!
OrpheusWithEurydiceInTheBloodChat04|Orpheus With Eurydice In The Blood Chat 04|Eurydice|Ich muss schon sagen, dieses alte Lied ist mir über die Jahre ans Herz gewachsen!
EurydiceFirstMeeting01_A|Eurydice First Meeting A 01|Eurydice|He, du musst Hades' Sprössling sein! Wie geht's denn so, eure königliche Majestät? Nett, dich kennenzulernen, ich bin Eurydike. Was macht denn ein so wichtiger Typ wie du an einem Ort wie diesem?
EurydiceFirstMeeting01_A|Eurydice First Meeting A 01|Zagreus|Hallo! Förmlichkeiten sind nicht nötig. Ich heiße Zagreus. Bin auf dem Weg zu einem Ortstermin! Muss mir die Magmasituation mit eigenen Augen anschauen. Möchte nicht unhöflich sein, aber ich bin in Eile.
EurydiceFirstMeeting01_A|Eurydice First Meeting A 01|Eurydice|Na, du hast wohl alle Hände voll zu tun, mein Lieber! Ich werde dich ziehen lassen, aber in meinem Haus gibt es eine Regel, und zwar: Niemand geht mit leeren Händen, verstanden? Dann such dir was aus, du bist eingeladen!
EurydiceFirstMeeting01_B|Eurydice First Meeting B 01|Eurydice|He, du musst Hades' Sprössling sein! Wie geht's denn so, eure königliche Majestät? Nett, dich kennenzulernen, ich bin Eurydike. Was macht denn ein so wichtiger Typ wie du an einem Ort wie diesem?
EurydiceFirstMeeting01_B|Eurydice First Meeting B 01|Zagreus|Hallo! Förmlichkeiten sind nicht nötig. Ich heiße Zagreus. Bin auf dem Weg zu einem Ortstermin. An der bedrohlichen Knochen-Hydra vorbei. Möchte nicht unhöflich sein, aber ich bin in Eile.
EurydiceFirstMeeting01_B|Eurydice First Meeting B 01|Eurydice|Na, du hast wohl alle Hände voll zu tun, mein Lieber! Ich werde dich ziehen lassen, aber in meinem Haus gibt es eine Regel, und zwar: Niemand geht mit leeren Händen, verstanden? Dann such dir was aus, du bist eingeladen!
EurydiceFirstMeeting01_C|Eurydice First Meeting C 01|Zagreus|Hallo! Förmlichkeiten sind nicht nötig. Ich heiße Zagreus. Bin auf dem Weg zu einem Ortstermin. Sag, wenn du Eurydike heißt, kennst du dann zufällig einen gewissen Orpheus? Ziemlich musikalisch, etwas verdrießlich, eindrucksvolle Haarpracht?
EurydiceFirstMeeting01_C|Eurydice First Meeting C 01|Eurydice|Hat {#DialogueItalicFormat}er {#PreviousFormat}dich etwa hierzu angestiftet? Hör mal, mein Lieber, warum gehst du nicht einfach deiner Wege. Aber nicht mit leeren Händen, so lautet die Regel, also such‘ dir was aus, du bist eingeladen! Aber nichts für ihn.
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Eurydice|He, mein Lieber, was ist los, sag schon! Ich spüre es bis in meine Wurzeln, wenn etwas im Busch ist, und da ist etwas im Busch.
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Zagreus|Na ja, es ist nur, ich glaube, du kennst einen gewissen Orpheus, oder? Ziemlich musikalisch, etwas verdrießlich, eindrucksvolle Haarpracht? Er ist Hofmusikant im Haus meines Vaters. Bezeichnet dich als seine Muse. Sagt, er vermisse dich schrecklich. Ich... dachte nur, du solltest das wissen.
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Eurydice|Orpheus sagte all das, huh? Ich sag dir was. Das nächste Mal, wenn er dir begegnet, frag ihn doch mal, wie es war, als er den langen Weg hierher zurücklegte, um mich zu befreien, obwohl ich längst tot war. Was meinst du, wie ging das wohl aus?
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Zagreus|Ähm... ich habe da so eine Vermutung. Hör mal, ich wollte dich nicht verärgern.
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Eurydice|Ja, ja, er auch nicht! Aber weißt du was? Taten sind wichtiger als Absichten, mein Lieber. Und nun, nimm dir eine Kleinigkeit und geh deiner Wege.
EurydiceAboutOrpheus02|Eurydice About Orpheus 02|Eurydice|Was ist los, mein Lieber? Oh nein, du hast ja wohl nicht den langen Weg von Tartaros zurückgelegt, nur um mir weitere Fragen zu deinem nichtsnutzigen Freund, dem Hofmusikanten, zu stellen.
EurydiceAboutOrpheus02|Eurydice About Orpheus 02|Zagreus|Natürlich nicht! Ich bin nur hier, weil du so wunderbar singst, kochst und plauderst. Aber, wo du es schon erwähnst, du... scheinst recht viel über ihn zu sagen haben. Kann ich etwas tun?
EurydiceAboutOrpheus02|Eurydice About Orpheus 02|Eurydice|Mal schauen, ob ich das richtig verstanden habe. Orpheus hat es sich total mit mir vergeigt, aber ich soll mich jetzt bei {#DialogueItalicFormat}ihm {#PreviousFormat} melden? Tut mir leid, mein Lieber, aber das kommt nicht in Frage. Wir zwei sind fertig miteinander. Und weißt du was? Wir sind hier jetzt auch fertig. Wenn du mich bitte entschuldigen würdest!
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Eurydice|He, mein Lieber! Was meinst du, klingt doch gut, oder? Ich kann nicht verstehen, warum nicht jeder singt. Hebt die Stimmung, vertreibt die Zeit. Was könnte schöner sein?
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Zagreus|Es ist ein schönes Lied. Obwohl du wütend auf ihn bist... Orpheus, meine ich... singst du trotzdem immer?
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Eurydice|Oh, das Lied ist doch nicht von Orpheus, also wirklich! Es ist allein meins. Er redete immer gern darüber, dass ich seine Muse sei, aber das liegt daran, dass ich die Hälfte seiner Lieder für ihn geschrieben habe! Ich wette, das hat er nicht erwähnt, oder?
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Zagreus|Na ja, ganz so deutlich hat er sich nicht ausgedrückt, aber... Orpheus ist manchmal ein bisschen schwer zu verstehen.
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Eurydice|Er ist manchmal ein bisschen schwer zu ertragen. Eine Eigenschaft, die hoffentlich nicht auf seine Kumpel abfärbt. Ich müsste jetzt mit meinen Gesangsübungen fortfahren, bis bald.
EurydiceAboutOrpheus04|Eurydice About Orpheus 04|Zagreus|Hör mal, Eurydike, ich verspreche, dass ich dich nicht jedes Mal hiermit belästige, aber... du sollst wissen, dass dein Gemahl wegen der Sache zwischen euch beiden am Boden zerstört ist. Es tut ihm ehrlich leid, und er liebt dich immer noch von ganzem Herzen, da bin ich mir sicher.
EurydiceAboutOrpheus04|Eurydice About Orpheus 04|Eurydice|{#DialogueItalicFormat}Tss{#PreviousFormat}... und was soll ich damit jetzt anfangen, eure königliche Hoheit...?
EurydiceAboutOrpheus04|Eurydice About Orpheus 04|Zagreus|Ich... Ich weiß noch nicht. Aber weißt du was? Du solltest mir das nicht einfach abnehmen. Du solltest das hier nehmen.
EurydiceAboutOrpheus04|Eurydice About Orpheus 04|Eurydice|So wie die Dinge liegen, glaube ich nicht, dass ich ihm in absehbarer Zukunft begegnen werde. Aber du bist doch Hades' Sprössling! Wenn du für uns ein paar Beziehungen spielen lassen möchtest, nur zu. Aber ich werde mir keine Illusionen machen. Selbst wenn ich es wollte.
EurydiceProgressWithOrpheus01|Eurydice Progress With Orpheus 01|Eurydice|So, {#DialogueItalicFormat}äh{#PreviousFormat}, wie geht es Orpheus denn so in letzter Zeit? Hat er immer noch so prachtvolle Löckchen auf dem Haupt? Ich vermute, seine Haut ist längst nicht mehr so gebräunt wie früher.
EurydiceProgressWithOrpheus01|Eurydice Progress With Orpheus 01|Zagreus|Löckchen? Ähm, nein, nicht ganz. Aber er kommt klar! Soweit wie möglich. Kürzlich hat er wieder zu singen angefangen, was ein großer Schritt war. Früher tat er das nie. Redete lang und breit darüber, dass er seine Muse verloren hatte.
EurydiceProgressWithOrpheus01|Eurydice Progress With Orpheus 01|Eurydice|Und jetzt weiß er, dass ich noch immer hier draußen bin, huh. Das ist... nun, danke für die Neuigkeiten, mein Lieber. Musik ist seine Gabe. Gut zu wissen, dass er nicht alles weggeworfen hat.
EurydiceProgressWithOrpheus02|Eurydice Progress With Orpheus 02|Zagreus|Eurydike, darf ich dich um einen Gefallen bitten? Nicht, dass du mir etwas schuldest, aber würdest du mich wenigstens anhören?
EurydiceProgressWithOrpheus02|Eurydice Progress With Orpheus 02|Eurydice|Ja, sicher, mein Lieber, worum geht es? Du willst mich hoffentlich nicht um meine Rezepte bitten. Streng gehütetes Familiengeheimnis! Ich würde ja sagen, ich werde sie mit ins Grab nehmen, aber... na ja.
EurydiceProgressWithOrpheus02|Eurydice Progress With Orpheus 02|Zagreus|Es geht nicht um deine Rezepte, obwohl sie wundervoll sind. Es geht um dein Lied. Ich bin sicher, es wäre im Haus ein echter Gassenhauer! Und ich kenne jemanden, der es wirklich hören muss. Du hast wohl nicht zufällig eine zweite Pergamentrolle mit den Noten, die du mir überlassen würdest?
EurydiceProgressWithOrpheus02|Eurydice Progress With Orpheus 02|Eurydice|Eure königliche Hoheit, du willst mein {#DialogueItalicFormat}Lied{#PreviousFormat}? Du weißt schon, dass es den Titel {#DialogueItalicFormat}Auf Nimmerwiedersehen {#PreviousFormat} trägt, ja? {#DialogueItalicFormat}Tss{#PreviousFormat}, aber sicher, warum nicht. Wenn schon Musik in eurem Haus erklingt, dann darf sie ruhig großartig sein. Und ich habe noch eine kleine Zugabe für dich.
EurydiceProgressWithOrpheus_SongReaction01|Eurydice Progress With Orpheus Song Reaction 01|Eurydice|...Was hat er denn gesagt, mein Lieber. Ich meine über das Lied. Ich wette, er war hin und weg, nicht wahr! Aber sicher weiß ich es nicht. Und ich habe mir Gedanken gemacht, sogar ziemlich viele.
EurydiceProgressWithOrpheus_SongReaction01|Eurydice Progress With Orpheus Song Reaction 01|Zagreus|Die Ungewissheit hat ein Ende. Er singt es wunderschön, manchmal im Haus. Es... klingt trauriger als bei dir, aber... du hast ihn wieder inspiriert. Wie so viele Male in der Vergangenheit, soweit ich weiß.
EurydiceProgressWithOrpheus_SongReaction01|Eurydice Progress With Orpheus Song Reaction 01|Eurydice|Huh. Du sagst also, dass es ein Gassenhauer ist. Das hatte ich im Gefühl. Manchmal, wenn man Wörter sorgfältig aneinanderreiht, weiß man sofort, dass man etwas Besonderes geschaffen hat.
EurydiceProgressWithOrpheus03|Eurydice Progress With Orpheus 03|Eurydice|Was passiert jetzt, mein Lieber...? Ich meine... du hast mich dazu gebracht, wieder an Orpheus zu denken, und... was soll ich damit jetzt anfangen?
