Id|Description|Speaker|Text
AresWithPoseidon01|Ares With Poseidon 01|Ares|Nun, mein in der Hölle geborener Vetter, ich muss gestehen, manchmal wünschte ich mir, deinen Vater etwas besser kennengelernt zu haben, wenn ich das sagen darf. Mein Vater und mein Onkel ... ihre Veranlagung hat mit der meinen wenig gemein.
AresWithPoseidon01|Ares With Poseidon 01|Poseidon|Wenn du nicht ganz so seltsam wärst und dir mehr Mühe geben würdest, ein wenig umgänglicher zu sein, Ares, dann hätten wir vielleicht mehr gemeinsam, du und ich! Solltest du ein paar Tipps brauchen, sag einfach Bescheid!
ArtemisWithPoseidon01|Artemis With Poseidon 01|Artemis|Du hast meinen Vater und meinen Onkel kennengelernt, Zagreus? Ich weiß nicht, welcher der schlimmere von beiden ist. {#DialogueItalicFormat}Äh{#PreviousFormat}... ich meine natürlich überwältigender! Überwältigend, obwohl er eigentlich die meiste Zeit im Meer zubringt, unter dem Olymp, ist es nicht so, Onkel?
ArtemisWithPoseidon01|Artemis With Poseidon 01|Poseidon|Oh, Artemis, du brauchst dich meinetwegen vor Klein-Hades nicht so aufzuspielen! Und überhaupt! Ob du im Meer weilst, darüber oder darunter, ist für dein Ansehen als Gott nun wirklich unerheblich! Ihr beide seid noch jung! Wenn ihr so weitermacht, werdet ihr bald so großartig sein wie ich!
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|Du musst wissen, mein Lieber, dass in dieser Familie alle ihre kleinen Marotten haben. Doch wir halten fest zusammen, und unsere Liebe füreinander ist beständig!
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Poseidon|Oh, {#DialogueItalicFormat}ho{#PreviousFormat}! Was haben wir denn hier, Klein-Hades? Mir scheint, dass du {#DialogueItalicFormat}Gesellschaft {#PreviousFormat} hast! Na, dann lasse ich euch beide mal allein. Meine Lippen sind versiegelt, dichter als der Rumpf eines Schlachtschiffs!
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|Oh, du kannst ruhig bleiben, Poseidon! Ich war gerade dabei zu erklären, was für ein Trottel du bist, obwohl du selbst das am besten in Worte fassen kannst! Wie auch immer, wo war ich stehengeblieben, mein Lieber ...?
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|{#DialogueItalicFormat}Äh{#PreviousFormat}, Zag, {#DialogueItalicFormat}ähm{#PreviousFormat} ... dein Onkel ist auf der Durchreise. Nicht Papa, {#DialogueItalicFormat}ähm{#PreviousFormat}, den anderen meine ich. Er will nur mal reinschauen, sehen, wie’s dir geht, also ...
DionysusWithPoseidon01|Dionysus With Poseidon 01|Poseidon|{#DialogueItalicFormat}Ah-hah{#PreviousFormat}, da bist du ja, mein kleiner Neffe! Dionysos zeigt dir wohl, wie’s hier so läuft? Wenn du ein echtes Festgelage willst, musst du dich allerdings an {#DialogueItalicFormat}mich {#PreviousFormat} halten! Nun nimm meinen Segen und {#DialogueItalicFormat}geh{#PreviousFormat}!
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|{#DialogueItalicFormat}Oh{#PreviousFormat}, wir sind jedenfalls hier, warten auf dich! Wir wissen, dass du’s schaffen wirst, irgendwann?
AthenaWithPoseidon01|Athena With Poseidon 01|Athena|Als ich den ehrwürdigen Vater Zeus und andere Mitglieder unserer Familie von deiner Existenz in Kenntnis setzte, Zagreus, war es Onkel Poseidon, der als Erster aufsprang und schwor, seine Macht über Meere und Erde in deinen Dienst zu stellen. Nicht wahr, Onkel?
AthenaWithPoseidon01|Athena With Poseidon 01|Poseidon|Genau so war’s, Athene! Dein Gedächtnis trügt dich nicht! Denn dass mein trübsinniger Bruder Hades einen tollen Sohn gezeugt hat, höre ich schließlich nicht jeden Tag! Er weiß nicht, wie gut er es dort hat! Und {#DialogueItalicFormat}du{#PreviousFormat}, Neffe, könntest es {#DialogueItalicFormat}hier {#PreviousFormat} noch besser haben!
PoseidonWithZeus01|Poseidon With Zeus 01|Poseidon|Na, Klein-Hades, du bist meinem Bruder Zeus begegnet! Man nennt ihn manchmal auch den König aller Götter! Obgleich er in vieler Hinsicht nicht so mächtig ist wie ich! Und lange nicht so fesch. Oh, he, ups ...!
PoseidonWithZeus01|Poseidon With Zeus 01|Zeus|Na, Bruder, du weißt doch, dass du solche Sachen über mich nicht sagen solltest! Ich weiß, Feingefühl ist nicht deine Stärke, doch pass besser auf, was du unserem lieben Neffen da erzählst.
PoseidonWithZeus01|Poseidon With Zeus 01|Poseidon|{#DialogueItalicFormat}Buh{#PreviousFormat}, {#DialogueItalicFormat}ähm{#PreviousFormat}, ja, wie ich schon sagte, Klein-Hades! Bruder Zeus ist der König aller Götter! Und der fescheste, mächtigste und, seien wir ehrlich, {#DialogueItalicFormat}göttlichste {#PreviousFormat}von allen!
PoseidonWithAthena01|Poseidon With Athena 01|Poseidon|Wie du inzwischen weißt, sind wir eine große und gescheite Familie, Klein-Hades! Meine Nichte Athene hier ist die Klügste von allen. Kaum zu glauben, dass sie keine Kinder hat, so wie sie sich um uns alle kümmert!
PoseidonWithAthena01|Poseidon With Athena 01|Athena|Meine Klugheit hab ich gewiss von deinem Bruder und von dir, ehrwürdiger Onkel Poseidon. Und ich möchte hinzufügen, dass wir mehr als genug Kinder in dieser Familie haben und im Moment nicht mehr davon benötigen.
PoseidonWithAres01|Poseidon With Ares 01|Poseidon|Na, Klein-Hades, gewiss weißt du inzwischen, dass ich noch andere Neffen habe, oder? Da fällt mir zum Beispiel Ares ein, der Gott des Krieges! Es wurden schon große Kriege auf dem Meer geführt, nicht wahr?
PoseidonWithAres01|Poseidon With Ares 01|Ares|In der Tat, guter Onkel Poseidon. Sterbliche sind sehr einfallsreich, wenn es um Kriege geht. Sie befördern ihren Sinn für Fortschritt, mehr als alles andere. Eines Tages werden sie vielleicht sogar in Vaters Himmel Krieg führen.
PoseidonWithArtemis01|Poseidon With Artemis 01|Poseidon|Was mich angeht, Neffe, ich komme gut mit allen aus! Eine eher seltene Fähigkeit, wie es scheint! Meine Nichte Artemis zum Beispiel! Verträgt nicht den geringsten Spaß! Kind, mit solch einer säuerlichen Miene lockst du so schnell keinen Gefährten an!
PoseidonWithArtemis01|Poseidon With Artemis 01|Artemis|Oh, und wäre das nicht furchtbar schade, Onkel Poseidon. Was könnte wohl der Grund für meine säuerliche Miene hier oben sein, frage ich mich? Vielleicht kennt Zagreus ja die Antwort.
PoseidonWithArtemis01|Poseidon With Artemis 01|Poseidon|{#DialogueItalicFormat}Hahaha{#PreviousFormat}! Siehst du, was ich meine, Neffe?
PoseidonWithDemeter01|Poseidon With Demeter 01|Poseidon|Meine Pflegeschwester, die Göttin Demeter, macht sich trotz ihrer strengen Art sehr gern über mich lustig, Neffe! Ah, da ist sie ja schon!
PoseidonWithDemeter01|Poseidon With Demeter 01|Demeter|Wenn du genug gequasselt hast, Poseidon, unser junger Zagreus hat Wichtigeres zu tun. Er braucht deinen Segen, auf deine Meinung kann er verzichten. Nicht wahr, junger Sprössling?
