Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|Ich hatte Gelegenheit, mit meinen Schwestern zu sprechen, und wir sind zu einer Vereinbarung gekommen, Zagreus. Wie du sehen kannst.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megaira, Tis, seid ihr bereit?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}Mmörrderr{#PreviousFormat}!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Drei gegen einen. Das scheint mir nicht sehr gerecht!
FurySistersUnion01|Fury Sisters Union 01|Megaera|Die Zeit der Gerechtigkeit ist für jeden von uns schon lange vorbei. Wir werden dich töten, egal zu welchem Preis. Erinyen! {#DialogueItalicFormat}Jetzt{#PreviousFormat}.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|Aufgepasst, Tisiphone. Ich glaube, ich habe einen Mörder für dich gefunden.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|{#DialogueItalicFormat}Mööö{#PreviousFormat}rrrddddd...
Fury3SisterUnionSingleSis01_A|Fury Sister Union Single Sis A 3 01|Tisiphone|{#DialogueItalicFormat}Mmmöörrderrr{#PreviousFormat} ...!
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|{#DialogueItalicFormat}Mmmm ... Mmmörder ...
Fury3FirstAppearance|Fury First Appearance 3|Zagreus|He, du musst eine von Megs Schwestern sein. Nett, dich endlich kennenzulernen! Ich heiße Zagreus. Nicht {#DialogueItalicFormat}Mörder{#PreviousFormat}. Ganz gewiss nicht.
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|Mörder ... {#DialogueItalicFormat}Mmmmörderrrrrrrr ...!
Fury3FirstAppearance|Fury First Appearance 3|Zagreus|Äh, ... also, ich habe vielleicht ein paar Dinge getan, auf die ich nicht unbedingt stolz bin, aber ich bin mir absolut sicher, dass ich niemanden ermordet habe.
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|{#DialogueItalicFormat}Mmmmmörderrrrrrrr ...!
Fury3PostEnding01|Fury Post Ending 3 01|Zagreus|Ich bin dieses Mal in offizieller Mission hier, Tisiphone, also, {#DialogueItalicFormat}äh{#PreviousFormat}... tritt zur Seite! Obwohl, dein Job ist es ja eh, mich aufzuhalten. Liege ich da richtig?
Fury3PostEnding01|Fury Post Ending 3 01|Tisiphone|Mmm, hrr-hrr-{#DialogueItalicFormat}hrrdd{#PreviousFormat} ...
Fury3PostEpilogue01|Fury Post Epilogue 3 01|Zagreus|Oh, es tut mir wirklich leid, dass du es nicht zur Feier im Haus geschafft hast, Tisiphone. Obwohl das vermutlich nicht ganz dein Ding gewesen wäre. Aber Ares war da. Er hat wahrscheinlich ein paar Morde begangen, richtig?
Fury3PostEpilogue01|Fury Post Epilogue 3 01|Tisiphone|Morrddd? Morrdd. {#DialogueItalicFormat}Morddd{#PreviousFormat}!
Fury3Encounter01|Fury Encounter 3 01|Tisiphone|Mmmmorrrd ...?
Fury3Encounter01|Fury Encounter 3 01|Zagreus|{#DialogueItalicFormat}Ähm{#PreviousFormat} ... wie wär's mit nein? Kein Mord. Kein Mord!
Fury3Encounter01|Fury Encounter 3 01|Tisiphone|Mmmmorrrd ....
Fury3Encounter02|Fury Encounter 3 02|Tisiphone|Mord ...? Mord, Morrrd ...!
Fury3Encounter02|Fury Encounter 3 02|Zagreus|Ich hatte wirklich gehofft, wir könnten das Thema wechseln. Bitte!
Fury3Encounter02|Fury Encounter 3 02|Tisiphone|Möörder ... {#DialogueItalicFormat}Mööörrder{#PreviousFormat}!
Fury3Encounter03|Fury Encounter 3 03|Tisiphone|Mmm ... Mmm .... Mmmrrrr ....!
Fury3Encounter03|Fury Encounter 3 03|Zagreus|Lass mich raten. Mord? Oder vielleicht Mörder? Eins von beiden.
Fury3Encounter03|Fury Encounter 3 03|Tisiphone|Mmm, Mmmord ... Mmmord!!
Fury3Encounter04|Fury Encounter 3 04|Tisiphone|Mmmrrrrr ... Mmorrrd ....
Fury3Encounter04|Fury Encounter 3 04|Zagreus|Ich bitte dich, ich bin kein Mörder. Du musst das nicht tun.
Fury3Encounter04|Fury Encounter 3 04|Tisiphone|Mörder. Möörrderrr ....
Fury3Encounter05|Fury Encounter 3 05|Tisiphone|Mörder ... Mord, Mord, {#DialogueItalicFormat}Mord{#PreviousFormat}!
Fury3Encounter05|Fury Encounter 3 05|Zagreus|Wir beide kommen hier offensichtlich auf keinen grünen Zweig. Es tut mir leid, dass es so kommen musste.
Fury3Encounter05|Fury Encounter 3 05|Tisiphone|Mörder. {#DialogueItalicFormat}Mörderrr{#PreviousFormat}!!
Fury3Encounter06|Fury Encounter 3 06|Tisiphone|Mord? Mord ...? Mord ....
Fury3Encounter06|Fury Encounter 3 06|Zagreus|Ich verstehe nicht ganz. Aber ich bin nicht der, für wen du mich hältst. Mein Vater hat dich geschickt, um mich aufzuhalten, das ist alles.
Fury3Encounter06|Fury Encounter 3 06|Tisiphone|Mörder ... Mörder! {#DialogueItalicFormat}Mörder{#PreviousFormat}!
Fury3Encounter07|Fury Encounter 3 07|Tisiphone|Mrrr... mörr.. dderr... {#DialogueItalicFormat}MMörrdderr{#PreviousFormat}!
Fury3Encounter07|Fury Encounter 3 07|Zagreus|Nein, nicht Mörder. Zagreus. Ich heiße Zagreus! Kannst du das sagen, Tisiphone? Nicht Mörder. {#DialogueItalicFormat}Zagreus{#PreviousFormat}!
Fury3Encounter07|Fury Encounter 3 07|Tisiphone|Mörr... rrd... zerrr....
Fury3Encounter08|Fury Encounter 3 08|Tisiphone|Mm, mörrr... rrrd... zerrr!
Fury3Encounter08|Fury Encounter 3 08|Zagreus|Du hast wirklich {#DialogueItalicFormat}Mördzer {#PreviousFormat} gesagt! Das nenne ich Fortschritt! Zagreus! Ich bin Zagreus, ich bin kein Mörder! Kannst du Zagreus sagen?
Fury3Encounter08|Fury Encounter 3 08|Tisiphone|Derr... zerr... zahh... zahh, {#DialogueItalicFormat}graaahh{#PreviousFormat}!
Fury3Encounter09|Fury Encounter 3 09|Tisiphone|Zerr... znnhh... zrrrnggh...!
Fury3Encounter09|Fury Encounter 3 09|Zagreus|Erinnerst du dich an mich, Tisiphone? Ich bin Zagreus. Prinz der Unterwelt? Ich schätze, Megaira und ich stehen uns ziemlich nah. Kannst du mir zuliebe nochmal versuchen, Zagreus zu sagen?
Fury3Encounter09|Fury Encounter 3 09|Tisiphone|Zrrnngh... zaahh... zahh... gree... mrrsss...?
Fury3Encounter10|Fury Encounter 3 10|Tisiphone|Zzaaahhh... derr... err... Zzahh... derr.
Fury3Encounter10|Fury Encounter 3 10|Zagreus|Du bist so nah dran, Tisiphone! Weißt du noch, Zagreus? Das bin ich. Ich bin nicht dein Feind, wirklich! Ich bin nur Zagreus!
Fury3Encounter10|Fury Encounter 3 10|Tisiphone|...Zzzzzaaahhh... gree... usss.... Zzaagreeusss! {#DialogueItalicFormat}Zaagreuss{#PreviousFormat}!!
Fury3Encounter11|Fury Encounter 3 11|Tisiphone|{#DialogueItalicFormat}Zzzaaggreussss{#PreviousFormat}.... mm... Mmörrdderrr....
Fury3Encounter11|Fury Encounter 3 11|Zagreus|Nein. Warte. Nur den ersten Teil. Nicht Mörder. Nur Zagreus. Oder ...mal sehen, wie wär's mit ... glücklich? Kannst du glücklich sagen?
Fury3Encounter11|Fury Encounter 3 11|Tisiphone|Mmrrr... {#DialogueItalicFormat}Zzzrrderrr{#PreviousFormat}....
Fury3Encounter12|Fury Encounter 3 12|Tisiphone|Mmörrdd... Zzaagreusss... {#DialogueItalicFormat}Mmörrdderrr{#PreviousFormat}...
Fury3Encounter12|Fury Encounter 3 12|Zagreus|{#DialogueItalicFormat}Ähm{#PreviousFormat}, also gut... versuchen wir es nochmal mit {#DialogueItalicFormat}glücklich{#PreviousFormat}. Wie wär's damit? Glücklich? Kein Mord, nur glücklich. Komm, versuch es!
