Id|Description|Speaker|Text
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Oh, hello, Zagreus. I understand you liberated me from my eternal punishment. And so I have returned to serve your father here. Thanks.
OrpheusFirstMeeting|Orpheus First Meeting|Zagreus|Orpheus, you're back! Look, don't get on Father's bad side like that and you're going to be fine. Besides... right now I think he's angrier with me.
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|I grieve for you, my friend. But if you've come to ask me for a song, why, I'm afraid I must stand firm about my answer.
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Oh, hello, Zagreus. I understand you liberated me from my eternal punishment. And so I have returned to serve your father here. Thanks.
OrpheusFirstMeeting|Orpheus First Meeting|Zagreus|Orpheus, you're back! Look, don't get on Father's bad side like that and you're going to be fine. Besides... right now I think he's angrier with me.
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|I grieve for you, my friend. But if you've come to ask me for a song, why, I'm afraid I must stand firm about my answer.
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Oh, hello, Zagreus. I understand you liberated me from my eternal punishment. And so I have returned to serve your father here. Thanks.
OrpheusFirstMeeting|Orpheus First Meeting|Zagreus|Orpheus, you're back! Look, don't get on Father's bad side like that and you're going to be fine. Besides... right now I think he's angrier with me.
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|I grieve for you, my friend. But if you've come to ask me for a song, why, I'm afraid I must stand firm about my answer.
OrpheusFirstMeeting_Alt|Orpheus First Meeting Alt|Orpheus|Oh, hello, Zagreus. I understand you liberated me from my eternal punishment. And so I have returned to serve your father here. Thanks.
OrpheusFirstMeeting_Alt|Orpheus First Meeting Alt|Zagreus|Orpheus, you're back! Look, don't get on Father's bad side like that, and you're going to be fine. I've fought with him enough for all our sakes.
OrpheusFirstMeeting_Alt|Orpheus First Meeting Alt|Orpheus|I grieve for you, my friend. But if you've come to ask me for a song, why, I'm afraid I must stand firm about my answer.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Orpheus|Oh, hello Zagreus. I was just wondering if you had ever heard of any other court musicians who had lost the will to sing? Your father's asked me to explain myself and honestly it has been rather difficult.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Zagreus|If it's any consolation, mate, I'm certain every single undead court musician serving in the throne room of the god of the dead has been through everything you're going through.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Orpheus|Oh, hello Zagreus. I was just wondering if you had ever heard of any other court musicians who had lost the will to sing? Your father's asked me to explain myself and honestly it has been rather difficult.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Zagreus|If it's any consolation, mate, I'm certain every single undead court musician serving in the throne room of the god of the dead has been through everything you're going through.
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Orpheus|It's awfully quiet here, you know, when you're out and about? Makes me a bit self-conscious, truth be told, seeing as ostensibly I'm the musician of this court.
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Zagreus|Look, if you decide to start strumming on that lyre again, I'm sure nobody here is going to mind. Though you take care, OK?
