Id|Description|Speaker|Text
ZeusWithAphrodite01|Zeus With Aphrodite 01|Zeus|Jovencito, sé que te gustaría conocer a la agraciada Afrodita en persona, o no sé, quizá prefieras decidirlo tú mismo cuando al fin llegues aquí. Está en sus manos, ¿no es así, querida Afrodita?
ZeusWithAphrodite01|Zeus With Aphrodite 01|Aphrodite|¿Cómo dices, Zeus? ¡Qué comentario más grosero viniendo de {#DialogueItalicFormat}ti{#PreviousFormat}! ¡Qué escándalo que el modelo en el que los demás dioses nos inspiramos me dedique esas palabras a {#DialogueItalicFormat}mí{#PreviousFormat}!
AresWithAphrodite01|Ares With Aphrodite 01|Ares|Espero con ansia el día en que por fin llegues al Olimpo. Allí hay pocos con intereses como los que creo que compartimos.
AresWithAphrodite01|Ares With Aphrodite 01|Aphrodite|En efecto, aquí solo hay unos pocos que comparten tales intereses, ¿no crees, Ares? En cuanto a ti, querido mío, tómate todo el tiempo que necesites.
AresWithAphrodite02|Ares With Aphrodite 02|Ares|Guerras iniciadas por amor... ¿Te lo imaginas? Afrodita y yo podemos pasarnos horas hablando de ellas. Confío en que, de vez en cuando, te detengas a pensar por qué elegiste luchar. Tampoco es que necesitaras un motivo, claro.
AresWithAphrodite02|Ares With Aphrodite 02|Aphrodite|Ares, en verdad no hay necesidad de enturbiar los pensamientos y el juicio de nuestro diosecillo con este tipo de comentarios, ¿eh? Démosle lo que quiere y sigamos nuestra charla en privado.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Oye, {#DialogueItalicFormat}um{#PreviousFormat}, Zagreo. No puedo dejar de pensar en una cosa. No te lo tomes a mal, ¿vale? Oh, no. Es ella.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Aphrodite|Vaya, Artemisa. ¡Te ha comido la lengua el gato! ¿Es por el diosecillo del Inframundo o un poco por mí? {#DialogueItalicFormat}Ajá{#PreviousFormat}, seguro que ya darás con la respuesta.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|A ver, qué estaba... {#DialogueItalicFormat}Agh{#PreviousFormat}... Mira, da igual. Hablaremos en otro momento.
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Artemis|{#DialogueItalicFormat}Esto{#PreviousFormat}, Zagreo, al parecer no fui capaz de eludir a Afrodita, a pesar de mis instintos de cazadora. Insistió en que nos presentaramos ante ti al mismo tiempo, por alguna razón...
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Aphrodite|¡Venga ya, Artemisa! Seguro que eres muy capaz de mantenerte oculta de bestias comunes, pero te veo claramente. ¿Por qué no eres sincera contigo misma la próxima vez?
AphroditeWithZeus01|Aphrodite With Zeus 01|Aphrodite|Querido, tu tío desea decirte algo desde nuestra montaña, aunque yo le aseguré que los dos lo teníamos todo bajo control.
AphroditeWithZeus01|Aphrodite With Zeus 01|Zeus|Vamos, Zagreo, lo único que Afrodita tiene bajo control es su larga lista de babosos pretendientes, ¿no es cierto? Afrodita, concédele tu bendición y márchate, ya me encargo yo.
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|Si hay algo que deberías saber de esta familia, querido, es que cada uno tiene sus rarezas. Aunque siempre nos mantenemos unidos y el amor persiste.
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Poseidon|Oh, {#DialogueItalicFormat}jo{#PreviousFormat}. ¿Qué tenemos aquí, pequeño Hades? ¡Me parece que ya tienes {#DialogueItalicFormat}compañía{#PreviousFormat}! Bueno, os dejaré en paz. Mis labios están más sellados que el casco de un buque de guerra.
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|¡Oh, quédate si quieres, Poseidón! Solo estaba explicando lo idiota que eres, aunque tú podrás expresarlo mejor. Bueno, querido, ¿por dónde iba?
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|Perdónanos, diosecillo, y con eso quiero decir a la familia del Olimpo entera. Algunos somos muy estirados y estamos complicando las cosas más de la cuenta.
AphroditeWithAthena01|Aphrodite With Athena 01|Athena|Me pregunto, querida Afrodita, si estarías dispuesta a repetirme eso mirándome a la cara.
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|Ah, ¡sabes bien que haría mucho más que repetírtelas a la cara, querida Atenea! Francamente, te haría falta un repasito.
AphroditeWithAthena02|Aphrodite With Athena 02|Aphrodite|Querido, debes saber que Atenea y yo no siempre nos ponemos de acuerdo; quizá sea porque se piensa demasiado las cosas todo el rato, mientras que yo me dejo guiar por el corazón.
AphroditeWithAthena02|Aphrodite With Athena 02|Athena|Me alegro de que nos entendamos, entonces. Sería una vergüenza que Zagreo nos pillara discutiendo.
AphroditeWithAres01|Aphrodite With Ares 01|Aphrodite|Querido, creo que muchos pueden sorprenderse al saber que amor y guerra suelen ir de la mano. Fuerzas opuestas y sin embargo conectadas. ¡Las más fieras pasiones de los dioses y los mortales! ¿No es así, Ares?
AphroditeWithAres01|Aphrodite With Ares 01|Ares|Los mortales se empeñan tanto en aferrarse a sus vidas que muchos matarían por conseguirlo. La oleada de emoción que sienten... es una pasión que no es distinta de la otra, mi querida Afrodita.
AphroditeWithArtemis01|Aphrodite With Artemis 01|Aphrodite|¡Oh, querido! Te traigo a Artemisa, la de los ojos de águila, ¡que por dedicarse con tanto ahínco a la caza no ha desarrollado la capacidad de socialización adecuada para presentarse ella misma!
AphroditeWithArtemis01|Aphrodite With Artemis 01|Artemis|¡Capacidad de socialización me dice! ¡Andando por ahí vestida {#DialogueItalicFormat}así{#PreviousFormat}! Estoy segura de que sabes que te puedo encontrar cuando sea necesario, Zagreo. Pero cómo alejarse de Afrodita, no tengo idea.
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Aphrodite|Mis poderes, querido, van de la mano de los de Dioniso, ¡con su capacidad para disuadir a la mente para que encuentre belleza donde realmente no la hay!
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Dionysus|{#DialogueItalicFormat}Ja, ja, ja{#PreviousFormat}, no tienes por qué adularme así, Afrodita. La belleza está casi por completo en la mente, ¡de eso no cabe duda! Y en los músculos, en la forma de la mandíbula, en una sonrisa arrebatadora... ¿Pero quién soy yo para decirlo?
AphroditeWithDemeter01|Aphrodite With Demeter 01|Aphrodite|La venerable diosa de las estaciones, Deméter, elige tener el aspecto más regio que puede, ¿te lo puedes creer, querido? Aunque no entiendo por qué querría nadie dejarse tantas arrugas en el rostro.
AphroditeWithDemeter01|Aphrodite With Demeter 01|Demeter|Oh, querida Afrodita... no sabrías nada sustancioso si una piel fina te ofreciese su abrigo. Tu expresión pone en evidencia tus intenciones e intereses por igual.
AphroditeAboutOlympianReunionQuest01|Aphrodite About Olympian Reunion Quest 01|Zagreus|Vale, creo que estoy preparado. ¡En el nombre de Hades! ¡Olimpo, este es un mensaje oficial! ¡Espero que estés bien, Afrodita!
AphroditeAboutOlympianReunionQuest01|Aphrodite About Olympian Reunion Quest 01|Aphrodite|¡Pero {#DialogueItalicFormat}menuda {#PreviousFormat}sorpresa, querido! Qué mensaje más enigmático has enviado. Qué cautivador, necesito saber qué dice. Porta los símbolos de otros dioses del Olimpo, así que... ¿quizá debemos tratar el asunto juntos?
AphroditePostEpilogue01|Aphrodite Post Epilogue 01|Aphrodite|¡Querido, no tienes ni idea del rato tan delicioso que pasé en nuestra visita! Tantos sonidos, y vistas y olores nuevos... ¡fue una maravilla! Y te han cargado con una responsabilidad tremenda, ¿no es así? ¿Te importa si sigo concediéndote mi bendición de vez en cuando...?
AphroditeAboutZeus01|Aphrodite About Zeus 01|Aphrodite|¿Ya has conocido a Zeus? Ah, ¡a veces me olvido de que es tu tío! Te aseguro que merece la pena contar con su favor.
AphroditeAboutPoseidon01|Aphrodite About Poseidon 01|Aphrodite|El zoquete de Poseidón ya ha hablado contigo, ¿verdad? Es todo músculos, fanfarronería y bravuconadas. Me alegro de que tú no seas así.
AphroditeAboutAthena01|Aphrodite About Athena 01|Aphrodite|Querido, conociste a Atenea, así que sabes que en el Olimpo no somos todas iguales. Algo por lo que personalmente doy las gracias a los ancestros.
AphroditeAboutAres01|Aphrodite About Ares 01|Aphrodite|Cariño, percibo en ti la marca de Ares. Los demás dioses no lo entienden demasiado, pero seguro que tú aprecias sus excelentes cualidades.. ¿puede que también las mías?
AphroditeAboutArtemis01|Aphrodite About Artemis 01|Aphrodite|La taciturna Artemisa ha contactado contigo, ¿no? Oh, es adorable, querido; pero no hagas movimientos bruscos cerca de ella, ¿{#DialogueItalicFormat}eh{#PreviousFormat}?
AphroditeAboutDionysus01|Aphrodite About Dionysus 01|Aphrodite|¡Eres muy afortunado por haber recibido la bendición de Dioniso antes que la mía! El más noble e importante de todos nosotros... ¡el mismísimo dios del vino!
AphroditeAboutDemeter01|Aphrodite About Demeter 01|Aphrodite|¿Acaso la vieja y triste Deméter llegó hasta ti antes que yo? Cuando le ofrezco ayuda, la rechaza la muy cabezota, ¡no como tú, diosecillo!
AphroditePostGiftPickup01|Aphrodite Post Gift Pickup 01|Aphrodite|¡Cómo me gusta tener estos pequeños encuentros imprevistos contigo, cariño! ¡Eres tan espontáneo! ¡Me encanta!
AphroditePostGiftPickup02|Aphrodite Post Gift Pickup 02|Aphrodite|¡Querido, no dejes de seguir a tu corazón! Créeme, es un buen guía. ¡El mío me dice que vas a triunfar!
AphroditePostGiftPickup04|Aphrodite Post Gift Pickup 04|Aphrodite|Cariño, {#DialogueItalicFormat}sabes {#PreviousFormat}que estoy casada, ¿no? Te perdonaría si no lo supieras, mi marido siempre está atareado. Doy gracias por poder contar contigo para hablar.
AphroditePostFlashback01|Aphrodite Post Flashback 01|Aphrodite|El Olimpo te va a encantar, diosecillo. El aire es fresco y vigorizante, los jardines exuberantes, abundan los banquetes… Vaya, lo contrario de todo a lo que estás acostumbrado.
AphroditePostFlashback02|Aphrodite Post Flashback 02|Aphrodite|¿Qué deberíamos hacer cuando por fin llegues aquí? ¡Tal vez podríamos salir a conocer algunos mortales! Sé de un montón de doncellas o nobles caballeros que estarían encantadísimos de conocerte.
AphroditeVsAchilles01|Aphrodite Vs Achilles 01|Aphrodite|Querido, un pajarito me ha dicho que la sombra del gran héroe Aquiles vive en la morada de tu padre. Siempre he deseado conocerlo...
AphroditeVsAchilles02|Aphrodite Vs Achilles 02|Aphrodite|Conociste a Aquiles después de todo, diosecillo. Fue un elemento clave en una guerra que provoqué. Aun así, se resistió a mis intentos de influir en sus actos. Dile simplemente que lo admiro.
AphroditeVsAchilles03|Aphrodite Vs Achilles 03|Aphrodite|El gran héroe Aquiles sigue ignorándome cuando le tiendo educadamente la mano. No lo entiendo, ¡lo he intentado varias veces! De verdad que no puedo con el reino de tu padre. ¡Qué frustrante debe de ser!
AphroditeVsMeg01|Aphrodite Vs Meg 01|Aphrodite|Has tenido un encontronazo con la erinia Megera, ¿no es así? Sé un par de cosas sobre ella. Aunque, últimamente, los del Olimpo no nos relacionamos con los que viven en el Inframundo. ¡Tú eres la única excepción!
AphroditeVsMeg02|Aphrodite Vs Meg 02|Aphrodite|Un pajarito me ha dicho que, hace poco, la erinia Megera y tú… os habéis cogido cariño. Ten cuidado cuando estés con ella y procura no quedarte prendado, ¿eh?
AphroditeAboutKeepsake01|Aphrodite About Keepsake 01|Aphrodite|Pero si esa es mi Rosa Eterna, ¿me equivoco? Me llega al corazón que pienses primero en mí de entre mi poderosa parentela. ¡Me agrada estar en tus pensamientos!
AphroditeRunCleared01|Aphrodite Run Cleared 01|Aphrodite|¿Qué {#DialogueItalicFormat}pasa {#PreviousFormat}por tu casa, querido? Creía que de verdad ibas a escapar, pero parece que ese asqueroso lugar te mantiene prisionero. No desesperes, arriba ese ánimo, ¿vale?
AphroditeAboutPersephoneMeeting01|Aphrodite About Persephone Meeting 01|Aphrodite|¡Algo ha despertado en tu corazón, querido! ¡Estas cosas nunca se me escapan! ¿Cierto amor, por tu familia? Sí, ha de ser eso, creo. ¿Qué te ha pasado últimamente, {#DialogueItalicFormat}eh{#PreviousFormat}?
AphroditePostEpilogue02|Aphrodite Post Epilogue 02|Aphrodite|¡Y pensar que tu padre y la dulce Perséfone ya habían vivido juntos ahí abajo! Y yo que estaba segura de que el corazón de tu padre era de hielo. ¡Así son las cosas con el amor, querido! ¡A veces incluso me sorprende a mí!
AphroditeHighAffinity01|Aphrodite High Affinity 01|Aphrodite|Mi queridísimo diosecillo, ¿cómo esta yendo todo últimamente? Adoro tener estas pequeñas charlas contigo, por simples que sean, pues me han alegrado muchas de mis tardes aquí.
AphroditeAboutLove01|Aphrodite About Love 01|Aphrodite|Diosecillo, ya conocerás los siete tipos de amor, ¿verdad? ¡Es un terreno de lo más complicado! Sin embargo, unos me intrigan más que otros. De hecho, ¡tengo para ti amor de todas las clases!
AphroditeAboutLove02|Aphrodite About Love 02|Aphrodite|Querido, siento tu corazón henchido de verdad. Irradias amor. Debes de haber estrechado lazos con muchos seres queridos. ¿Puede que quieras hacerlo conmigo también? Me complace mucho ver cómo resplandece tu espíritu.
AphroditeAboutLove03|Aphrodite About Love 03|Aphrodite|¡Ay, querido! He de decir que tu corazón parece a punto de estallar de amor por todos aquellos a quienes aprecias. Tus amigos cercanos, tus amores ardientes, tu familia... ¡{#DialogueItalicFormat}todos{#PreviousFormat}! ¡Eres el vivo testimonio de mi obra entera!
AphroditeBackstory01|Aphrodite Backstory 01|Aphrodite|Querido, no puedo evitar preguntarme por qué Hades nos ha ocultado tu mera existencia todo este tiempo. Tal vez sabía que, en cuanto nos conocieras, harías lo imposible por reunirte con nosotros.
AphroditeAboutMegRelationship01|Aphrodite About Meg Relationship 01|Aphrodite|Percibo que al fin has dado rienda suelta a esa pasión reprimida por la erinia Megera, ¿no es así, diosecillo? ¡Estas cosas no se me escapan, y disfruto siempre mucho al verlas!
AphroditeAboutMegRelationship02|Aphrodite About Meg Relationship 02|Aphrodite|¿Qué tal te está tratando últimamente la temible erinia Megera, {#DialogueItalicFormat}uhm{#PreviousFormat}, querido? Conozco a las mujeres como ella. Se comporta como si nada la afectara, ¿no es así?
AphroditeAboutThanRelationship01|Aphrodite About Than Relationship 01|Aphrodite|{#DialogueItalicFormat}Hum{#PreviousFormat}, mi corazón me dice que has desarrollado un fuerte vínculo con el tristón de Tánatos, ¿verdad? ¡Siempre imaginé que ese carácter depresivo era solo una pose!
AphroditeAboutThanRelationship02|Aphrodite About Than Relationship 02|Aphrodite|¡Diosecillo, ojalá conociera hasta el último detalle de tu relación con Tánatos! ¿La infame personificación de la muerte y el hijo de Hades, confraternizando? ¡Todo un escándalo, en mi opinión!
AphroditeAboutDusaRelationship01|Aphrodite About Dusa Relationship 01|Aphrodite|Esto, ¿querido? Si mis sentidos perfectamente desarrollados no fallan, parece que estás bastante colado por cierta gorgona que conociste allí abajo. ¡Debe de ser adorable, aunque extraño!
AphroditeAboutDusaRelationship02|Aphrodite About Dusa Relationship 02|Aphrodite|Algo ha cambiado en el latido de tu corazón, querido. {#DialogueItalicFormat}Ah{#PreviousFormat}, es esa gorgona, ¿no? Ay, los habitantes del Inframundo y sus complicados sentimientos... No me canso nunca de esos dramas. Aceptad ambos mis bendiciones, ¿{#DialogueItalicFormat}eh{#PreviousFormat}?
AphroditeLowHealth01|Aphrodite Low Health 01|Aphrodite|Mírate. Pobrecito mío. ¡Estás herido! Déjame ver si puedo conseguir que mejores.
AphroditeLowHealth02|Aphrodite Low Health 02|Aphrodite|Vaya, querido. No estás en condiciones de salir conmigo. ¿Aunque quizás puedas recuperarte de tus penurias con mi ayuda?
AphroditeLowHealth03|Aphrodite Low Health 03|Aphrodite|Querido, ¡ese corazón tuyo palpita como loco! ¿De verdad te ha ido tan mal hasta ahora? Intentaré ayudarte en todo lo que pueda.
AphroditeLowHealth04|Aphrodite Low Health 04|Aphrodite|Estás en una situación terrible, ¿verdad? Y aun así, percibo que tu orgulloso corazón sigue latiendo, al menos por ahora. ¡No te me mueras aún!
AphroditeLowHealth05|Aphrodite Low Health 05|Aphrodite|Ah, diosecillo, ¡estás al borde de la muerte! No queremos {#DialogueItalicFormat}eso{#PreviousFormat}, porque si mueres, ¡no podrás disfrutar aquí de mis bendiciones!
AphroditeLegendaryPickUp01|Aphrodite Legendary Pick Up 01|Aphrodite|He estado esperando un momento especial para confesarte lo mucho que aprecio tus actos… Y este lo es, ¿no?
AphroditeLegendaryPickUp02|Aphrodite Legendary Pick Up 02|Aphrodite|La mejor de mis bendiciones está reservada para quienes se han ganado mi más profunda adoración. Así pues, ¡enhorabuena, cariño! ¡Aquí tienes!
AphroditeLegendaryPickUp03|Aphrodite Legendary Pick Up 03|Aphrodite|¡A veces nuestros corazones están tan henchidos que podrían explotar! Si tan solo pudieras ver lo mucho que me preocupo por ti... ¡Daría lo que fuera por ayudarte! Te doy mis bendiciones más sinceras, querido.
