Id|Description|Speaker|Text
DusaFirstMeeting|Dusa First Meeting|Dusa|¡{#DialogueItalicFormat}Ah{#PreviousFormat}! El príncipe en persona. ¿Deseáis… deseáis hablar conmigo? ¡Oh, vaya, oh, {#DialogueItalicFormat}vaya!{#PreviousFormat}
DusaFirstMeeting|Dusa First Meeting|Zagreus|Solo quería decirte que has dejado la cantina impecable, como nueva. ¡Mejor! Espero que no te haya dado mucho trabajo.
DusaFirstMeeting|Dusa First Meeting|Dusa|Yo, yo, yo, yo… {#DialogueItalicFormat}Aaah{#PreviousFormat}, tengo que limpiar las vigas…
DusaMiscMeeting02|Dusa Misc Meeting 02|Dusa|Yo.... {#DialogueItalicFormat}ehmmm{#PreviousFormat}... ¡espero que tengáis una feliz estancia! ¡Aunque ya no queráis vivir aquí, alteza!
DusaMiscMeeting02Extra|Dusa Misc Meeting Extra 02|Zagreus|{#DialogueItalicFormat}Estooo{#PreviousFormat}... ¿Dusa? Es posible que me pase por aquí a menudo, pero no te molestes en recoger mis aposentos, por favor. No me quedaré mucho.
DusaMiscMeeting02Extra|Dusa Misc Meeting Extra 02|Dusa|¡Oh, {#DialogueItalicFormat}ja, ja, ja{#PreviousFormat}, claro! Pero echaré un ojo de vez en cuando por si cambiáis de opinión. ¡Así que hasta luego!
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|{#DialogueItalicFormat}Esto{#PreviousFormat}... príncipe, tu padre está que echa fuego por los ojos. Te aconsejo que te alejes de él. ¿O prefieres que le diga que no estás?
DusaMiscMeeting03|Dusa Misc Meeting 03|Zagreus|No te preocupes, Dusa. No le tengo miedo. Y tú tampoco deberías tenérselo. Eres la mejor asistenta que ha tenido en la vida.
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|Yo… solo hago mi trabajo, príncipe.
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|Oh, {#DialogueItalicFormat}vaya{#PreviousFormat}, hola, príncipe. ¿Se te ofrece algo? ¿Quieres que limpie más a fondo? He pensado que igual te apetece beber algo. Algún día.
DusaMiscMeeting04|Dusa Misc Meeting 04|Zagreus|¡Ah! Me parece estupendo, Dusa. Igual mañana, suponiendo que no me haya largado para entonces.
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|¿Cómooo? Digo… no os preocupéis. Digo… olvidadlo. Perdonad. ¡Con los dioses!
DusaMiscMeeting05|Dusa Misc Meeting 05|Dusa|Uh, {#DialogueItalicFormat}umm{#PreviousFormat}, solo quería disculparme, porque... Puede que no me comportase como mandan los dioses la última vez que hablasteis conmigo. Pero me encanta este trabajo, de verdad, y prometo que siempre trabajaré duro; por eso, esperaba que me dierais otra oportunidad.
DusaMiscMeeting05|Dusa Misc Meeting 05|Zagreus|Dusa, por favor, no tienes por qué disculparte. Haces un trabajo maravilloso, de verdad.
DusaMiscMeeting05|Dusa Misc Meeting 05|Dusa|¿Cómo? ¿De verdad, príncipe? Pues… gracias. Muchísimas gracias.
DusaPostFlashback01|Dusa Post Flashback 01|Dusa|Oh, {#DialogueItalicFormat}vaya{#PreviousFormat}... hola, alteza. Solo quería decirte que, si logras escapar, te echaré… te echaremos de menos. Todos, ¿lo entiendes? Así que... ¡con los dioses…!
