Id|Description|Speaker|Text
OrpheusWithEurydice01|Orpheus With Eurydice 01|Orpheus|Vaya, Zagreo, qué maravilloso verte por aquí. Eurídice y yo hemos estado poniéndonos al día sobre todo el tiempo que pasamos separados.
OrpheusWithEurydice01|Orpheus With Eurydice 01|Eurydice|Sí, así que si nos disculpas, cariño... Aún me queda mucho por contarle. pero antes de que te vayas, ¡toma!
OrpheusWithEurydice02|Orpheus With Eurydice 02|Zagreus|Nunca había oído nada semejante. Por bien que sonéis cada uno por separado, cuando estáis juntos sois gloria bendita.
OrpheusWithEurydice02|Orpheus With Eurydice 02|Orpheus|Espléndido cumplido, amigo mío. Sin duda, las mismas moiras conspiraron para asegurarse de que Eurídice y yo nos conociésemos y cantásemos juntos, para que nos enamorásemos. ¡Y luego, cruelmente, nos separaron!
OrpheusWithEurydice02|Orpheus With Eurydice 02|Eurydice|No empieces con eso otra vez, ¿vale, Orfi? ¡Tenemos toda la muerte por delante! Y muchas canciones que retomar.
OrpheusWithEurydice02|Orpheus With Eurydice 02|Orpheus|Pues tienes toda la razón, amor mío. ¿Nos disculpas, Zagreo? Nuestra vocación nos llama.
OrpheusWithEurydice03|Orpheus With Eurydice 03|Zagreus|Eh, tortolitos, ¿qué tal os va últimamente? ¿Hablando de nuevo? ¿O cantando?
OrpheusWithEurydice03|Orpheus With Eurydice 03|Orpheus|Oh, pues nos va a pedir de boca, amigo mío. Nunca pensé que volvería a ver a Eurídice, después de que...
OrpheusWithEurydice03|Orpheus With Eurydice 03|Eurydice|Orfi no puede parar de hablar de lo que pasó, cariño, pero vamos avanzando. Gracias por convencerlo de hacerme una visita. Seguro que hizo falta que le insistieras mucho.
OrpheusWithEurydiceMiscChat01|Orpheus With Eurydice Misc Chat 01|Eurydice|¡Qué alegría que nos visites, majestad! Toma, ¡para ti!
OrpheusWithEurydiceMiscChat02|Orpheus With Eurydice Misc Chat 02|Eurydice|A Orfi y a mí nos va genial, gracias a ti. ¡Cuídate, cariño!
OrpheusWithEurydiceMiscChat03|Orpheus With Eurydice Misc Chat 03|Eurydice|Espero que tú también encuentres a alguien con quien cantar, cariño.
OrpheusWithEurydiceMiscChat04|Orpheus With Eurydice Misc Chat 04|Eurydice|No temas, majestad. Dejaré que vuelva al trabajo a tiempo. ¿Has oído, Orfi?
OrpheusWithEurydiceMiscChat05|Orpheus With Eurydice Misc Chat 05|Eurydice|Orfi y yo somos como el típico matrimonio que lleva toda la vida unido, cariño.
OrpheusWithEurydiceMiscChat06|Orpheus With Eurydice Misc Chat 06|Eurydice|Si encuentras la felicidad, cariño, abrázala sin mirar atrás.
OrpheusWithEurydiceMiscChat07|Orpheus With Eurydice Misc Chat 07|Eurydice|No me va tan mal por aquí, cariño. Espero que tú puedas decir lo mismo.
OrpheusWithEurydiceMiscChat08|Orpheus With Eurydice Misc Chat 08|Eurydice|¿Qué te voy a decir, cariño? ¡Nos encanta ensayar nuestra canción preferida!
OrpheusWithEurydiceMiscChat09|Orpheus With Eurydice Misc Chat 09|Eurydice|¡Pero si es el hijo de Hades haciéndonos una visita!
OrpheusWithEurydiceMiscChat18|Orpheus With Eurydice Misc Chat 18|Eurydice|¿Adivinas con qué hemos andado últimamente, pimpollo? Y ahora, si nos disculpas...
OrpheusWithEurydiceMiscChat19|Orpheus With Eurydice Misc Chat 19|Eurydice|Hemos acabado de comer. Ha sobrado un montón.
OrpheusWithEurydiceMiscChat20|Orpheus With Eurydice Misc Chat 20|Eurydice|Lo único mejor que cantar, pimpollo, es hacerlo con la persona a la que amas.
OrpheusWithEurydiceMiscChat21|Orpheus With Eurydice Misc Chat 21|Eurydice|¡Orfi tan solo está practicando para cuando tenga que cantar ante papá Hades!
OrpheusWithEurydiceMiscChat22|Orpheus With Eurydice Misc Chat 22|Eurydice|¡Mira, estamos en mitad de una canción, pimpollo!
OrpheusWithEurydiceMiscChat23|Orpheus With Eurydice Misc Chat 23|Eurydice|No he tenido mucha suerte enseñando a Orfi a cocinar, ¡pero cantar se le da de lujo!
OrpheusWithEurydiceMiscChat24|Orpheus With Eurydice Misc Chat 24|Eurydice|¡Mira, Orfi, tenemos público! ¡Echa toda la carne al asador!
OrpheusWithEurydiceMiscChat25|Orpheus With Eurydice Misc Chat 25|Eurydice|No te preocupes por Orfi, pimpollo. ¡Es imposible sacarle del trance cuando se pone a cantar!
OrpheusWithEurydiceInTheBloodChat01|Orpheus With Eurydice In The Blood Chat 01|Eurydice|¿Conoces esta melodía, pimpollo? ¡Es uno de nuestros viejos éxitos!
OrpheusWithEurydiceInTheBloodChat02|Orpheus With Eurydice In The Blood Chat 02|Eurydice|¡Tan solo estamos recordando viejos tiempos, Orfi y yo!
OrpheusWithEurydiceInTheBloodChat03|Orpheus With Eurydice In The Blood Chat 03|Eurydice|¡Pensé en que podríamos variar nuestra forma de cantar, pimpollo!
OrpheusWithEurydiceInTheBloodChat04|Orpheus With Eurydice In The Blood Chat 04|Eurydice|¡He de decirte que le he cogido cariño a esta canción con los años!
EurydiceFirstMeeting01_A|Eurydice First Meeting A 01|Eurydice|¡Eh, sois el hijo de Hades! ¿Cómo os va, majestad? Encantada de conoceros, soy Eurídice. ¿Qué hace un pez gordo como vos en un lugar como este?
EurydiceFirstMeeting01_A|Eurydice First Meeting A 01|Zagreus|¡Hola! No hay que ser formal, soy Zagreo. Solo estoy yendo en camino a unos asuntos oficiales. Vigilando la situación del magma de primera mano. No es por ser grosero, pero ando con prisa.
EurydiceFirstMeeting01_A|Eurydice First Meeting A 01|Eurydice|Vaya, te come el trabajo, pimpollo. Te dejo, pero tengo una norma: nadie se marcha con las manos vacías, ¿lo entiendes? Escoge algo, que invita la casa.
EurydiceFirstMeeting01_B|Eurydice First Meeting B 01|Eurydice|¡Eh, sois el hijo de Hades! ¿Cómo os va, majestad? Encantada de conoceros, soy Eurídice. ¿Qué hace un pez gordo como vos en un lugar como este?
EurydiceFirstMeeting01_B|Eurydice First Meeting B 01|Zagreus|¡Hola! Dejémonos de formalismos. Soy Zagreo. Estoy de viaje oficial para vencer a la siniestra Hidra Calavérica. No quiero ser grosero, pero ando con prisas.
EurydiceFirstMeeting01_B|Eurydice First Meeting B 01|Eurydice|Vaya, veo que te come el trabajo, pimpollo. Te dejo entonces, pero tengo una norma: nadie se marcha con las manos vacías, ¿lo entiendes? Así que escoge algo, ¡invita la casa!
EurydiceFirstMeeting01_C|Eurydice First Meeting C 01|Zagreus|¡Hola! Dejémonos de formalismos. Soy Zagreo. Estoy de viaje oficial. Espera... Si te llamas Eurídice, conocerás a un tal Orfeo, ¿no? ¿Amante de la música, un poco taciturno, con pelazo?
EurydiceFirstMeeting01_C|Eurydice First Meeting C 01|Eurydice|{#DialogueItalicFormat}Je{#PreviousFormat}, ¿acaso te envía él? Mira, pimpollo, será mejor que prosigas con tu camino. Pero no puedes irte con las manos vacías. Lo tengo por norma. Elige algo, que invito yo. Pero a él, nada de nada.
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Eurydice|Pimpollo, ¿qué ocurre? Suéltalo ya. Me da en la raíz que hay un problema. No te andes por las ramas.
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Zagreus|Verás, es que creo que conoces a un tal Orfeo, ¿no? ¿Amante de la música, un poco taciturno, con pelazo? Es músico en la morada de mi padre. Dice que eres su musa y que te echa muchísimo de menos. Quería que lo supieses.
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Eurydice|Conque Orfeo ha dicho eso, ¿eh? La próxima vez que lo veas, pregúntale por la vez que se aventuró hasta aquí para salvarme, aunque ya estaba muerta. ¿Adivinas cómo acabó la cosa?
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Zagreus|{#DialogueItalicFormat}Mmm{#PreviousFormat}... sí, me lo imagino. Vaya, no quería importunarte.
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Eurydice|Bueno, ni él tampoco. ¿Pero sabes qué? Que con la intención no basta. Anda, toma. Acepta esto y sigue tu camino.
EurydiceAboutOrpheus02|Eurydice About Orpheus 02|Eurydice|¿Qué pasa, pimpollo? Oh, no, no me digas que has venido del Tártaro para preguntarme más cosas de ese músico gandul amiguito tuyo.
EurydiceAboutOrpheus02|Eurydice About Orpheus 02|Zagreus|¡Claro que no! Estoy aquí por lo divinamente que cantas, que cocinas y por tu conversación. Aunque, ahora que lo mencionas, parece que le quisieras decir cuatro cosas. ¿Hay algo que pueda hacer al respecto?
EurydiceAboutOrpheus02|Eurydice About Orpheus 02|Eurydice|A ver si lo entiendo. ¿Orfeo la jorobó como un tonto y soy {#DialogueItalicFormat}yo {#PreviousFormat}la que tiene que dar el primer paso? Lo siento, pimpollo, pero me planto. Él y yo hemos terminado. ¿Y sabes qué? Que nuestra conversación también ha terminado. Si me disculpas…
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Eurydice|¡Hola, pimpollo! ¿Qué te parece? Una tonada celestial, ¿eh? No entiendo por qué la gente no canta. Te anima y te entretiene. ¿Qué más se puede pedir?
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Zagreus|Una balada preciosa, sí. Aunque estés enfadada con él... con Orfeo, digo... sigues cantándola.
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Eurydice|Oh, no es la canción de Orfeo. ¿Me tomas por tonta? Esta la compuse yo. Se le llenaba la boca diciendo que era su musa. Claro, porque le escribía la mitad de las canciones. De eso no ha dicho ni pío, ¿verdad?
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Zagreus|Bueno, no con esas palabras, pero… Orfeo puede llegar a ser un poco hermético.
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Eurydice|Más bien puede llegar a ser un poco insoportable. Algo que espero que no les contagie a sus amigotes. Ahora tengo que practicar. Hasta la vista.
EurydiceAboutOrpheus04|Eurydice About Orpheus 04|Zagreus|Oye, Eurídice, prometo no incordiarte más con este tema, pero tu marido está hecho polvo con lo que sucedió entre vosotros. Lo siente de todo corazón y te quiere con toda el alma. Es una realidad.
EurydiceAboutOrpheus04|Eurydice About Orpheus 04|Eurydice|{#DialogueItalicFormat}Tsss{#PreviousFormat}... ¿y qué quieres que haga yo, majestad?
EurydiceAboutOrpheus04|Eurydice About Orpheus 04|Zagreus|Pues… no lo sé. ¿Pero sabes una cosa? No te fíes de mi palabra. Fíate de la suya.
EurydiceAboutOrpheus04|Eurydice About Orpheus 04|Eurydice|No creas que voy a lanzarme corriendo a sus brazos por lo que dices. Pero, como hijo de Hades, si quieres mover unos cuantos hilos por nosotros, no te cortes. Eso sí: no voy a crearme ninguna expectativa. Incluso si las mereciera.
EurydiceProgressWithOrpheus01|Eurydice Progress With Orpheus 01|Eurydice|Dime, {#DialogueItalicFormat}mmm{#PreviousFormat}... ¿cómo está Orfeo? ¿Sigue teniendo esos ricitos tan monos? Imagino que ya se le habrá ido el bronceado.
EurydiceProgressWithOrpheus01|Eurydice Progress With Orpheus 01|Zagreus|¿Ricitos? No exactamente, no. Pero está de maravilla. Ha vuelto a cantar y todo, lo cual supone un gran paso. Antes se negaba. Decía que había perdido a su musa.
EurydiceProgressWithOrpheus01|Eurydice Progress With Orpheus 01|Eurydice|Y ahora sabe que estoy aquí, ¿eh? Pues… en fin, gracias por ponerme al día. Tiene el don de la música. Me alegra saber que no lo ha tirado todo por tierra.
EurydiceProgressWithOrpheus02|Eurydice Progress With Orpheus 02|Zagreus|Eurídice, ¿te puedo pedir un favor? No es que me debas nada, ¿pero considerarías escuchar mi propuesta?
EurydiceProgressWithOrpheus02|Eurydice Progress With Orpheus 02|Eurydice|Claro, pimpollo, ¿qué quieres? Espero que no me pidas mis recetas. Son un secreto familiar que guardamos con celo. Te diría que me las llevaré a la tumba, pero… bueno, ya sabes.
EurydiceProgressWithOrpheus02|Eurydice Progress With Orpheus 02|Zagreus|No quiero tus recetas, aunque son deliciosas. Quiero tu canción. Sería un bombazo en la morada. Y conozco a alguien que necesita oírla. ¿No tienes por ahí alguna copia en un pergamino?
EurydiceProgressWithOrpheus02|Eurydice Progress With Orpheus 02|Eurydice|Majestad, ¿quieres mi {#DialogueItalicFormat}canción{#PreviousFormat}? Sabes que se titula {#DialogueItalicFormat}"Buen viaje"{#PreviousFormat}, ¿verdad? {#DialogueItalicFormat}Bah{#PreviousFormat}, ¿por qué no? Si va a sonar música en la morada, que sea de la buena. Y, con tu permiso, te daré otra cosa más.
EurydiceProgressWithOrpheus_SongReaction01|Eurydice Progress With Orpheus Song Reaction 01|Eurydice|Dime... ¿Qué le pareció, cariño? Me refiero a la canción. Apuesto que la adoró, vaya, pero no estoy segura. Y me lo he estado preguntando, quizás demasiado tiempo.
EurydiceProgressWithOrpheus_SongReaction01|Eurydice Progress With Orpheus Song Reaction 01|Zagreus|No te lo preguntes más. Él la canta divinamente bien en la morada. De vez en cuando. Tiene un tono más tristón que cuando la cantas tú, pero… has vuelto a inspirarle. Como otras tantas veces, según tengo entendido.
EurydiceProgressWithOrpheus_SongReaction01|Eurydice Progress With Orpheus Song Reaction 01|Eurydice|Uhm. Conque ha sido un exitazo, ¿no? Tenía buen pálpito con esa canción. A veces ocurre que juntamos unas cuantas palabras y nos damos cuenta enseguida de que hemos creado algo especial.
EurydiceProgressWithOrpheus03|Eurydice Progress With Orpheus 03|Eurydice|¿Y ahora qué, pimpollo? Es decir, ahora que me has hecho pensar otra vez en Orfeo, me pregunto qué tengo que hacer.
EurydiceProgressWithOrpheus03|Eurydice Progress With Orpheus 03|Zagreus|Aunque no podáis reuniros todavía, espero que te sientas mejor al saber lo mucho que te quiere. Trataré de mover unos cuantos hilos, como dijiste. No te prometo nada con mi padre, pero… haré todo lo que pueda.
