Id|Description|Speaker|Text
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Oh, hola, Zagreo. Tengo entendido que me has liberado de mi castigo eterno. Así que he regresado para servir a tu padre. Gracias.
OrpheusFirstMeeting|Orpheus First Meeting|Zagreus|Orfeo, has vuelto. Oye, si no le buscas las cosquillas a mi padre, todo te irá de maravilla. Además, ahora está más furioso conmigo.
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Lamento oír eso, amigo mío. Pero si vienes a pedirme una balada, mucho me temo que he de mantenerme firme en mi respuesta.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Orpheus|Oh, hola, Zagreo. ¿Habías oído hablar de algún otro músico de corte que haya perdido el deseo de cantar? Tu padre me ha pedido explicaciones y, sinceramente, ha sido difícil excusarme.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Zagreus|Si te sirve de consuelo, todos los músicos difuntos que han cantado en el salón del trono del dios de la muerte han pasado por lo mismo.
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Orpheus|Aquí reina un silencio sepulcral cuando te marchas. Me da un poco de vergüenza, la verdad sea dicha, teniendo en cuenta que, en teoría, soy el músico de la corte.
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Zagreus|Mira, si decides ponerte a tocar de nuevo esa lira, seguro que a nadie de por aquí le va a molestar. Pero sobre todo cuídate, ¿eh?
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|Ah, hola, Zagreo. Te veo un tanto decaído. ¿Te apetece, por casualidad, que te cante una canción?
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Zagreus|¿Qué me dices de {#DialogueItalicFormat}El lamento{#PreviousFormat}? ¡Esa solías tocarla mucho!
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|Esa te agrada, ¿verdad? Ay de mí, no tengo aliento para cantarla más. Aunque me alegro de que te guste.
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|Oye, Orfeo, perdona mi brusquedad, pero tengo que preguntártelo. ¿Por qué no cantas? ¡Eras una leyenda, tío! Nuestro músico de corte.
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|Porque he perdido a mi musa, amigo mío. No hay más explicación que esa. ¿No ha habido momentos de tu vida en los que hayas perdido el deseo de perseguir tus sueños?
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|Supongo que sí, claro. Pero hace poco recuperé la ilusión y por eso tengo que escapar de aquí.
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|Y me alegro de corazón por ti, amigo. Ay, yo no he tenido fortuna en mi búsqueda, pero eso ya quedó atrás... así que aquí me tienes, ¿de acuerdo?
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|¿Hay algo que pueda hacer para ayudarte a encontrar a tu musa, amigo?
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|Mucho me temo que hace tiempo ya que perdí a mi musa, amigo mío, pero mil gracias por preguntar. Imagino que seguirá por ahí, pues recorrí esta tierra de punta a punta en su busca y acabé encontrándola. Pero de eso hace una eternidad.
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|Espera... ¿Dices que la encontraste? ¿Y qué pasó?
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|Ocurrió cuando aún estaba vivo, ¿comprendes? Y como tu padre no permite que nadie abandone este reino, también me quedé atrapado aquí. No la he visto desde entonces, y ya ni siquiera me apetece viajar.
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|Vaya… Siento oírlo. Gracias por contármelo. Espero que puedas volver a verla algún día.
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Orpheus|Te agradezco el interés, amigo mío, pero te pido que no te preocupes por nosotros. Ya estamos muertos. No pasa nada.
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Zagreus|Amigo, si no te importa... me encantaría que me hablases un poco más de tu musa.
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Orpheus|Mi musa... ¡Nunca ha habido nadie tan esplendente como mi Eurídice! Era tan gentil, y al mismo tiempo tenía un corazón tan indomable, que hacía que el tuyo te doliese solo de pensarlo. Inspiró muchas de mis composiciones.
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Zagreus|Pues son un puñado. Menudo partidazo de chica. Te acompaño en el sentimiento. Gracias por compartir tus recuerdos conmigo.
OrpheusMiscMeeting06|Orpheus Misc Meeting 06|Orpheus|Gracias por escuchar, amigo mío. Eurídice también me escuchaba siempre…
OrpheusMiscMeeting07|Orpheus Misc Meeting 07|Orpheus|Tengo entendido que has viajado más allá de las entrañas del Tártaro, amigo mío. Otra heroica gesta tuya que, la verdad sea dicha, me resulta de lo más inspiradora.
OrpheusMiscMeeting07|Orpheus Misc Meeting 07|Zagreus|¿Tan inspiradora como para... devolverte las ganas de cantar?
OrpheusMiscMeeting07|Orpheus Misc Meeting 07|Orpheus|Oh, qué insinuación tan descarada, Zagreo. Aún no sé si estoy listo para ello. Yo... necesito reflexionar, si te parece bien.
OrpheusAboutHades01|Orpheus About Hades 01|Zagreus|Parece que padre está que echa humo contigo, Orfeo. ¿De verdad no te planteas volver a cantar? Sabes que no bromea cuando te amenaza con castigarte.
OrpheusAboutHades01|Orpheus About Hades 01|Orpheus|Tu padre puede mostrarse de lo más... persuasivo, sí. Sin embargo, esta vez, ¡no pienso ceder! No tengo intención de volver a cantar para él.
OrpheusAboutHades01|Orpheus About Hades 01|Zagreus|¿Y para mí? ¿O para tus otros amigos de la corte?
OrpheusAboutHades01|Orpheus About Hades 01|Orpheus|Pues… no. Por favor. He perdido a mi musa. No puedo hacer tal cosa.
OrpheusAboutPressure01|Orpheus About Pressure 01|Orpheus|Últimamente pareces bastante agitado, amigo mío. ¿Te ocurre algo, quizá?
OrpheusAboutPressure01|Orpheus About Pressure 01|Zagreus|¡{#DialogueItalicFormat}Oh{#PreviousFormat}! No, estoy bien, Orfeo. Es que tengo mucho en lo que pensar, debo analizar mis próximos pasos. Cosas que tengo que resolver yo solo.
OrpheusAboutPressure01|Orpheus About Pressure 01|Orpheus|Ah, te entiendo perfectamente. Durante bastante tiempo fui reticente a hablar de mi musa perdida. Si en algún momento necesitas apoyo emocional, que sepas que seguiré por aquí...
