Id|Description|Speaker|Text
Text|Text|Zagreus|Oye, me siento halagado por tus muestras de cariño, pero… no quiero que tengamos este tipo de relación. Te he dado falsas esperanzas. Perdóname. ¿Seguimos siendo amigos?
Text|Text|Megaera|¿Es eso todo lo que quieres de verdad, ser mi amigo? {#DialogueItalicFormat}Je{#PreviousFormat}. A veces es difícil entenderte, Zag. Pero, ¿sabes qué? Ya he intentado muchas cosas en mi vida, ¿por qué no probamos lo que dices? Te veré por ahí.
Text|Text|Megaera|¿Seguro? Oye, no pasa nada. Nos vemos ahí fuera.
Text|Text|Zagreus|Sí… A veces, tengo que echar el freno. Me alegro de que nos llevemos mejor últimamente. Pero he pecado de impetuoso. Perdóname. Somos amigos del alma. No quiero que nada te haga daño. Ni nadie.
Text|Text|Thanatos|Ya veo. Entiendo. También te considero mi amigo del alma, aunque últimamente hemos puesto esa relación en peligro, ¿no es así? Cuídate, Zag. Nos vemos.
Text|Text|Zagreus|Hasta más ver, sí.
Text|Text|Zagreus|Tan... {#DialogueItalicFormat}Ja, ja, ja{#PreviousFormat}. Qué alegría. ¿Sabes que… Megera también ha venido a verme...?
Text|Text|Thanatos|{#DialogueItalicFormat}Tch{#PreviousFormat}. Conozco a Megera desde mucho antes que tú. ¿Quién crees que me metió en todo esto?
Text|Text|Zagreus|¡Ja! Ella, ¿verdad? Eso está bien. Muy bien.
Text|Text|Thanatos|¿Estás seguro? En fin… Lo entiendo. Será mejor que retome mis obligaciones.
Text|Text|Zagreus|Hasta la vista, Tan.
Text|Text|Zagreus|Mira, os aprecio mucho. A los dos. Muchísimo. Me alegra tener este nivel de intimidad... y que lo tengáis vosotros, en lugar de estar todo el día a la gresca como antes. Pero creo que ahora mismo esto me supera.
Text|Text|Megaera|¿Seguro? Mira... me parece bien, ya tienes bastante presión. Nos vemos por ahí, entonces.
Text|Text|Thanatos|Ya charlaremos en otra ocasión, ¿de acuerdo?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|¡Tánatos…! Te invitaría a pasar, pero… ya estás dentro. Qué alegría me da verte.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|Dime una cosa, Zagreo. Lo de antes... ¿lo has dicho en serio? ¿Crees que debemos… ir con más calma?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|No quiero presionarte. Sé que todo esto resulta abrumador. Y quiero que sepas que… no he actuado por impulso. Te esperaré el tiempo que haga falta.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|{#DialogueItalicFormat}Agh{#PreviousFormat}. Tú no sabes por qué impulsos debes dejarte llevar y cuáles debes mantener a raya. Dices que esperarás. Respóndeme entonces: ¿a qué esperas? ¿A qué esperas? Ya estoy aquí. ¿No es cierto...?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|¡Tan…! {#DialogueItalicFormat}Ja, ja, ja{#PreviousFormat}. ¡Tienes razón!
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Tan, habla de una vez. Detesto cuando te quedas callado tanto tiempo. ¿Qué te ronda por la cabeza?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|Muchas cosas. Y has de aprender a aceptarlo. Intento decirte que no malinterpretes mi silencio, ¿de acuerdo? Me marcho. Tengo mucho trabajo atrasado. Ya nos veremos... si te parece bien.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Claro. Claro.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Zagreo, aquí no hay puertas. ¿Por qué te llevas siempre una sorpresa?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|{#DialogueItalicFormat}Esto{#PreviousFormat}, Meg, Tan... ¿qué hacéis? ¿Qué está pasando? Sea lo que sea, puedo explicarlo, o... espera, estáis sonriendo los dos. Ah... dejadme unos segundos para hacerme a la idea de todo esto.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Qué poco confías en Tánatos y en mí, Zag. Nos conocemos desde mucho antes de que tú nacieras.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Thanatos|De hecho, diría que a estas alturas nos conocemos muy bien, ¿verdad, Megera?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|¿Acaso no ves que ahora no estamos de servicio, Zagreo?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|¡{#DialogueItalicFormat}Ja{#PreviousFormat}! De acuerdo, entonces... si al final esto no es más que un sueño, me voy a cabrear mucho. En fin, solo hay una forma de averiguarlo.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|Vaya, estooo… ¿Por dónde iba?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|¡Bueno! Creo que hemos llegado a un acuerdo. Debería irme. Hasta la próxima, Zag. Y Tánatos.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|Fiu, bueno, ha sido... ha sido... {#DialogueItalicFormat}ejem{#PreviousFormat}.
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|Y, por último, se te prohíbe ofrecer más ayuda al príncipe Zagreo. ¿Nos entendemos?
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Sisyphus|Pero, por supuesto, maestro Tánatos, ¡jamás se me ocurriría! De hecho, mi mente está totalmente ocupada con las últimas estrategias para empujar rocas.
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|Basta. Vuelve a tu trabajo, que yo volveré al mío.
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Sisyphus|Comprendo, maestro Tánatos, y haré como dices. No más ayuda para el príncipe Zagreo, lo digo completamente en serio esta vez.
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Thanatos|Bien. Nuestro pellejo depende de que no descubran tus engaños. Asegúrate de que eso no suceda.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|... Sería sabio por tu parte el tener en cuenta mis palabras la próxima vez, y temer las consecuencias de eludirme. La Muerte puede ser harto desagradable, como estoy seguro de que ya sabes.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Sisyphus|Bueno, ese es el caso, maestro Tánatos. Nunca me he sentido realmente aterrado por los Dioses, si me lo permitís. Hasta donde puedo recordar, todos parecéis sufrir los mismos problemas que padecen los mortales. Descontando el miedo a la muerte, claro.
