Id|Description|Speaker|Text
ZeusWithAphrodite01|Zeus With Aphrodite 01|Zeus|Jeune homme, je sais que tu aimerais faire connaissance avec la charmante Aphrodite en tête-à-tête, ou encore... oh, et puis, tu verras bien une fois arrivé là-haut ! Il verra bien, n'est-ce pas, ma chère Aphrodite, hm ?
ZeusWithAphrodite01|Zeus With Aphrodite 01|Aphrodite|Mes oreilles me joueraient-elles des tours, Seigneur Zeus ?! Voilà qui m'a l'air d'être une remarque franchement grossière, venant de {#DialogueItalicFormat}toi {#PreviousFormat}! Je suis outrée de voir que notre modèle de conduite à tous se permet de tenir de tels propos sur {#DialogueItalicFormat}moi {#PreviousFormat}!
AresWithAphrodite01|Ares With Aphrodite 01|Ares|J'ai hâte que tu nous rejoignes enfin au sommet de l’Olympe. Certaines personnes ici partagent les mêmes intérêts que nous, je pense.
AresWithAphrodite01|Ares With Aphrodite 01|Aphrodite|En effet, certains d’entre nous partagent de tels intérêts, n’est-ce pas, Seigneur Arès ? Quant à {#DialogueItalicFormat}toi{#PreviousFormat}, mon trésor, prends tout ton temps !
AresWithAphrodite02|Ares With Aphrodite 02|Ares|Des guerres déclarées au nom de l'amour... tu imagines, cher parent ? La dame Aphrodite et moi-même pourrions débattre sur le sujet jusqu'à la fin des temps. J'espère que tu prends parfois le temps de te demander pourquoi tu as choisi de te battre. Même s'il n'y a pas besoin de raison précise, évidemment.
AresWithAphrodite02|Ares With Aphrodite 02|Aphrodite|Oh, Seigneur Arès, est-ce vraiment la peine de troubler le jugement de notre petit dieu avec de tels commentaires, {#DialogueItalicFormat}hm {#PreviousFormat}? Donnons-lui ce qu'il veut, et nous pourrons continuer cette conversation en privé.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Hé, {#DialogueItalicFormat}euh{#PreviousFormat}, Zagreus ! Je voulais justement te demander quelque chose. Ne va pas te faire des idées ou quoi que ce soit, OK...? Oh non, la voilà, celle-là.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Aphrodite|Ma foi, Artémis, tu es bien silencieuse ! C'est notre petit dieu des Enfers qui te fait cet effet ? À moins peut-être que ce ne soit moi...? {#DialogueItalicFormat}Hm-hm{#PreviousFormat}, ne t'inquiète pas, je suis sûre que tu trouveras ta réponse un jour !
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Écoute, qu’est-ce que je... {#DialogueItalicFormat}eurgh{#PreviousFormat}, tu sais quoi, laisse tomber. On parlera une autre fois, j'imagine.
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Artemis|{#DialogueItalicFormat}Euh{#PreviousFormat}, Zagreus, malgré mes instincts de chasseresse, il semblerait que je n'aie pas réussi à échapper à Aphrodite, qui a insisté pour qu'on se présente toutes les deux simultanément devant toi, pour une raison que j'ignore...
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Aphrodite|Oh, je t'en prie, Artémis ! Je suis sûre que tu es tout à fait capable d'échapper à n'importe quel animal, mais je lis en toi comme dans un parchemin ouvert. Tiens, pourquoi ne commencerais-tu pas par être honnête avec toi-même, la prochaine fois ?
AphroditeWithZeus01|Aphrodite With Zeus 01|Aphrodite|Mon trésor, j'ai eu beau lui assurer que nous avons tous les deux la situation sous contrôle, ton oncle veut absolument prendre de tes nouvelles lui-même !
AphroditeWithZeus01|Aphrodite With Zeus 01|Zeus|Allons, Zagreus, la seule chose qu'Aphrodite a sous contrôle est sa liste interminable de prétendants, n'ai-je pas raison ? Aphrodite, accorde donc ta bénédiction et va faire un tour. Je prends le relais.
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|S'il y a une chose à savoir sur cette famille, mon trésor, c’est que nous avons tous nos petites excentricités. Mais malgré ça, nous nous serrons toujours les coudes, et c'est ainsi que l'amour qui nous unit perdure !
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Poseidon|Oh, {#DialogueItalicFormat}hoh {#PreviousFormat}! Mais que vois-je là, p'tit Hadès ? On dirait bien que tu as de la {#DialogueItalicFormat}compagnie {#PreviousFormat}! Bon, eh bien, je vous laisse discuter entre vous, alors. Ne vous inquiétez pas, ma bouche est aussi bien cousue que les voiles d'un navire de guerre !
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|Oh, mais je t'en prie, reste avec nous, Poséidon ! J'étais justement en train de lui expliquer à quel point tu es stupide, mais tu es sans doute le mieux placé pour ça ! Enfin bref, où en étais-je, mon trésor...?
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|Tu dois nous excuser, petit dieu. Je parle de notre grande famille sur l'Olympe ! Certains d'entre nous sont terriblement coincés, et rendent les choses bien plus compliquées qu'elles n'ont besoin de l'être.
AphroditeWithAthena01|Aphrodite With Athena 01|Athena|Je me demande, très chère Aphrodite, si tu serais prête à me répéter de telles choses en face ?
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|Oh, tu sais que je ferais bien plus que ça à ta face, ma chère Athéna ! Pour être tout à fait franche, il y a de quoi faire !
AphroditeWithAthena02|Aphrodite With Athena 02|Aphrodite|Mon chéri, tu dois savoir que la déesse Athéna et moi-même ne sommes pas toujours du même avis. Peut-être parce qu'elle passe son temps à trop réfléchir, tandis que moi, je suis mon cœur !
AphroditeWithAthena02|Aphrodite With Athena 02|Athena|Je suis contente de voir que nous avons pu nous mettre d'accord pour cette fois, alors. Ce serait fort embarrassant de nous chamailler devant Zagreus.
AphroditeWithAres01|Aphrodite With Ares 01|Aphrodite|Je pense que pour beaucoup d'entre nous, il peut être étonnant d'apprendre que l'amour et la guerre sont souvent inséparables, mon trésor. Des forces opposées, mais qui s'attirent en quelque sorte, tu comprends ? Les passions les plus ardentes des dieux et des mortels ! N'est-ce pas, Seigneur Arès ?
AphroditeWithAres01|Aphrodite With Ares 01|Ares|Les mortels tiennent tellement à leur vie que beaucoup d'entre eux seraient prêts à tuer pour continuer de s'y accrocher. L'élan d'émotion qu'ils éprouvent... en effet, toutes les passions se ressemblent, ma chère Aphrodite.
AphroditeWithArtemis01|Aphrodite With Artemis 01|Aphrodite|Oh, mon trésor ! J'amène avec moi Artémis au regard perçant, qui, s'étant consacrée à la chasse tout au long de sa vie, ne s'est malheureusement pas sociabilisée assez pour venir te rencontrer d'elle-même !
AphroditeWithArtemis01|Aphrodite With Artemis 01|Artemis|C'est elle qui parle d'être sociable ! En paradant comme {#DialogueItalicFormat}ça {#PreviousFormat}! Tu sais très bien que je peux te trouver quand il faut, Zagreus. Mais par contre, comment échapper à Aphrodite, là, aucune idée.
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Aphrodite|Tu sais, mon trésor, mes pouvoirs se complimentent à merveille avec ceux de Dionysos, qui eux persuadent l'esprit que la beauté réside là où elle n'est en réalité pas du tout !
