Id|Description|Speaker|Text
ZeusWithAres01|Zeus With Ares 01|Zeus|Mon neveu ! En vertu de mon autorité divine, Arès, mon fils bien souvent incompris, va maintenant t'accorder une infime fraction de son pouvoir. Je vais bien finir par le rendre utile, celui-là !
ZeusWithAres01|Zeus With Ares 01|Ares|Je ferai tout ce que tu voudras, Père. Tes désirs sont les miens.
AresWithPoseidon01|Ares With Poseidon 01|Ares|Pardonne-moi, mon cher parent, mais je dois avouer que je regrette parfois de ne pas avoir pu faire plus ample connaissance avec ton père. Mon oncle, ainsi que mon propre père ici présent... n'ont pas tout à fait les mêmes dispositions que moi.
AresWithPoseidon01|Ares With Poseidon 01|Poseidon|Peut-être que si tu étais moins étrange et que tu faisais quelques efforts pour paraître plus fréquentable, nous aurions plus de choses en commun, Arès ! Si tu as besoin de conseils à ce sujet, eh bien, n'hésite pas !
AresWithAthena01|Ares With Athena 01|Ares|J'espérais pouvoir te parler à nouveau en privé, cher parent, mais vois-tu...
AresWithAthena01|Ares With Athena 01|Athena|...Mais vois-tu, cher Cousin, certains membres de notre famille sont prédisposés à l’indicible. Je te mets en garde contre mon demi-frère, voilà tout. À présent, poursuis ton chemin.
AresWithAthena01|Ares With Athena 01|Ares|Tu m'interromps une fois de plus, ma chère sœur. Tu sais que cela m’est égal. Je te préviens, ne te mêle pas de mes affaires. J’aiderai mon parent comme bon me semble.
AresWithAthena01|Ares With Athena 01|Athena|Tu fais toujours comme bon te semble, cher Arès. Veille seulement à garder le même cap que nous tous.
AresWithAphrodite01|Ares With Aphrodite 01|Ares|J'ai hâte que tu nous rejoignes enfin au sommet de l’Olympe. Certaines personnes ici partagent les mêmes intérêts que nous, je pense.
AresWithAphrodite01|Ares With Aphrodite 01|Aphrodite|En effet, certains d’entre nous partagent de tels intérêts, n’est-ce pas, Seigneur Arès ? Quant à {#DialogueItalicFormat}toi{#PreviousFormat}, mon trésor, prends tout ton temps !
AresWithAphrodite02|Ares With Aphrodite 02|Ares|Des guerres déclarées au nom de l'amour... tu imagines, cher parent ? La dame Aphrodite et moi-même pourrions débattre sur le sujet jusqu'à la fin des temps. J'espère que tu prends parfois le temps de te demander pourquoi tu as choisi de te battre. Même s'il n'y a pas besoin de raison précise, évidemment.
AresWithAphrodite02|Ares With Aphrodite 02|Aphrodite|Oh, Seigneur Arès, est-ce vraiment la peine de troubler le jugement de notre petit dieu avec de tels commentaires, {#DialogueItalicFormat}hm {#PreviousFormat}? Donnons-lui ce qu'il veut, et nous pourrons continuer cette conversation en privé.
AresWithDionysus01|Ares With Dionysus 01|Ares|Ah, cher parent ! Je demandais justement au Seigneur Dionysos ici présent à quelle occasion les plus grands banquets des mortels ont lieu. Parce que j'ai ma petite idée sur le sujet, vois-tu...
AresWithDionysus01|Ares With Dionysus 01|Dionysus|Ouais, ouais, c'est bon, t'as gagné, Arès. Y'a rien de mieux qu'un festin après une bonne guerre, c'est sûr ! À condition d'y avoir survécu ! Sinon, bah, j'imagine qu'ils ont plus qu'à festoyer là-dessous avec {#DialogueItalicFormat}toi{#PreviousFormat}, Zag !
AresWithDemeter01|Ares With Demeter 01|Ares|Le froid de la mort va à ravir à la déesse Déméter, tu ne trouves pas, mon cher parent ? En plus, elle s'y habitue à merveille.
AresWithDemeter01|Ares With Demeter 01|Demeter|Je trouve que tu t'égares, cher Arès. N'oublie pas que je suis ton aînée ; mes famines avaient déjà tué les mortels par dizaines de milliers avant même que l'idée de faire tes premières victimes ne t'ait traversé l'esprit.
AresKillQuestComplete|Ares Kill Quest Complete|Ares|Dix mille âmes sont tombées sous tes coups, cher parent. À vrai dire, je n'en reviens toujours pas moi-même. Excellent travail.
AresAboutOlympianReunionQuest01|Ares About Olympian Reunion Quest 01|Zagreus|C'est parti... au nom d'Hadès ! Olympe, ceci est un message officiel ! Seigneur Arès, je vous prie de réfléchir à notre proposition... une fois que vous aurez réussi à la déchiffrer.
AresAboutOlympianReunionQuest01|Ares About Olympian Reunion Quest 01|Ares|Oh, mais qu'est-ce donc, cher parent ? Une sorte d'invitation ? Et pas uniquement pour moi... ces symboles, ils représentent tous les autres, n'est-ce pas ? Voilà qui est curieux. J'enquêterai sur la signification de tout ceci le plus tôt possible. Mais avant tout...!
AresPostEpilogue01|Ares Post Epilogue 01|Ares|Je souhaitais à nouveau te faire part de mon immense plaisir quant à nos récentes festivités, cher parent. J'ai enfin pu voir ton royaume de la mort de mes propres yeux ! J'ai beaucoup appris. Et j'ai hâte d'en apprendre encore plus à travers notre collaboration, hm ?
AresAboutZeus01|Ares About Zeus 01|Ares|Le Seigneur Zeus m’a précédé, à ce que je vois. Les cadeaux de mon père sont généreux, en effet, mais... je pense pouvoir me rendre également utile à ma manière.
AresAboutPoseidon01|Ares About Poseidon 01|Ares|La bénédiction de ton oncle Poséidon t'a peut-être aidé jusqu’à présent, mais tiens : mon cadeau te fera avancer plus loin encore.
AresAboutAthena01|Ares About Athena 01|Ares|Serait-ce la bénédiction d'Athéna que tu as là ? Elle ne fait que te protéger contre tes ennemis, tandis que la mienne t'accorde le moyen de les exterminer une bonne fois pour toutes.
AresAboutAphrodite01|Ares About Aphrodite 01|Ares|{#DialogueItalicFormat}Hm{#PreviousFormat}, je vois que tu as déjà obtenu la bénédiction d’Aphrodite. L’amour et la mort, ensemble main dans la main ? Voilà qui me semble tout à fait acceptable.
AresAboutArtemis01|Ares About Artemis 01|Ares|Ainsi donc, Artémis, ma demi-sœur solitaire, t'a trouvé avant moi ? Elle ne fait que t'aider à chasser, tandis que moi, je t'aiderai à tuer. Admire.
AresAboutDionysus01|Ares About Dionysus 01|Ares|Cet ivrogne de Dionysos ne peut pas t'aider autant que moi, cher parent infernal. Compare le cadeau qu’il t'a offert à ce que je te propose.
AresAboutHermes01|Ares About Hermes 01|Ares|Notre messager Hermès est bien entré en contact avec toi, n’est-ce pas ? Toutefois, tu ne le verras peut-être pas beaucoup, vu tout le travail que je lui donne pour accompagner les âmes jusqu’ici, entre autres responsabilités.
AresAboutDemeter01|Ares About Demeter 01|Ares|{#DialogueItalicFormat}Hm{#PreviousFormat}, la déesse Déméter t'aurait-elle accordé sa bénédiction ? Son pouvoir de plénitude s'oppose au mien à certains égards. Mais récemment, elle a choisi de le canaliser d'une façon que je trouve bien plus acceptable.
AresAboutHadesKeepsake01|Ares About Hades Keepsake 01|Ares|Ah, tu as la bénédiction de ton propre père, cher parent ? Quelle surprise... je sais que vous vous entendez mieux maintenant, tous les deux, et pourtant... j'ai du mal à me faire à l'idée que vous n'éprouvez plus de haine féroce l'un envers l'autre. Qui sait, peut-être qu'il en reste encore quelques traces, hm ?
AresKillProgress01|Ares Kill Progress 01|Ares|Savais-tu, cher parent, que tu as tué plus de cent ennemis depuis le début de ta quête ? C'est la vérité ! Je le sais, car je garde le compte. Et je suis très impressionné.
AresKillProgress02|Ares Kill Progress 02|Ares|Tu as un talent remarquable pour dispenser la mort, cher parent. D’après mes estimations, tu as abattu au moins un millier d'âmes, là-bas ! Certes, la plupart d'entre elles avaient déjà péri auparavant, mais tout de même !
AresKillQuest01|Ares Kill Quest 01|Ares|Je sais que tes aspirations sont nombreuses, mon cher parent. Pour être franc avec toi quant à mes propres motivations ; tu auras mon soutien infaillible tant que tu continueras de semer mort et destruction sur ton chemin.
AresKillQuestAftermath01|Ares Kill Quest Aftermath 01|Ares|Plus tu donnes la mort à tes ennemis, plus le lien qui nous unit se renforce, cher parent. Peux-tu le sentir, toi aussi ? À moins peut-être que ta soif de sang ne te fasse oublier tes autres sensations, hm ?
AresAboutThanatos01|Ares About Thanatos 01|Ares|Peut-être connais-tu un dieu du nom de Thanatos ? Nous travaillons très étroitement ensemble, vois-tu. Transmets-lui mes amitiés, la prochaine fois que tu le verras.
AresAboutThanatos02|Ares About Thanatos 02|Ares|J’espère que Thanatos se porte bien ? Il libère les mortels de leur existence terrestre de façon pacifique, ce qui est {#DialogueItalicFormat}loin {#PreviousFormat}d'être mon cas. Cela dit, je dois admettre qu’il s’y prend tout de même très bien.
AresAboutThanatos03|Ares About Thanatos 03|Ares|Est-ce vrai que tu es devenu très proche de Thanatos, cher parent ? Tu choisis très bien tes partenaires. Cela dit, j'avoue que je ne m'attendais pas à ce que la Mort se prenne d'affection pour quelqu'un...
AresRunProgress01|Ares Run Progress 01|Ares|Tu as fait beaucoup de chemin depuis notre dernière rencontre, cher parent. Ce qui signifie également que tu as fait un nombre incalculable de victimes. Félicitations.
AresRunProgress02|Ares Run Progress 02|Ares|{#DialogueItalicFormat}Ahh{#PreviousFormat}, cher parent ! Je sens que tu as versé du vrai sang, récemment ! Tu as tué des êtres vivants près de la surface, n’est-ce pas ? De la vulgaire vermine, certes, mais cela reste acceptable.
AresRunCleared01|Ares Run Cleared 01|Ares|Il y a eu une explosion de violence à la surface récemment, proche de ta position, mais plus en hauteur. C'était très étrange, mais ce doit être la raison pour laquelle tu es de retour là-bas. Quoi qu'il en soit, cela n'a pas d'importance ; nous avons tout notre temps.
AresRunCleared02|Ares Run Cleared 02|Ares|Je sens tellement la présence de la mort aux portes du royaume de ton père, cher parent. Je sais que cela n'a normalement rien de surprenant étant donné la nature du lieu, mais... il y a autre chose. Je me demande si {#DialogueItalicFormat}tu {#PreviousFormat}en sais plus à ce sujet...
AresRunCleared03|Ares Run Cleared 03|Ares|Je sais que tes efforts pour nous rejoindre ont été déjoués à de nombreuses reprises, cher parent, mais nous avons malgré tout causé tant de violence que nous nous devons de considérer cela comme une victoire. Continuons ainsi aussi longtemps qu'il le faudra.
