Id|Description|Speaker|Text
ZeusWithArtemis01|Zeus With Artemis 01|Zeus|Zagreus, quand tu nous auras rejoints là-haut, il faudra que nous te trouvions une compagne digne de toi, non ? Fringant jeune homme que tu es ! Ce n'est pas le choix qui manque ici, à quelques exceptions près... comme par exemple ma fille rusée, Artémis, qui refuse obstinément de choisir un compagnon !
ZeusWithArtemis01|Zeus With Artemis 01|Artemis|Oui, Zagreus, malgré tous ces prétendants au corps parfaitement sculpté, désireux de m'épouser ou de m'embarrasser, je préfère, pour une raison que j'ignore, passer le plus clair de mon temps seule ou avec mes amies nymphes dans les bois !
ArtemisWithZeus01|Artemis With Zeus 01|Artemis|{#DialogueItalicFormat}Tsk{#PreviousFormat}, {#DialogueItalicFormat}euh{#PreviousFormat}, Zagreus... Plutôt que de te saluer comme je le fais d'habitude, laisse-moi te présenter mon illustre, aimable et généreux père, ton oncle Zeus !
ArtemisWithZeus01|Artemis With Zeus 01|Zeus|{#DialogueItalicFormat}Hum{#PreviousFormat}, merci pour les présentations, ma fille. Maintenant, file ! Retourne donc batifoler avec tes nymphes ou que sais-je encore, et laisse-moi apporter mon aide à mon neveu. Accorde-lui tes faibles bénédictions s'il le faut.
ArtemisWithPoseidon01|Artemis With Poseidon 01|Artemis|Tu as sûrement fait connaissance avec mon père et mon oncle maintenant, pas vrai, Zagreus ? Je ne sais pas lequel est le pire. {#DialogueItalicFormat}Euh{#PreviousFormat}, je veux dire... lequel est supérieur ! Supérieur, bien que techniquement passant le plus clair de son temps dans les océans, sous l'Olympe, n'est-ce pas, mon oncle ?
ArtemisWithPoseidon01|Artemis With Poseidon 01|Poseidon|Oh, Artémis, inutile de vanter mes mérites devant le petit Hadès ! Et puis, que nous soyons dans la mer, au-dessus ou au-dessous importe peu pour nous autres dieux ! Vous êtes encore jeunes, tous les deux ! Continuez comme ça, et vous serez bientôt presque aussi grandioses que moi !
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Hé, {#DialogueItalicFormat}euh{#PreviousFormat}, Zagreus ! Je voulais justement te demander quelque chose. Ne va pas te faire des idées ou quoi que ce soit, OK...? Oh non, la voilà, celle-là.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Aphrodite|Ma foi, Artémis, tu es bien silencieuse ! C'est notre petit dieu des Enfers qui te fait cet effet ? À moins peut-être que ce ne soit moi...? {#DialogueItalicFormat}Hm-hm{#PreviousFormat}, ne t'inquiète pas, je suis sûre que tu trouveras ta réponse un jour !
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Écoute, qu’est-ce que je... {#DialogueItalicFormat}eurgh{#PreviousFormat}, tu sais quoi, laisse tomber. On parlera une autre fois, j'imagine.
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Artemis|{#DialogueItalicFormat}Euh{#PreviousFormat}, Zagreus, malgré mes instincts de chasseresse, il semblerait que je n'aie pas réussi à échapper à Aphrodite, qui a insisté pour qu'on se présente toutes les deux simultanément devant toi, pour une raison que j'ignore...
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Aphrodite|Oh, je t'en prie, Artémis ! Je suis sûre que tu es tout à fait capable d'échapper à n'importe quel animal, mais je lis en toi comme dans un parchemin ouvert. Tiens, pourquoi ne commencerais-tu pas par être honnête avec toi-même, la prochaine fois ?
ArtemisWithAres01|Artemis With Ares 01|Artemis|Si seulement on était tous en mesure de t'entendre, Zagreus, afin que le cher Seigneur Arès ici présent puisse enfin comprendre que mes pouvoirs sont destinés à des fins totalement différentes des siennes !
ArtemisWithAres01|Artemis With Ares 01|Ares|Peut-être que nos talents avaient des buts différents autrefois, chère Artémis ; mais qui sommes-nous pour remettre en cause le résultat final ? Observons donc ce qui se passera une fois que nous aurons accordé à notre parent nos pouvoirs combinés.
ArtemisWithAres02|Artemis With Ares 02|Artemis|Zagreus, j'espérais un peu d'intimité avant d'aller chasser, chose qui d'ailleurs est mon activité préférée, sauf que vois-tu, le Seigneur Arès vient toujours fureter dès qu'on sort des instruments de chasse !
ArtemisWithAres02|Artemis With Ares 02|Ares|Voyons, ma chère Artémis, ne penses-tu pas que la chasse n'est qu'un prélude à la guerre ? Car si les mortels ne savaient rien à la chasse, eh bien, ils ne seraient pas aussi doués pour s'entretuer.
