Id|Description|Speaker|Text
DusaFirstMeeting|Dusa First Meeting|Dusa|{#DialogueItalicFormat}Oh {#PreviousFormat}! Le Prince en personne, v-vous voulez me parler...? À moi ?! Oh, ouah, {#DialogueItalicFormat}oh ouah !!{#PreviousFormat}
DusaFirstMeeting|Dusa First Meeting|Zagreus|Je, {#DialogueItalicFormat}euh{#PreviousFormat}, je voulais juste vous dire, le salon est magnifique, c'est comme s'il était encore neuf. Mieux que neuf, même ! J’espère que vous n'avez pas eu trop de mal à tout remettre en ordre.
DusaFirstMeeting|Dusa First Meeting|Dusa|Je, je, je... {#DialogueItalicFormat}aah{#PreviousFormat}, j'ai du ménage à faire, je...!
DusaMiscMeeting02|Dusa Misc Meeting 02|Dusa|Je, {#DialogueItalicFormat}ah{#PreviousFormat}, j'espère que vous passez un agréable séjour ! Même si Votre Altesse ne souhaite plus vivre ici !
DusaMiscMeeting02Extra|Dusa Misc Meeting Extra 02|Zagreus|{#DialogueItalicFormat}Euh{#PreviousFormat}, Dusa ? Tout compte fait, il se peut que je fasse encore quelques allers-retours ici de temps en temps, comme maintenant. Mais, je vous en prie, ne vous donnez pas la peine de ranger ma chambre. Je ne reste pas longtemps.
DusaMiscMeeting02Extra|Dusa Misc Meeting Extra 02|Dusa|Oh, {#DialogueItalicFormat}hahaha{#PreviousFormat}, d'accord ! J'y jetterai quand même un œil, de temps en temps, au cas où vous changeriez d'avis. Euh, au revoir, donc !
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|{#DialogueItalicFormat}Euh{#PreviousFormat}, Prince ? Votre père, je... je crois qu'il est très fâché en ce moment, pour une raison que j'ignore, alors, peut-être que vous feriez mieux de l'éviter ? Ou sinon... je pourrais lui dire que vous n'êtes pas là ?
DusaMiscMeeting03|Dusa Misc Meeting 03|Zagreus|Tout va bien, Dusa. Je n’ai pas peur de lui, et vous ne devriez pas avoir peur non plus. Vous êtes la meilleure gorgone de ménage qu’il ait jamais trouvée.
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|Oh, {#DialogueItalicFormat}ah{#PreviousFormat}, euh, je... je ne fais que mon travail, Prince...!
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|Oh, {#DialogueItalicFormat}euh{#PreviousFormat}, bonjour, Prince ! Qu'est-ce que je peux faire pour vous ? Je pourrais faire un peu de rangement, ou... ou peut-être que vous voulez boire quelque chose ? Quand vous serez disponible ?
DusaMiscMeeting04|Dusa Misc Meeting 04|Zagreus|{#DialogueItalicFormat}Oh {#PreviousFormat}! Ça serait avec plaisir, Dusa. Peut-être demain, si je suis encore là...?
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|{#DialogueItalicFormat}Aaah{#PreviousFormat}, je veux dire, rien ne presse, je veux dire... oubliez ce que j'ai dit, désolée, au revoir !
