Id|Description|Speaker|Text
HypnosFirstMeeting|Hypnos First Meeting|Hypnos|Bienvenue dans la Maison d’Hadès, où... attends, je te connais, {#DialogueItalicFormat}toi {#PreviousFormat}! J'imagine que t'es mort dehors, du coup ? En tout cas, sois pas triste, hein, tout le monde finit par mourir à un moment ou à un autre !
HypnosMiscMeeting01|Hypnos Misc Meeting 01|Hypnos|Oh ! Salut. Je te demanderais bien comment ça s’est passé, mais comme t'es là, bah, j'imagine que j’ai ma réponse, hah ! Vas-y, entre !
HypnosMiscMeeting02|Hypnos Misc Meeting 02|Hypnos|Ah, super, t'es déjà de retour ! On est quelques-uns à avoir parié sur combien de temps tu tiendrais dehors, tu vois, et j'étais {#DialogueItalicFormat}sûr {#PreviousFormat}que tu reviendrais ici en un {#DialogueItalicFormat}rien de temps {#PreviousFormat}!
HypnosMiscMeeting03|Hypnos Misc Meeting 03|Hypnos|Oh, salut ! {#DialogueItalicFormat}Euh{#PreviousFormat}, encore une fois, bienvenue à la maison ! Tu peux avancer ! Par contre, je sais pas pourquoi, mais ton père a l'air fâché.
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Hypnos|Wouah, t'es déjà mort au moins {#DialogueItalicFormat}cinq fois{#PreviousFormat}, enfin, je crois ? C'est bon pour l'écosystème du coin en tout cas, alors, euh, merci ! Tu aides à faire des Enfers un endroit meilleur !
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Zagreus|Super ! Je vais continuer à mourir encore et encore alors, tout devrait bien se passer.
HypnosMiscMeeting05|Hypnos Misc Meeting 05|Hypnos|J'aime bien regarder le Bassin du Styx, tu sais ? Les ondulations à la surface du sang, tout ça... et puis parfois, quelqu’un en sort, comme toi ! Mais que le personnel de la Maison et les invités d’honneur, personne d’autre. Je les enregistre, et je m’assure qu’ils passent un agréable séjour !
HypnosMiscMeeting06|Hypnos Misc Meeting 06|Hypnos|{#DialogueItalicFormat}Ooh{#PreviousFormat}, t'es allé jusqu’à l’Asphodèle cette fois, pas mal ! Bon, ça t'a pas empêché de mourir après, mais c'est arrivé moins vite que d’habitude, alors... c'est toujours mieux qu'avant, non ?
HypnosRunProgress01_A|Hypnos Run Progress A 01|Hypnos|Hé, ouah, t'as réussi ! D'après ma liste, tu es mort {#DialogueItalicFormat}au moins {#PreviousFormat}cinquante fois ! C'est plus de fois que tout le monde ici, enfin je crois !
HypnosRunProgress01|Hypnos Run Progress 01|Hypnos|Hé, laisse-moi être le premier à te dire : {#DialogueItalicFormat}Félicitations {#PreviousFormat}! Tu es mort cent fois depuis que j’ai commencé à compter. Depuis que je suis ta progression. Pas de récompense spéciale ou quoi que ce soit, mais comme on dit, le voyage est une récompense en soi, pas vrai ?
HypnosRunProgress02|Hypnos Run Progress 02|Hypnos|Accroche-toi, tu vas pas en revenir. T'es prêt ? Trois... cent... {#DialogueItalicFormat}fois {#PreviousFormat}!! Eh ouais ! T'es mort trois cent fois ! C'est genre... plus qu'un village entier après un tremblement de terre, et t'as fait ça tout seul !
HypnosRunProgress03|Hypnos Run Progress 03|Hypnos|Oh, alors ça, j'y crois pas, même si ma liste ne ment jamais ! Elle me dit que tu es mort cinq {#DialogueItalicFormat}cents {#PreviousFormat}fois ! {#DialogueItalicFormat}Cinq cents {#PreviousFormat}!! J'arrive même pas à imaginer un nombre qui soit plus grand que ça !
HypnosMegDefeated01|Hypnos Meg Defeated 01|Hypnos|D'habitude c'est un boulot tranquille de surveiller le Bassin du Styx. Mais ces derniers temps ça se bouscule au portillon ! Par exemple, quelqu’un en est sorti juste avant toi ! T'aurais dû voir ma tête quand j’ai vu que ce n’était pas toi !
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|Mais c'est que t'arrêtes pas de mourir, toi ! Dis, tu serais pas tombé sur mon frère dehors, par hasard ? Ça fait un bail que je l'ai pas vu ! C'est quoi, cette mission qui lui prend autant de temps ?
HypnosAboutThanatos01|Hypnos About Thanatos 01|Zagreus|Quelque chose à propos d'une guerre. Père a envoyé Thanatos surveiller l'évolution des choses... mais c'est vrai, maintenant que tu le dis, ça fait un moment qu’on ne l’a pas vu. J’imagine qu’il s’est passé pas mal de choses ici depuis son départ.
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|Et comment ! Le salon a rouvert, et... et quoi d'autre, déjà...? Enfin bref ! Si tu vois mon frère dehors, dis-lui qu’on a la situation bien en main, ici !
HypnosAboutThanatos02|Hypnos About Thanatos 02|Hypnos|Hé, t'as vu ? Mon frère, il est revenu ! Il est ici ! Dans le coin, je pense ! Ce bon vieux Thanatos. Il est toujours tellement débordé que... qu'il ne me parle jamais ! Un peu comme ton père avec {#DialogueItalicFormat}toi{#PreviousFormat}, quoi !
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|{#DialogueItalicFormat}Aaah {#PreviousFormat}! Oh, hah, tu m'as fait peur, c'est tout, j'étais juste... euh... je...
HypnosAboutThanatos03|Hypnos About Thanatos 03|Zagreus|Hé, euh, tout va bien, Hypnos ?
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|Oh, absolument ! Tout va {#DialogueItalicFormat}parfaitement {#PreviousFormat}bien. C'est juste... c'est Thanatos. Il m'a dit des trucs, et... maintenant, je sais pas si je fais vraiment du bon boulot, là, tu vois ?
HypnosAboutThanatos03|Hypnos About Thanatos 03|Zagreus|Je suis sûr qu'il ne voulait pas te blesser. Attends, qu'est-ce que je raconte ? Il a toujours été dur avec toi, non ?
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|Hé, et si il m'aimait plus ? Il a d'autres frères, tu sais !
HypnosAboutThanatos04|Hypnos About Thanatos 04|Hypnos|Oh, salut ! Euh, ça va peut-être faire bizarre, mais, {#DialogueItalicFormat}euh{#PreviousFormat}... merci ! Je veux dire, t'as parlé de moi à Thanatos, non ? Au début, j'ai cru qu'il était devenu dingue ou un truc du genre, mais depuis quelque temps, il est beaucoup plus gentil avec moi !
HypnosAboutThanatos04|Hypnos About Thanatos 04|Zagreus|C'est gentil, Hypnos, mais je n'ai rien à voir avec ça. À mon avis, il est gentil avec toi parce que tu t'es mis à bien travailler et à écouter les commentaires qu'on te fait, et c'est le genre de choses que Thanatos apprécie. Comme tout le monde ici.
HypnosAboutThanatos04|Hypnos About Thanatos 04|Hypnos|Je sais pas ! Mais je te remercie vraiment beaucoup pour ce que t'as fait, je veux dire... moi, je suis juste là à accueillir et recenser les morts ! T'es un vrai ami, toi !
HypnosAboutThanatosRelationship01|Hypnos About Thanatos Relationship 01|Hypnos|Ah, t'es là ! Alors, c'est vrai ?! Tu sais, pour toi et Thanatos ? Parce qu'il m'a dit, et sur le coup j'ai juste fait {#DialogueItalicFormat}ouaaaaaah{#PreviousFormat}, mais après, je me suis dit {#DialogueItalicFormat}« Ah, bah ça explique tout » {#PreviousFormat}! Alors, c'est vrai ou pas ?
