Id|Description|Speaker|Text
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|{#DialogueItalicFormat}Ah, ha ha ha{#PreviousFormat}, l'heure est enfin venue, Astérion. Le voilà ! N'est-ce pas, vil et insignifiant rejeton des Enfers ? Prépare-toi maintenant à te faire écraser !!
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Zagreus|Oh, ce n'est pas juste... c’est un Tau-Lambda Macédonien en bronze ! Qu’est-ce qu’un râleur infect comme toi fait avec le char le plus résistant jamais conçu ?
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|{#DialogueItalicFormat}Pah {#PreviousFormat}! Tu ne mérites pas de le savoir. Sache seulement qu’Astérion et moi-même avons été généreusement récompensés une fois de plus. Et nous n’hésiterons pas à exploiter nos butins durement acquis contre {#DialogueItalicFormat}toi {#PreviousFormat}!
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|Il te liguerait contre moi, Astérion. Je peux le voir dans ses yeux dépareillés ! Je ne peux pas m'empêcher de penser qu'un jour, ou une nuit, je me tiendrai ici, seul, tandis que toi...? Tu seras opposé à moi, aux côtés de ce {#DialogueItalicFormat}démon {#PreviousFormat}!
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Zagreus|Puisqu'on en parle, Astérion, considère ceci comme une invitation, si tu veux bien. Je préférerais t'avoir comme ami que comme ennemi. Je ne peux pas en dire autant de Thésée, bien sûr.
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|{#DialogueItalicFormat}Misérable ver de terre {#PreviousFormat}! J'étais sûr que tu nous réservais encore de telles perfidies, car ce n'est pas seulement avec un style de combat aussi lamentable que tu parviendrais à tes fins ! N'y a-t-il donc aucune limite à ta bassesse ?!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Theseus|Je te dis que tu te {#DialogueItalicFormat}trompes{#PreviousFormat}, Astérion ! Il n'est {#DialogueItalicFormat}pas {#PreviousFormat} de la famille royale, et {#DialogueItalicFormat}moi {#PreviousFormat} je ne m'inclinerais certainement pas devant lui ! Ce n'est qu'une divinité mineure et sans nom des profondeurs, et condamnée à ne pas en sortir !
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Minotaur|Moi aussi, j'ai déjà été admonesté par de telles paroles, majesté. Combien de fois avons-nous fait face à cet ennemi ? Et d'après moi, il vient de se battre courageusement.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Theseus|{#DialogueItalicFormat}Courageusement {#PreviousFormat} ? Tu trouves {#DialogueItalicFormat}courageux {#PreviousFormat} qu'il se cache derrière ces piliers, Astérion ? Nous discuterons de cette étrange erreur de jugement quand nous aurons gagné !
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Theseus|J'espère que tu es content de toi, rejeton des Enfers. Parce qu'Astérion est très fâché contre moi, ces derniers temps ! Il dit que je me trompe sur le compte des scélérats de ton espèce ! {#DialogueItalicFormat}C'est scandaleux {#PreviousFormat}!
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Minotaur|Vous ne m'avez pas compris, mon roi. Nous avons encore beaucoup à apprendre de cet adversaire. Chaque fois, il revient avec un équipement différent... une arme différente, des bénédictions différentes, et ainsi de suite. Malgré nos efforts... nous avons du mal à nous adapter à ses stratégies.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Theseus|Et maintenant, tu dis que je ne sais pas me battre, Astérion ? Alors même que je n'ai eu aucune difficulté à {#DialogueItalicFormat}te {#PreviousFormat}terrasser dans ton labyrinthe ?! Bah, assez parlé, battons-nous !
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Theseus|Eh bien, vermine ! Viens donc nous affronter et profiter des ravages que tu as causés ! Nous ne faisons pas équipe ! Nous ne sommes que deux combattants payés pour être ici, maintenant.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Minotaur|Mon roi, je crois que vous exagérez. Essayez d'être plus raisonnable. Et de tenir un peu plus compte de mon point de vue. Je ne demande pas grand-chose.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Theseus|Tu me demandes l'impossible ! Mais soit, battons-nous... et perdons, car si nous ne sommes pas une équipe, alors que sommes-nous, Astérion...?
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Theseus|Je t'en prie, Astérion, combattons à nouveau ensemble. Je veux dire, comme avant ! Pardonne-moi pour mes récents emportements. Ce maudit démon ! Ses mensonges et sa perfidie ont vraiment un don pour me rendre malade. Ou du moins, ce qui s'en rapproche le plus ici-bas !
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Minotaur|Jurez-moi une chose, mon roi. Jurez-moi que vous vous débarrasserez de vos peurs concernant le lien qui nous unit. Ce minus ne le brisera jamais. Il ne le comprend même pas. Le seul à pouvoir le briser, c'est vous.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Theseus|Je... oh, Astérion, mon cher ami. Je vois, bien sûr... tu as raison, tu as raison. {#DialogueItalicFormat}Tu as raison {#PreviousFormat}! Je jure solennellement que je ne douterai plus jamais de notre fraternité ! Et que plus jamais je n'écouterai ce démon ! Allons-y, maintenant ! Ensemble pour l'éternité !!
TheseusExtremeMeasures02|Theseus Extreme Measures 02|Theseus|Avance, scélérat, et tu seras bientôt écrasé sous les énormes roues du char le plus exceptionnel que le monde ait connu !
TheseusExtremeMeasures02|Theseus Extreme Measures 02|Zagreus|C’est uniquement grâce à moi que tu as ce char, tu sais. Tout ça à cause d’une condition du Pacte des Châtiments ! Rien que tu n’aies fait ou gagné. Alors arrête ta comédie !
TheseusExtremeMeasures02|Theseus Extreme Measures 02|Theseus|{#DialogueItalicFormat}Hahahahah{#PreviousFormat}, quoi ?! Tu prétends être mon bienfaiteur alors qu’en vérité, tu es mon ennemi figurativement mortel ?! Je te piétinerai à la manière de mon char !
TheseusExtremeMeasures03|Theseus Extreme Measures 03|Theseus|Approche, scélérat ! Viens te faire broyer une nouvelle fois par les puissants rouages du Tau-Lambda Macédonien !
