Id|Description|Speaker|Text
ZeusWithAphrodite01|Zeus With Aphrodite 01|Zeus|Giovanotto, so che ti piacerebbe incontrare l'avvenente Afrodite faccia a faccia... oppure in altro modo, ma deciderai una volta arrivato! Potrà decidere, non è così, mia cara Afrodite?
ZeusWithAphrodite01|Zeus With Aphrodite 01|Aphrodite|Che cosa odono le mie orecchie, Sommo Zeus?! Mi è parso un commento alquanto sconcio, da parte {#DialogueItalicFormat}tua{#PreviousFormat}! Mi sconvolge che un così fulgido modello di condotta riservi a {#DialogueItalicFormat}me {#PreviousFormat}simili parole!
AresWithAphrodite01|Ares With Aphrodite 01|Ares|Attendo con ansia il giorno in cui giungerai infine sull'Olimpo. Ben pochi quassù condividono gli interessi che credo di avere in comune con te.
AresWithAphrodite01|Ares With Aphrodite 01|Aphrodite|Ma qualcuno che li condivide c'è eccome, non è così, Ares caro? Quanto a {#DialogueItalicFormat}te{#PreviousFormat}, piccino, prenditi pure tutto il tempo che ti serve!
AresWithAphrodite02|Ares With Aphrodite 02|Ares|Guerre causate dall'amore, mio caro congiunto... riesci a immaginarlo? La dama Afrodite e io potremmo discuterne in eterno. Confido che, di tanto in tanto, tu ti soffermi a riflettere sulle ragioni del tuo lottare. Non che serva ragione alcuna, ovviamente.
AresWithAphrodite02|Ares With Aphrodite 02|Aphrodite|Oh, nobile Ares, non c'è davvero bisogno di confondere le idee al nostro piccolo deuccio con commenti simili, {#DialogueItalicFormat}mm{#PreviousFormat}? Diamogli quello che vuole, e continuiamo questa conversazione in privato, vuoi?
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Ehi, {#DialogueItalicFormat}ehm{#PreviousFormat}, Zagreus! C'è una cosa che mi stavo chiedendo, ma non voglio che tu fraintenda, d'accordo? Oh, no. È lei.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Aphrodite|Oh, Artemide, ma sei proprio una frana! È il nostro piccolo deuccio dell'Oltretomba a farti questo effetto, o è solo a causa mia? {#DialogueItalicFormat}Hm-hm{#PreviousFormat}, ne verrai a capo a tempo debito, ne sono certa!
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Senti, che stavo... {#DialogueItalicFormat}ugh{#PreviousFormat}, lascia perdere. Parleremo un'altra volta, immagino.
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Artemis|{#DialogueItalicFormat}Ehm{#PreviousFormat}, Zagreus? Malgrado i miei istinti di cacciatrice, pare che stavolta io non sia riuscita a sfuggire ad Afrodite, e... ha insistito perché ci presentassimo a te allo stesso tempo, per chissà quale ragione...
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Aphrodite|Oh, suvvia, Artemide! Sarai più che abile nel nasconderti da un animale, magari, ma io ti vedo eccome. Perché non sei più onesta con te stessa, un'altra volta?
AphroditeWithZeus01|Aphrodite With Zeus 01|Aphrodite|Tesoruccio, il tuo illustre zietto desidera dirti due paroline da quassù, sebbene gli abbia detto e ridetto che tu e io abbiamo già tutto sotto controllo!
AphroditeWithZeus01|Aphrodite With Zeus 01|Zeus|Suvvia, Zagreus, l'unica cosa che la dama Afrodite tiene sotto controllo è la sua nutrita schiera di focosi spasimanti, dico bene? Afrodite, che ne dici di lasciargli un regalino e poi andartene? Prendo io le redini, qui.
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|Se c'è una cosa da sapere sulla nostra famiglia, tesorino, è che ognuno di noi ha le proprie piccole stravaganze. Malgrado ciò, restiamo sempre uniti e il nostro amore reciproco non vacilla mai!
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Poseidon|Oh-{#DialogueItalicFormat}hoh{#PreviousFormat}! Che cos'abbiamo qui, piccolo Ade? Hai {#DialogueItalicFormat}compagnia{#PreviousFormat}, a quanto vedo! Be', vi lascio soli, allora. Le mie labbra sono più serrate dello scafo di una galea da guerra!
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|Oh, resta pure, Poseidone! Stavo giusto spiegando quanto tu sia idiota, ma una dimostrazione pratica vale più di mille parole! A ogni modo, caro, che stavo dicendo...?
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|Devi proprio scusarci, pulcino. La nostra famiglia allargata qui sull'Olimpo, intendo! Alcuni di noi sono così rigidi e severi, che di certo ti staranno rendendo le cose più complicate del dovuto.
AphroditeWithAthena01|Aphrodite With Athena 01|Athena|Mi chiedo, cara Afrodite, se saresti disposta a ripetere quanto hai appena detto guardandomi in faccia?
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|Oh, di sicuro sai bene che farei questo e altro alla tua faccia, Atena, tesoro! A essere sincere, ce ne sarebbe di lavoro da fare!
AphroditeWithAthena02|Aphrodite With Athena 02|Aphrodite|Devi sapere, tesoruccio, che la dea Atena e io non sempre vediamo le cose allo stesso modo. Probabilmente perché lei pensa troppo, mentre io lascio che sia il cuore a guidarmi!
AphroditeWithAthena02|Aphrodite With Athena 02|Athena|Lieta di sapere che siamo d'accordo, allora. Sarebbe alquanto imbarazzante forzare Zagreus ad assistere ai nostri bisticci.
AphroditeWithAres01|Aphrodite With Ares 01|Aphrodite|Molti si sorprendono nell'apprendere che amore e guerra siano tanto spesso intrecciati, tesorino. Sono forze contrapposte, ma gli opposti si attraggono, no? Sono entrambi frutto della passione di dèi e mortali, dopotutto! Non ho ragione, Ares?
AphroditeWithAres01|Aphrodite With Ares 01|Ares|I mortali tengono tanto alla vita che molti fra loro sarebbero ben disposti a uccidere, pur di restarvi aggrappati. E le emozioni che provano nel farlo... una passione vale quanto ogni altra, mia cara Afrodite.
AphroditeWithArtemis01|Aphrodite With Artemis 01|Aphrodite|Ehilà, pulcino! Ti ho portato qui la cara Artemide, che a quanto pare è troppo presa dalla caccia per coltivare le doti sociali necessarie a farsi viva senza aiuto!
AphroditeWithArtemis01|Aphrodite With Artemis 01|Artemis|\"Doti sociali\", le chiama lei! Andare in giro {#DialogueItalicFormat}così {#PreviousFormat}conciata! Di certo sai che so come trovarti quando è necessario, Zagreus. Quello che non so è come liberarmi di Afrodite.
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Aphrodite|I miei talenti vanno spesso a braccetto con quelli di Dioniso, tesorino, visto il suo potere di spingere la mente a scorgere beltà dove non ve n'è alcuna!
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Dionysus|{#DialogueItalicFormat}Ah-ahah{#PreviousFormat}! non c'è bisogno di adularmi, dama Afrodite! La bellezza è negli occhi di chi guarda, dico io! E nei muscoli, nel mento, nel sorriso accattivante... e, be', insomma, che te lo dico a fare, ho ragione?
AphroditeWithDemeter01|Aphrodite With Demeter 01|Aphrodite|La venerabile Demetra, dea delle stagioni, {#DialogueItalicFormat}sceglie {#PreviousFormat}di apparire tanto solenne e austera; riesci a crederci, tesoro? Ma se mi chiedi perché mai qualcuno vorrebbe tutte quelle rughe, non so proprio che risponderti.
