Id|Description|Speaker|Text
ZeusWithAres01|Zeus With Ares 01|Zeus|Nipote! Per mia divina autorità, il mio spesso incompreso figliolo, Ares, ti concederà ora un piccolo pegno del proprio potere. Ci sarà utile, vedrai!
ZeusWithAres01|Zeus With Ares 01|Ares|Sarà esattamente come tu dici, padre. I tuoi desideri coincidono coi miei.
AresWithPoseidon01|Ares With Poseidon 01|Ares|Ebbene, mio infernale consanguineo, debbo dire che a volte vorrei essere in più stretti rapporti con tuo padre, se posso essere del tutto franco. Mio padre e mio zio, qui... hanno inclinazioni troppo distanti dalle mie.
AresWithPoseidon01|Ares With Poseidon 01|Poseidon|Forse se non fossi tanto strambo e facessi uno sforzo per risultare più affabile, Ares, avremmo più cose in comune, tu e io! Se ti servono consigli su come fare, non farti problemi a chiedere!
AresWithAthena01|Ares With Athena 01|Ares|Era mia intenzione parlarti nuovamente in privato, caro consanguineo, se non fosse...
AresWithAthena01|Ares With Athena 01|Athena|...Se non fosse, caro cugino, che alcuni membri della nostra famiglia hanno inclinazioni a dir poco disdicevoli. Per farla breve, fa' attenzione al mio fratellastro. E ora, prosegui pure.
AresWithAthena01|Ares With Athena 01|Ares|Mi interrompi di nuovo, cara sorella. Sai bene che non lo apprezzo. Gradirei che non interferissi nei miei affari. Aiuterò il nostro congiunto come più mi aggrada.
AresWithAthena01|Ares With Athena 01|Athena|Tu fai {#DialogueItalicFormat}sempre {#PreviousFormat}come più ti aggrada, nobile Ares. Assicurati di remare nella stessa direzione di noi tutti.
AresWithAphrodite01|Ares With Aphrodite 01|Ares|Attendo con ansia il giorno in cui giungerai infine sull'Olimpo. Ben pochi quassù condividono gli interessi che credo di avere in comune con te.
AresWithAphrodite01|Ares With Aphrodite 01|Aphrodite|Ma qualcuno che li condivide c'è eccome, non è così, Ares caro? Quanto a {#DialogueItalicFormat}te{#PreviousFormat}, piccino, prenditi pure tutto il tempo che ti serve!
AresWithAphrodite02|Ares With Aphrodite 02|Ares|Guerre causate dall'amore, mio caro congiunto... riesci a immaginarlo? La dama Afrodite e io potremmo discuterne in eterno. Confido che, di tanto in tanto, tu ti soffermi a riflettere sulle ragioni del tuo lottare. Non che serva ragione alcuna, ovviamente.
AresWithAphrodite02|Ares With Aphrodite 02|Aphrodite|Oh, nobile Ares, non c'è davvero bisogno di confondere le idee al nostro piccolo deuccio con commenti simili, {#DialogueItalicFormat}mm{#PreviousFormat}? Diamogli quello che vuole, e continuiamo questa conversazione in privato, vuoi?
AresWithDionysus01|Ares With Dionysus 01|Ares|Ah, diletto congiunto! Stavo giusto ponendo all'illustre Dioniso il seguente quesito: in quali circostanze si svolgono i più grandiosi banchetti dei mortali? Penso di conoscere già la risposta...
AresWithDionysus01|Ares With Dionysus 01|Dionysus|Ma sì, ma sì, Ares, te lo concedo: non c'è banchetto migliore di quello dopo una guerra! A patto di essere tra i sopravvissuti, ovvio! In caso contrario, immagino che finiscano col banchettare con {#DialogueItalicFormat}voi {#PreviousFormat}laggiù, Zag!
AresWithDemeter01|Ares With Demeter 01|Ares|Il gelo della morte dona molto alla dea Demetra, non sei d'accordo, mio sanguinario congiunto? Di giorno in giorno pare più avvezza a brandirlo.
AresWithDemeter01|Ares With Demeter 01|Demeter|Alquanto inopportuno, nobile Ares. Rammenta che sono più anziana di te, e di gran lunga; le mie carestie avevano già mietuto decine di migliaia di mortali ben prima che simili pensieri ti sfiorassero.
AresKillQuestComplete|Ares Kill Quest Complete|Ares|Diecimila anime sono cadute per mano tua, mio infernale parente. Ammetto che ciò mi rende alquanto euforico. Splendido lavoro davvero.
AresAboutOlympianReunionQuest01|Ares About Olympian Reunion Quest 01|Zagreus|O la va o la spacca. Nel nome di Ade! Olimpo, questo è un messaggio ufficiale! Illustre Ares, considera la mia proposta... non appena riesci a decifrarla.
AresAboutOlympianReunionQuest01|Ares About Olympian Reunion Quest 01|Ares|Oh. Di che si tratta, mio congiunto? Un qualche genere d'invito, si direbbe. E non solo per me... ma per tutti noi, ho capito bene? Hai il mio interesse. Ne investigherò il significato non appena mi sarà possibile. Ma prima...!
AresPostEpilogue01|Ares Post Epilogue 01|Ares|Desidero comunicarti qual splendida serata io abbia trascorso nel tuo regno, mio congiunto. Finalmente ho potuto vedere il reame della morte coi miei occhi! Ho appreso molto... e molto ancora apprenderò continuando, a collaborare con te in futuro, mm?
AresAboutZeus01|Ares About Zeus 01|Ares|Il Sommo Zeus ti ha raggiunto per primo, a quanto vedo? I doni di mio padre sono alquanto generosi, tuttavia... penso di poter fare anch'io la mia parte.
AresAboutPoseidon01|Ares About Poseidon 01|Ares|La benedizione del tuo illustre zio Poseidone potrà averti aiutato finora, ma osserva: il mio dono ti condurrà ancor più distante.
AresAboutAthena01|Ares About Athena 01|Ares|Rechi su di te la benedizione di Atena, dico bene? Lei ti offre protezione dal nemico; io, al contrario, preferirei lo sterminassi senza mezze misure.
AresAboutAphrodite01|Ares About Aphrodite 01|Ares|{#DialogueItalicFormat}Mm{#PreviousFormat}, vedo che sei già nelle grazie della dama Afrodite. Amore e morte insieme, mano nella mano? Mai proposta fu più allettante.
AresAboutArtemis01|Ares About Artemis 01|Ares|E così Artemide, la mia schiva sorellastra, ti ha trovato per prima? Lei può tutt'al più aiutarti a cacciare; io ti aiuterò a uccidere. Osserva.
AresAboutDionysus01|Ares About Dionysus 01|Ares|Quel beone di Dioniso non può aiutarti quanto me, mio infernale consanguineo. Compara i suoi doni con ciò che io ho da offrirti.
AresAboutHermes01|Ares About Hermes 01|Ares|Il nostro messo, Ermes, avrà ormai preso contatti con te, no? Potresti non vederlo molto spesso: il mio lavoro lo tiene assai occupato, incaricato com'è di far da pastore alle anime trapassate.
AresAboutDemeter01|Ares About Demeter 01|Ares|Rechi su di te il gelido marchio della dea Demetra, {#DialogueItalicFormat}mm{#PreviousFormat}? Il suo influsso sull'abbondanza è opposto al mio, sotto certi aspetti. Benché di recente lo abbia impiegato in modi a me più congeniali.
AresAboutHadesKeepsake01|Ares About Hades Keepsake 01|Ares|Ah, rechi su di te il favore del tuo stesso padre, mio congiunto? Che sorpresa... so che voi due siete alleati, ora, eppure... sono ancora uso all'idea che siate contrapposti, in questa guerra. Forse un po' di quello stesso odio è ancora vivo in voi, mm?
AresKillProgress01|Ares Kill Progress 01|Ares|Eri al corrente, consanguineo, che da quando hai intrapreso la tua missione hai trucidato più di cento avversari? È così! Sto tenendo il conto. E sono alquanto colpito.
