Id|Description|Speaker|Text
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Oh, salve, Zagreus. A quanto mi pare di capire, sei stato tu a liberarmi dal mio eterno castigo. Eccomi di nuovo al servizio di tuo padre, dunque. Hai la mia gratitudine.
OrpheusFirstMeeting|Orpheus First Meeting|Zagreus|Orfeo, sei tornato! Senti, tu non provocare più mio padre e vedrai che andrà tutto bene. Fra l'altro... credo che le sue ire siano perlopiù rivolte a me, ora.
OrpheusFirstMeeting|Orpheus First Meeting|Orpheus|Me ne rammarico, amico mio. Tuttavia, se sei qui per chiedermi una canzone, mi dispiace ma la mia risposta non cambia.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Orpheus|Oh, salve, Zagreus. Mi stavo giusto chiedendo... hai mai sentito di altri musici di corte che abbiano perso la voglia di cantare? Tuo padre mi ha chiesto chiarimenti, e onestamente non so che cosa dirgli.
OrpheusMiscMeeting01|Orpheus Misc Meeting 01|Zagreus|Se può consolarti, amico, sono certo che ogni musico di corte incorporeo che si sia ritrovato a servire nella sala del trono del dio dei defunti abbia avuto i tuoi stessi problemi.
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Orpheus|È tremendamente silenzioso da queste parti quando tu non ci sei, sai? La cosa mi imbarazza alquanto, dato che il compito di colmare quel silenzio spetterebbe a me, in teoria.
OrpheusMiscMeeting02|Orpheus Misc Meeting 02|Zagreus|Ascolta, se mai decidessi di suonare di nuovo qualche nota, sono sicuro che nessuno qui intorno se ne avrà a male. Ma solo se te la senti, ok?
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|Oh, salve, Zagreus. Mi sembri un po' giù di morale. Mi chiedevo... gradiresti forse una canzone, in un simile frangente?
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Zagreus|Che ne dici del {#DialogueItalicFormat}\"Lamento\"{#PreviousFormat}? Una volta lo suonavi sempre!
OrpheusMiscMeeting03|Orpheus Misc Meeting 03|Orpheus|Oh, ti piace quella, eh? Ahimè, ancora non mi sento in vena d'intonarla. Ma sono lieto che tu la gradisca.
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|Orfeo, scusa la mia sfacciataggine, ma devo proprio chiedertelo: perché non canti più? Eri una leggenda, amico! Il nostro musico di corte!
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|Perché ho perso la mia musa, amico mio. Non si tratta d'altro che questo. In vita tua, non ti è mai capitato di perdere il desiderio di perseguire le tue passioni?
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Zagreus|Io... sì, credo mi sia capitato, qualche volta. Ma di recente ho trovato un nuovo sprone. Ecco perché devo andare là fuori.
OrpheusMiscMeeting04|Orpheus Misc Meeting 04|Orpheus|E io ne sono assai felice, amico mio. Ahimè, la mia ricerca non è stata altrettanto fruttuosa, e l'ho da tempo abbandonata. Per cui... mi troverai sempre qui, ok?
OrpheusMiscMeeting05|Orpheus Misc Meeting 05|Zagreus|C'è niente che io possa fare per aiutarti a ritrovare la tua musa, amico?
