Id|Description|Speaker|Text
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Megaera|...Se lo aiuti di nuovo, ci saranno mille frustate ad attenderti al nostro prossimo incontro. E quando farò ritorno, sarà meglio che questo sassolino sia là in cima, non qui. O saranno altre mille.
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Sisyphus|Ottimo, ottimo, signora, più che giusto davvero, la considero una promessa! Ci vediamo in giro!
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Megaera|...E dedicati al tuo masso se ci tieni alla pelle, imbroglione che non sei altro. Non pensare che non ti stia guardando.
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Sisyphus|Apprezzo la sua vigilanza, signora, e stia pur certa che Pietro sarà in cima a questa collina in men che non si dica, sebbene l'impresa non mi sia finora mai riuscita!
MegaeraWithSisyphus03|Megaera With Sisyphus 03|Megaera|...E quando questa faccenda col principe sarà risolta, le cose torneranno esattamente com'erano. Fino ad allora, sarà meglio che io veda il tuo masso in cima a quella collina con regolarità.
MegaeraWithSisyphus03|Megaera With Sisyphus 03|Sisyphus|Tutto perfettamente sensato, signora, e stia pur certa che spingerò Pietro, {#DialogueItalicFormat}ehm{#PreviousFormat}, voglio dire, questo masso qui, con regolarità, sempre avanti, come al solito! E ora, arrivederci!
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|...E, da ultimo, ti è categoricamente proibito offrire ulteriore aiuto al principe Zagreus. Sono stato abbastanza chiaro?
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Sisyphus|Oh, assolutamente, padron Thanatos, non ci penso nemmeno! La mia mente è del tutto occupata dalle più moderne strategie di sospingimento minerale.
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|Basta così! Torna al lavoro, e io farò altrettanto.
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Sisyphus|Afferrato, padron Thanatos, farò certamente come dice lei. Niente più aiuti al principe Zagreus, seriamente, potessi morire.
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Thanatos|Bene. Se ti beccassero di nuovo a mentire, ne andrebbe della tua testa e della mia. Vedi di fare in modo che non accada.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|...Faresti bene a darmi ascolto questa volta, e a temere le conseguenze dei tuoi raggiri. La Morte può essere alquanto sgradevole, come ben sai.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Sisyphus|Be', ma è proprio questo il punto, padron Thanatos. Non ho mai avuto molto timore di voi dèi, se permette l'ardire. Mi è sempre parso che le vostre preoccupazioni non siano poi tanto diverse dalle nostre. Morte a parte, certo.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|Che vuoi saperne, tu, di che cosa preoccupa gli dèi? E ora rifletti su ciò che hai fatto: hai tutta l'eternità a disposizione. Tornerò a farti visita fra un eone o due, per vedere se hai imparato qualcosa.
SisyphusFirstMeeting|Sisyphus First Meeting|Sisyphus|Ehilà, principe Z. Sembrerà che io stia battendo la fiacca, ma stavo giusto per rimettermi al lavoro, giuro. Non capita spesso che le Furie mi lascino un po' di respiro. Chissà dove saranno finite? E poi... che ci fai tu, qui?
SisyphusFirstMeeting|Sisyphus First Meeting|Zagreus|Oh, sai com'è... faccio solo due passi, ecco tutto. Fammi un favore, vuoi? Se vedi le Furie, di' loro che sono andato nella direzione da cui mi hai visto arrivare...
SisyphusFirstMeeting|Sisyphus First Meeting|Sisyphus|Oh, glielo riferirò senz'altro, Altezza, ti sento forte e chiaro. Ma adesso sarà meglio che torni a spingere la vecchia roccia. Stammi bene, d'accordo?
SisyphusMeeting02_A|Sisyphus Meeting A 02|Sisyphus|Sai, principe Z, non mi aspettavo di rivederti dopo tutto questo tempo. Per caso qualcosa non va, giù alla Dimora? Lo dico solo perché ultimamente non passava quasi nessuno, da queste parti.
SisyphusMeeting02_A|Sisyphus Meeting A 02|Zagreus|Oh, a casa c'è sempre qualcosa che non va, signore. Mi sono detto che non poteva nuocere fare un giro d'ispezione del Tartaro un po' più di frequente.
SisyphusMeeting02_A|Sisyphus Meeting A 02|Sisyphus|Be', io e la vecchia roccia te ne siamo entrambi molto grati. Sono abituato a lunghi periodi in solitaria, ma avere ospiti di tanto in tanto non può che farmi bene!
SisyphusMeeting02|Sisyphus Meeting 02|Sisyphus|Se posso permettermi, Altezza, mi domandavo... che cosa ti porta di nuovo da queste parti? Stessa storia dell'ultima volta?
SisyphusMeeting02|Sisyphus Meeting 02|Zagreus|Voglio essere sincero con te, Sisifo: sto lasciando la Dimora. Ne ho avuto abbastanza, sono certo che capisci. Sono diretto in superficie.
SisyphusMeeting02|Sisyphus Meeting 02|Sisyphus|{#DialogueItalicFormat}Fiuu{#PreviousFormat}, questa sì che è un'impresa, Altezza. A dirla tutta, se parlassimo di qualcun altro la definirei una follia, ma... forse tu sei folle al punto giusto da riuscirci! Be', che dire? Ti auguro di farcela. Buona fortuna là fuori!
SisyphusMeeting03|Sisyphus Meeting 03|Sisyphus|Ehilà, Altezza! Come va col tuo piano di fuga, qualche novità?
SisyphusMeeting03|Sisyphus Meeting 03|Zagreus|Direi che sta andando bene, tutto considerato. Sono morto un po' di volte, ed è una gran fatica... ma ehi, che ci vuoi fare, giusto?
SisyphusMeeting03|Sisyphus Meeting 03|Sisyphus|Be', tu tieni sempre la testa alta, ok? Io ormai ho smesso da un bel pezzo di tentare la fuga, ma se fossi un giovanotto focoso come te, magari sarei ancora lì a provarci.
SisyphusMeeting04|Sisyphus Meeting 04|Sisyphus|Ehilà, Altezza. Sei qui per un motivo specifico, o sei solo di passaggio? Non che non mi stia godendo queste nostre recenti chiacchierate, ovviamente.
SisyphusMeeting04|Sisyphus Meeting 04|Zagreus|Sisifo, non vorrei che la prendessi a male, ma... perché hai deciso di aiutarmi? Mio padre ti ha schiaffato qui in preda ai tormenti per l'eternità, eppure tu mi saluti ogni volta col sorriso.
SisyphusMeeting04|Sisyphus Meeting 04|Sisyphus|{#DialogueItalicFormat}Hah{#PreviousFormat}! Ma dai, principe Z... sono fatto così, ecco tutto! E poi, tu non sei tuo padre, sia lode agli dèi! Mi sei sempre sembrato un bravo ragazzo. E se dici che vuoi uscire di qui, be', diciamo che posso capirti, ecco.
SisyphusMeeting_AboutFury01|Sisyphus Meeting About Fury 01|Sisyphus|Sai, Altezza, essere lasciato in pace dalle sorelle Erinni non è affatto male, una volta tanto. La più importante, il cui nome ora mi sfugge, è assegnata al tuo caso ora, vero?
SisyphusMeeting_AboutFury01|Sisyphus Meeting About Fury 01|Zagreus|Ti riferisci a Megera. Sì, ora è alle prese col sottoscritto. Le è stato ordinato di non farmi uscire dal Tartaro. Immagino significhi che tu puoi finalmente goderti una pausa! Era proprio ora, direi.
SisyphusMeeting05|Sisyphus Meeting 05|Zagreus|Ehi, Sisifo, una domanda al volo: hai per caso visto le altre due Furie, ultimamente?
SisyphusMeeting05|Sisyphus Meeting 05|Sisyphus|Non vedo le altre Erinni da un po', ora che ci penso! Solo Megera, la più gentile delle tre... il che non significa poi molto. Se dovessi vedere le sue sorelle, te lo farò sapere!
SisyphusMeeting06|Sisyphus Meeting 06|Zagreus|Sisifo, come fai a tollerare la condizione in cui ti trovi? Mi stupisce che tu sembri sempre così di buon umore.
