Id|Description|Speaker|Text
Text|Text|Zagreus|...Io... Meg, sono davvero lusingato, e tu mi stai molto a cuore, ma... non è questo che desidero, dal nostro rapporto. Ho paura di averti illusa. Perdonami. Ti prego, dimmi che possiamo ancora essere amici...?
Text|Text|Megaera|...È davvero tutto qui quello che vuoi...? Essermi amico? {#DialogueItalicFormat}Heh. {#PreviousFormat}A volte è difficile capirti, Zag. Ma sai che ti dico? Le abbiamo provate tutte, ormai. Proviamo anche questa, no? Ci vediamo là fuori, allora.
Text|Text|Megaera|...Ne sei sicuro? Senti, io... non c'è problema, davvero. Ci vediamo là fuori, allora.
Text|Text|Zagreus|...Sì. A volte mi fa bene rallentare un po'. Sono felice che ultimamente andiamo più d'accordo. Ma sono stato troppo insistente. Perdonami. Tu sei un caro amico, e non voglio ferire in alcun modo te, né nessun altro.
Text|Text|Thanatos|Io... oh. Sì, capisco. Anch'io tengo molto alla nostra amicizia... benché sia tu che io l'abbiamo messa a dura prova, di recente. Senti... stammi bene, Zag. Ci vediamo in giro.
Text|Text|Zagreus|...Ci vediamo in giro.
Text|Text|Zagreus|Than... {#DialogueItalicFormat}ahahah{#PreviousFormat}, sono così felice! Solo... sai che anche Megera è venuta qui...?
Text|Text|Thanatos|{#DialogueItalicFormat}Tsk. {#PreviousFormat}Conosco Megera da molto più di te. Secondo te, chi è che mi ha convinto?
Text|Text|Zagreus|Hah! È stata lei, eh? Fantastico! È una buona cosa.
Text|Text|Thanatos|Ne sei certo? Quand'è così... capisco. Sarà meglio che torni alle mie responsabilità, per ora.
Text|Text|Zagreus|...Ci vediamo, Than.
Text|Text|Zagreus|...Ehi... sentite. Tengo molto a entrambi voi. Un sacco, davvero. E sono felice che tra noi... e tra voi ci sia qualcosa del genere, anziché l'inimicizia che ci legava in passato. Ma credo che tutto questo sia un po' troppo per me, al momento.
Text|Text|Megaera|...Ne sei sicuro? Senti... va tutto bene. Hai già abbastanza pensieri per la testa così com'è. Ci vediamo là fuori, allora.
Text|Text|Thanatos|Ci aggiorniamo alla prossima volta, va bene?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Thanatos...! Ti inviterei a entrare, ma... sei già qui. Sono molto contento di vederti.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|Dimmi solo una cosa, Zagreus. Eri serio prima, quando mi hai detto che... forse dovremmo... prenderci il tempo che ci serve?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Io... non volevo farti pressione, Than. So che tutto questo è molto complicato. E voglio che tu sappia che... non è una scelta dettata dall'impulsività. Ti aspetterò. Non importa quanto a lungo.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|{#DialogueItalicFormat}Gah! {#PreviousFormat}Non sai proprio quali impulsi assecondare, e quali tenere a bada. Hai detto che avresti aspettato. Be', lascia che ti chieda: che cosa aspetti ancora? Che stai aspettando? Io sono già qui. Dico bene...?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Than...! {#DialogueItalicFormat}Ahahah{#PreviousFormat}, oh, hai ragione!
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Ehi, Than, senti... di' qualcosa, per favore. Non mi piace quando stai troppo in silenzio. Cosa ti passa per la testa?
