Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|Io e le mie sorelle abbiamo avuto modo di discutere, e siamo giunte a un accordo, Zagreus. Come puoi vedere.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megera, Tissi, siete pronte?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}Aaassassinoo{#PreviousFormat}!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Tre contro uno. Non mi pare tanto leale, tu che ne dici?
FurySistersUnion01|Fury Sisters Union 01|Megaera|La lealtà non c'entra più nulla, ormai. Ti uccideremo, costi quel che costi. Erinni! {#DialogueItalicFormat}Ora{#PreviousFormat}.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|In guardia, Tisifone. Credo di averti trovato un assassino.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|{#DialogueItalicFormat}Aasssas{#PreviousFormat}sinioooo...
Fury3SisterUnionSingleSis01_A|Fury Sister Union Single Sis A 3 01|Tisiphone|{#DialogueItalicFormat}Aaasssasssinooo{#PreviousFormat}...!
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|{#DialogueItalicFormat}Aaaa... assssassino...
Fury3FirstAppearance|Fury First Appearance 3|Zagreus|Ehi, tu devi essere una delle sorelle di Meg! Piacere di conoscerti, finalmente! Mi chiamo Zagreus. Non \"Assassino\". Decisamente non assassino.
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|Assassino... {#DialogueItalicFormat}assssasssinooooooo...!
Fury3FirstAppearance|Fury First Appearance 3|Zagreus|{#DialogueItalicFormat}Ehm{#PreviousFormat}... ascolta, avrò anche fatto alcune cose di cui non vado fiero, ma sono assolutamente certo di non aver assassinato nessuno.
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|{#DialogueItalicFormat}Aaaassssasssinooooooo{#PreviousFormat}...!
Fury3PostEnding01|Fury Post Ending 3 01|Zagreus|Stavolta sono qui in veste ufficiale, Tisifone, perciò, {#DialogueItalicFormat}ehm{#PreviousFormat}... fammi strada! Anche se immagino che il mio lavoro a questo punto sia lasciare che tu provi a fermarmi, giusto?
