Id|Description|Speaker|Text
ChaosAboutBeowulfAspect01_A|Chaos About Beowulf Aspect A 01|Chaos|ハデスの息子は、アイギスと呼ぶ武具に、未だ言葉を\n掛けていない。運命の三女神が造形した意匠の数々と\n戯れるのは自由。おのれの心持ちに変化が生じたなら、\n武具に呪文を唱えよ。「われは見る。くちなわの炎を\n前に、ひるまずはだかるそなたの姿を」。
ChaosAboutBeowulfAspect01|Chaos About Beowulf Aspect 01|Chaos|ハデスの息子は、呪文を未だ詠唱せず。あるいは、\n結果を我に提示していない？我はいつか、この目で\n確認することを希望する。手順を再度伝授する。\n全知の武具に唱えよ。「われは見る。くちなわの炎を\n前に、ひるまずはだかるそなたの姿を」。
ChaosAboutBeowulfAspect02|Chaos About Beowulf Aspect 02|Chaos|ハデスの息子は、わが全知の武具を帯び、我の前に\n立つ。その態は、やがて北の地で「ベオウルフ」の名で広く知られる、いまだ生を受けぬ人物のもの。無限に\n広がる可能性のうち、このひとつが為ったことは、\nじつに愉快。
ChaosSurfaceQuestComplete|Chaos Surface Quest Complete|Chaos|ハデスの息子は、小型の球形触媒を装着し、父との\n対決に臨んだ。我よりこの者へ、かような依頼をする\nこと、および、この者が同依頼を成し遂げることは、\n運命の三女神の織りなす意匠に定められていた。\n心楽しき結果となった。ハデスの息子に感謝する。
ChaosAboutNyx05|Chaos About Nyx 05|Chaos|冥界の領域内で、特異な事象を確認した。いにしえの\n触媒に収集された、大量の闇の結晶。我の目には、\n夜に輝く、灯火のように映る。ニュクス、あるいは\nハデスの息子… あるいは、両者によるものか。\n結果を待ち望む。
ChaosAboutNyx06|Chaos About Nyx 06|Chaos|女神ニュクスとの再会は、我にとってよろこばしい\n事象。最後の面会から現在までに流れた時の長さが、\n古傷の痛みを和らげたものと考える。これが、\n女神ニュクスと我のつながりを次第に修復する\n基盤となろう。
ChaosAboutResponding01|Chaos About Responding 01|Chaos|ハデスの息子と我の親交は深まった。一点、\n明言しておく。会話に関して、我は忍耐に欠ける。\n我を訪ねる際は、ただ傾聴し、“徴”を受けたのち、\n去ること。我が回答を求めた際、および、\n我が促した際のみ、発言せよ。承知を？
ChaosAboutResponding01|Chaos About Responding 01|Zagreus|…つまり、オリュンポスの神の御言葉を賜るときと\n同じか。…今のは発言の許可と解釈してよかったのか？\nそれとも、黙っていたほうが…？
ChaosAboutResponding01|Chaos About Responding 01|Chaos|我からこの者への指示は不可。しかし我は今、この者に発言を促した。ハデスの息子は、いつ何時でも、自由に発言可能。我がそれを望まずとも。我が完全なる沈黙を好もうと、この者もそれを好むとはかぎらない。
ChaosAboutNyx01|Chaos About Nyx 01|Chaos|ゼウスと、オリュンポス山に座すあの者の一族。\n彼らは、この者がハデスとニュクスより生じたと\n誤認している。我はこの欺きを知り、愉快と感じた。\n冥界の住人の多くは、ニュクスを母に持つ。\nこの者がそうであっても、不自然ではない。
ChaosAboutNyx01|Chaos About Nyx 01|Zagreus|自分もずっと、だまされていた。とはいえ、生みの親でなくても、ニュクスは母親同然だ。彼女をご存じで？
ChaosAboutNyx01|Chaos About Nyx 01|Chaos|我は、女神ニュクスを熟知する。\n最後に言葉を交わして以降、長き時が流れた。\n女神ニュクスと関わりのあった頃の我は…\n慈しみの情に欠けていた。ニュクスの息災を願う。
ChaosAboutNyx01_B|Chaos About Nyx B 01|Chaos|この空間にハデスの息子が到着することは、事前に\n知り得ていた。しかしそれは、到着する直前のこと。\nゆえに我は今、驚愕の片鱗を覚えている。冥界を駆けるハデスの息子は、闇の帳をまとうかのごとし。\nそれは女神ニュクスの力か。回答を求める。
ChaosAboutNyx01_B|Chaos About Nyx B 01|Zagreus|回答… と言われても… たしかにニュクスは、\n俺が冥界から脱出できるよう、手助けしてくれている。
ChaosAboutNyx01_B|Chaos About Nyx B 01|Chaos|ハデスの息子は、闇をまとい駆ける。ニュクスと\n同等の真の闇とまではゆかずとも、それを想起\nさせる。かつて女神ニュクスに「逃れてみよ」と\n持ちかけ、居場所を探る戯れに興じた。心楽しき\n記憶。今、ハデスの息子と、その戯れを実行可能。
ChaosPostEnding01|Chaos Post Ending 01|Chaos|先頃、ハデスの館内に、“変転”を感知した。\n館内で何らかの顕著な事象が発生中ならば、\n我も詳細を把握することを希望する。回答を求める。
ChaosPostEnding01|Chaos Post Ending 01|Zagreus|それはたぶん、母ペルセポネが、みずからの意志で館に\n戻ったからだ。それ以来、館の雰囲気が一変した。\nとはいえ… “変転”と呼ぶようなものは、自分は特に\n感じていない。
ChaosPostEnding01|Chaos Post Ending 01|Chaos|ハデスの息子が“変転”を感知することは、不可能と\n推測。時の経過に呼応し、本領域の明度が変化した。\nその要因は、この者が説明した事象であると推測。\nこの者にとって歓迎すべき事態と推察。それでも\nなお、この者は、わが領域を再訪。心楽しきこと。
ChaosAboutOlympianReunionQuest01|Chaos About Olympian Reunion Quest 01|Chaos|ハデスの居所内に、再び事象の“変転”を感じた。\nハデスの息子は、我に何らかの要求を検討中か。\n回答を求める。
ChaosAboutOlympianReunionQuest01|Chaos About Olympian Reunion Quest 01|Zagreus|察してもらえてよかった。じつは… 母ペルセポネが、\nオリュンポスの神々を館に招いて、一族の絆を修復\nしようとしている。母上と父上は、もう長いこと、\nオリュンポスの一族に会っていない。もしこの会合が\n実現したら、あなたにもぜひ、出席してもらいたい。
ChaosAboutOlympianReunionQuest01|Chaos About Olympian Reunion Quest 01|Chaos|我も出席…？ハデスの息子の提案は、快い。\nしかし、当該の会合がわが領域内で開かれぬ限り、\nわが実体のすべてを会場に現すことは困難。\n…何らかの形で、参加手段を検討する。感謝する。
