Id|Description|Speaker|Text
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|メグ… 俺の部屋で何してる？人の部屋をかぎまわるのが趣味か？ それとも、俺に用か？
MegaeraBedroom01|Megaera Bedroom 01|Megaera|落ち着け。いま帰るところだ。\n近くまで来たから、置いたままにしていた\n私物を引き取りに寄っただけのこと。\nそれにしても… ひどい散らかりようだな。
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|…本当に帰ったな。ということは… \n次に会うときはまた、殺し合いか。
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|メグ… まだ何か忘れ物か？
MegaeraBedroom02|Megaera Bedroom 02|Megaera|話があって来た。\n…妹たちが介入することになったらしい。\nずいぶんと事を荒だててくれたな。
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|おまえには悪いと思ってる。でも、どこかに実の母親がいるんだ。俺はなんとしてでも見つけ出す。おまえにはわからないだろうが…
MegaeraBedroom02|Megaera Bedroom 02|Megaera|わかっていないのは、おまえのほうだ。\n妹たちが介入したおかげで、状況が変わった。\nこれで私も、いくぶん肩の荷が下りる。
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|どういう意味だ？
MegaeraBedroom02|Megaera Bedroom 02|Megaera|母親を見つけたいというおまえの気持ちは理解できる。私には果たすべき使命があるが、それでも…\n何か協力できることがないか、考えてみよう。
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|え…？どういうことなんだ…
MegaeraBedroom02B|Megaera Bedroom B 02|Zagreus|ああ、すまないと思ってる。\nでも、どうしてもやめるわけにはいかないんだ。\nおまえにはわからないだろうが…
MegaeraBedroom02B|Megaera Bedroom B 02|Zagreus|肩の荷が下りる…？いったい何をするつもりだ。
MegaeraBedroom02B|Megaera Bedroom B 02|Megaera|おまえの事情は理解している。妹たちも、私も、\nおまえの脱出を阻止しようとすることに変わりはない。だが少なくとも私は、与えられた役目を\n果たしているにすぎない、ということだ。
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|…メグ、また来たのか。今日はどうした？\n…なんだ？どうしてそんな目で俺を見る？
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|くだらない質問はやめて。\nいいから黙って、こっちへ来て。
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|それは… つまり…
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|…いつ誘ってくれるのかと思ってた。うれしいよ。
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|メグ、その… これはつまり… 俺たち、よりが戻った… ということだよな？ それとも…
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|ザグ、私の前で煮えきらない態度はやめて。\nわかっているくせに。私の口から言わせたいの？\nそうね、私たちは、よりが戻った。\nでも、このことを口外したら、殺すから。\n生者にも、死者にも、絶対に秘密よ。
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|わ… かった。約束するよ。で… これからどうする？
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|私はこれからもタルタロスの最奥で\nあなたを待ち受ける。気が向けば、\nこの部屋にも会いにくる。この関係が続くかぎりはね。
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|この関係が、続くかぎり…？
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|質問が多い。そんなの私にもわからないわよ。\nそれに、「今その瞬間を生きる」というのは、\nあなたの得意とするところでしょう？\nそれじゃ、また。
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|ああ… またな！（…やったぜ！）
Text|Text|Zagreus|いや… メグ、正直うれしいし… おまえのことは\n大切に思ってるが… そういう関係は望んでないんだ。\n俺の態度が誤解を招いたなら、俺が悪かった。\nもしよければ、これからもよき友人でいてくれるか？
