Id|Description|Speaker|Text
NyxFirstMeeting|Nyx First Meeting|Nyx|気を落としてはなりません。障害は不可避ですが、\n努力と時間を重ねることで、克服が可能です。\nあなたは女神アテナと接触しました。\n彼女が約束を違えることはありません。
NyxFirstMeeting|Nyx First Meeting|Zagreus|そうですね。アテナに働きかけてくれたこと、\n本当に感謝しています。\n相当な危険を冒す必要があったはずだ…
NyxFirstMeeting|Nyx First Meeting|Nyx|私にとっての危険はありません。オリュンポスの\n神々はおのずと本件に関与することになると、\n私は予見していました。ただし、彼らにこれ以上の\n情報を明かすことのないよう、くれぐれも留意なさい。
NyxFirstMeeting_B|Nyx First Meeting B|Nyx|こうしてあなたと言葉を交わせることに、うれしさを\n覚えます。女神アテナは約束を守りました。あなたも\nアテナも、事をひそかに進めたのは、賢明でした。
NyxFirstMeeting_B|Nyx First Meeting B|Nyx|私にとっての危険は、ありませんでした。\nオリュンポスの神々が、何らかの形で、\nおのずとこの件に関与することは必定でした。
NyxGrantsRespec|Nyx Grants Respec|Nyx|寝室の鏡は、あなたの役に立っていますか？
NyxGrantsRespec|Nyx Grants Respec|Zagreus|役に立つどころじゃない。\nそういえば、うまく使いこなせるようになったら、\nさらにできることが増えると言っていましたよね？\nそろそろ次の段階に進めそうな気がします。
NyxGrantsRespec|Nyx Grants Respec|Nyx|私も、そのように感じます。\nあなたの望みどおりとなるでしょう。
NyxMiscMeeting02|Nyx Misc Meeting 02|Nyx|…あなたの父は今、機嫌を損ねているようです。\n近づかないのが得策かと。
NyxMiscMeeting04|Nyx Misc Meeting 04|Zagreus|ふと気になったんですが… 運命の三女神が\n俺にどんな宿命を用意しているのか、\n母親のあなたには、わかるんじゃ…？
NyxMiscMeeting04|Nyx Misc Meeting 04|Nyx|たしかに、運命の三女神は私の娘。それでも、\nあの者たちの紡ぐ糸の色を知ることができぬのは、\n地上の人間たちも、私も、同じこと。\nオリュンポスの神々にすら、不可能です。
NyxMiscMeeting05|Nyx Misc Meeting 05|Nyx|わが子の前途に、闇の導きを。成長を遂げたあなたに、この館は狭すぎます。それでも、再びここに戻ることがあれば、私があなたを護りましょう。
NyxMiscMeeting05|Nyx Misc Meeting 05|Zagreus|ニュクス、あなたのことは、決して忘れません。
NyxBackstory01|Nyx Backstory 01|Zagreus|うすうす感づいてはいました… あなたがじつの母親では\nないと。ヒュプノスとタナトスを見れば、\nあの2人と俺に血のつながりがないことは一目瞭然…\n誰が見たってわかることです。それでも…\n決定的な証拠を見つけたときは、ショックでした。
NyxBackstory01|Nyx Backstory 01|Nyx|私も、承知していました。早晩、あなたは真実を知る\nことになると。その時、何が起きるのか、推測するのは\n恐ろしかった。その時がすでに過ぎ去ったことに、今は\n安堵しています。私はいまだに、あなたをわが子同然に\n扱っています。今後は、態度を改めるべきですか？
NyxBackstory01|Nyx Backstory 01|Zagreus|何を言うんです。生みの親でなくても、あなたが俺に\n愛情を注いでくれたことに変わりはない。俺のほうこそ\nあなたをずっと「ニュクス」と名前で呼んできましたが\n本当に改めなくていいですか？
NyxBackstory02|Nyx Backstory 02|Zagreus|あなたは、父上がオリュンポスの神々と\n絶縁したいきさつを、知っているんじゃ…？
NyxBackstory02|Nyx Backstory 02|Nyx|その質問に答えられるのは、あなたの父のみです。\nあなたが知らぬ事柄について、私から伝えることは\nできません。
NyxAboutHades01|Nyx About Hades 01|Zagreus|ひとつ、どうしても気になっていることがあります。\nあなたは父上に、どんな借りがあるんですか？\n父上と話しているのが、たまたま聞こえてしまって…
NyxAboutHades01|Nyx About Hades 01|Nyx|あなたの父が冥王の座に就くよりはるか昔から、\n私はこの冥界に在り、管理責任を負ってきました。\n闇を為し、全域を保守することはできても、\nそこに暮らす民の調査や規則の制定は不得手…\nゆえに私は、それらの職務から退きました。
NyxAboutHades01|Nyx About Hades 01|Zagreus|いくらあなたが優秀でも、仕事が多すぎたんですね。\nそこへ父上が現れた… あなたは歓迎したんですか？
NyxAboutHades01|Nyx About Hades 01|Nyx|当初は、懐疑的でした。彼が冥界に現れたのは、運命の\n三女神の残酷な悪戯かと。しかし彼は勤勉に職務に取り\n組み、冥界には秩序がもたらされました。私は彼の\nためにこの館を設え、現在も管理を請け負っています。\n彼と私は、互いを支え合う協働関係にあります。
NyxAboutHades01|Nyx About Hades 01|Zagreus|父上があなたの厚意を食い物にしていないか、\n心配です…
NyxAboutHades01|Nyx About Hades 01|Nyx|心配には及びません。彼が私に愛想を振りまくことは\nありませんが、見解に相違が生じた際に折り合いを\nつける方法は見いだしました。一方、あなたと彼の\n関係は… そのように単純な策を講じて解決できる\nものではないようです…
NyxAboutHades02|Nyx About Hades 02|Zagreus|あなたはオリュンポスの神々に働きかけて、\n冥夜の鏡や宮大工まで手配してくれた。\n俺に協力していることが父上に知れたら、\nただでは済まないんじゃ…？
NyxAboutHades02|Nyx About Hades 02|Nyx|気遣いは無用です。私は夜の化身。冥王とて、みずからの都合で私に罰を下すことなどできません。私なしでは\n当館は立ち行かない。冥王も、それを承知しています。\n彼と私には共通の目的があり、互いに協力する義務を\n負っています。
NyxAboutHades02|Nyx About Hades 02|Zagreus|だったらどうして、俺の実母のことで、父上の嘘に話を合わせてやる必要が…？
NyxAboutHades02|Nyx About Hades 02|Nyx|…その件については、私の裁量で語ることは\nできません。いつの日かあなたがじつの母親に\nまみえたとき、すべてを理解するでしょう。
NyxAboutHades02_B|Nyx About Hades B 02|Zagreus|「互いに協力する義務」… 俺が父上とあなたを夫婦だと疑ってやまなかったのも、当然ですね…
NyxAboutHades02_B|Nyx About Hades B 02|Nyx|あなたの父と私も… 時に、そういった感覚を覚えます。
NyxAboutAthena01|Nyx About Athena 01|Zagreus|女神アテナからの言づてです。\nあなたを敬愛している、と。オリュンポスの神々は、\n冥界の神を忌み嫌っている思っていました…
NyxAboutAthena01|Nyx About Athena 01|Nyx|あなたは彼らの肉親。そして、アテナは賢き女神。\n私のような者が特に彼女に目を掛けた理由を察するはずと推測しました。彼女はその見返りとして、みずからの一族に、あなたのことを周知させたのです。
NyxAboutAthena02|Nyx About Athena 02|Zagreus|アテナから言づてです。俺が地上を目指すようになって以来、あなたとは頻繁に連絡を取っているようですね。
NyxAboutAthena02|Nyx About Athena 02|Nyx|アテナは、その知恵の深さで知られる女神。\n理性をもって正しい判断を下し、私の考えを理解し、\n協力を申し出るものと推測しました。\n私の見立てに、誤りはなかったようです。
NyxAboutAthena02|Nyx About Athena 02|Zagreus|でも… あなたは自分のことを、俺のじつの母親だと\n説明しましたよね？\nアテナが賢い女神なら、欺くのは危険なんじゃ…？\n騙されたと悟られたら、どうなるか…
NyxAboutAthena02|Nyx About Athena 02|Nyx|アテナは、真に賢き女神。\n故に、彼女なら理解すると判断しました。
NyxAboutAres01|Nyx About Ares 01|Zagreus|ニュクス… 伝えるべきか迷いましたが… アレスから、言づてを預かっています。あなたのことを、ずいぶん慕っている様子でした。
NyxAboutAres01|Nyx About Ares 01|Nyx|戦神アレス… 彼はオリュンポスの一族の中でも、\nわれわれ冥界の神々に特に寛容と見受けます。
NyxAboutAres01|Nyx About Ares 01|Zagreus|まさか… アレスに目を掛けているわけじゃ…？物腰こそ穏やかですが、血も涙もない残忍な神でしょう？
NyxAboutAres01|Nyx About Ares 01|Nyx|私は、ふさわしいと判断した者に目を掛けます。\n言づてに感謝します。
NyxAboutAres02|Nyx About Ares 02|Zagreus|戦神アレスから、言づてを預かっています。\n「思いを馳せている」と。\nとりあえず、聞いたまま伝えておきます…
NyxAboutAres02|Nyx About Ares 02|Nyx|伝達に感謝します。戦神が私に執心している間は、\n彼が冥界に送り込む死者の数も、多少は減少する\n可能性があります。
NyxAboutAres03|Nyx About Ares 03|Zagreus|ニュクス… アレスから、あなたに会わせてほしいと\n頼まれたんですが、どうしましょうか… なぜこんなに\n警戒しているのか、自分でもよくわかりませんが…
NyxAboutAres03|Nyx About Ares 03|Nyx|私はみずからの裁量で、他の神々との関係を構築する\nことが可能です。戦神アレスからそのような言葉を\n受けたことに、うれしさを覚えます。オリュンポスの神々が、われわれ冥界の神との接触を望むことは\n稀です。
NyxAboutAres04|Nyx About Ares 04|Zagreus|アレスが、あなたと連絡を取り合っていると\n言っていました… 本当ですか？\n何も問題なければいいんですが…
NyxAboutAres04|Nyx About Ares 04|Nyx|戦神アレスが冥界に抱く興味は、純粋なもの。加えて\n彼は、私をみずからより下位の者と見なしていません。\nオリュンポスの神々と、われわれ冥府の神々の間には、\n互いに学ぶべきことが多く残されています。
NyxAboutAres04|Nyx About Ares 04|Zagreus|でも父上は、他の神々とは一切接触するなと…
NyxAboutAres04|Nyx About Ares 04|Nyx|それでも、あなたは他の神々から繰り返し接触を受けてきたはずです。
NyxAboutAres05|Nyx About Ares 05|Zagreus|…アレスに会うつもりですか？それともまさか、もう会ったとか…？
NyxAboutAres05|Nyx About Ares 05|Nyx|何を案じているのですか。単刀直入に述べる気が\nないのなら、私の時を無為に奪わぬことです。
NyxAboutAres05|Nyx About Ares 05|Zagreus|俺はただ… あなたとアレスがいっしょにいるところが\n想像できなくて… 第一、彼は…\nあなたの相手には、若すぎませんか…？
NyxAboutAres05|Nyx About Ares 05|Nyx|あなたは親愛の原理を理解していません。アレスは、\n彼を忌み嫌い忌避する人間や神々の道徳基準には\nそぐわぬかもしれませんが、私の判断基準では、\n心に偽りがなく、学ぶ姿勢を備えた神です。私は、\n彼に対する評価をみずから下す能力を備えています。
NyxAboutAres06|Nyx About Ares 06|Zagreus|ニュクス… またアレスが、よろしく伝えてほしいと\n言っていました。
NyxAboutAres06|Nyx About Ares 06|Nyx|言づてに感謝します。アレスと私が直接\n接触する機会は稀ですが、女神アテナに加え、\nオリュンポスにもう一柱味方を持てたことは僥倖です。\nアテナとアレスは、決して親密とはいえぬ仲ですが。
NyxAboutBoons01|Nyx About Boons 01|Zagreus|オリュンポスの神々には、冥界にいる俺の姿が、\nはっきりとは見えていないようです。\n断片的に察することはできても、\n起きていることすべては把握できないらしい…\n彼らの力は、冥界には及ばないんですか？
NyxAboutBoons01|Nyx About Boons 01|Nyx|あなたの姿が彼らの目に触れぬのは、あなたにとっても\n彼らにとっても、それが最善であるがゆえ。彼らは\n一族の絆で結ばれており、あなたに助力するのが得策と\n理解しています。あなたが望むかぎり、手を差し伸べるでしょう。素直に受けておくことです。
NyxAboutOrpheus01|Nyx About Orpheus 01|Zagreus|宮大工への依頼一覧に、未処理のまま放置されている\nオルフェウスの釈放要請が加わっていました。\n父上も、あいつに歌ってほしいなら、タルタロスに\n幽閉していても意味がないと理解すべきですよね。\nそもそも、あいつはもう、十分罪を償ったはずだ。
NyxAboutOrpheus01|Nyx About Orpheus 01|Nyx|あなたの父は、歌を聴くことで心の平穏を得ます。今回の刑執行停止により、オルフェウスも態度を軟化させ、楽士の業の披露を再開するかもしれません。
NyxAboutOrpheus01|Nyx About Orpheus 01|Zagreus|ニュクスは、父上が館で音楽を楽しめないことを\n心配しているんですか？
NyxAboutOrpheus01|Nyx About Orpheus 01|Nyx|あなたの父の激しい気性も、比較的機嫌の良好な際は、御しやすくなります。加えて、件の宮廷楽士を\n罰することは、父上があの者に対して望む結果を\n導きだす最善策とは考えられません。
NyxAboutOrpheus02|Nyx About Orpheus 02|Zagreus|オルフェウスの歌は、どうですか？あなたに気に入ってもらえているか、本人が気にしていました。
NyxAboutOrpheus02|Nyx About Orpheus 02|Nyx|私は、彼が紡ぎ出す協和音を快く感じています。
NyxAboutSkelly01|Nyx About Skelly 01|Zagreus|ひとつ、聞いても？\n「スケリー」という名に、聞き覚えはないですか？
NyxAboutSkelly01|Nyx About Skelly 01|Nyx|私には特別な意味を持たぬ名です。なぜ、その名を\n口にするのですか？「スケリー」とは、何者ですか？\n私とその者の間に、いかなる接点があると推測を？
NyxAboutSkelly01|Nyx About Skelly 01|Zagreus|スケリーは、俺の自室のすぐ外に現れる骸骨男です。\n俺が武具の扱いに慣れるように、\nみずから身体を張って、手合わせしてくれる。\nあなたが送り込んだのではと思っていました。
NyxAboutSkelly01|Nyx About Skelly 01|Nyx|参考までに… アキレウスは、この館内を、私の闇に\n身を包んで自由に移動可能です。あなたが冥府の武具を\n入手したのも、そのため。それ以上の事柄については、\n私の関知せぬこと。その「動く骸骨」は、信用に足る者なのですか？
NyxRunNotCleared01|Nyx Run Not Cleared 01|Zagreus|ついに地上に出ました！ものすごく寒い場所で\n父上と対決しましたが、倒すことはできませんでした…\nあとひと息だったのに…！
NyxRunNotCleared01|Nyx Run Not Cleared 01|Nyx|再度、助言します。気を落としてはなりません。\n時をかけ、努力を重ねれば、いかなる障害も乗り越え\nられます。目的地は目前。進みつづけるのです。
NyxRunNotCleared02|Nyx Run Not Cleared 02|Nyx|あなたの父は不在のまま、あなただけが戻った… これが意味することは、ひとつです。大事はありませんか？
NyxRunNotCleared02|Nyx Run Not Cleared 02|Zagreus|はい、なんとか。父上の手でこの館に戻されたのは、\nかなり屈辱ですが。どうやったら倒せるか、\n助言をもらえませんか？あなただけが知っている\n弱点とか… 何か、ありませんか？
NyxRunNotCleared02|Nyx Run Not Cleared 02|Nyx|冥王の弱点を誰より知るのは、あなたです。おそらく、\n本人以上に。あなたがじつの父と戦わねばならない\nことに、心が痛みます。とはいえ、他に手段が\nない以上、次回こそは必ず、討伐を。\nどれだけ時がかかろうとも。よいですね？
NyxAboutPact01|Nyx About Pact 01|Nyx|「懲罰の盟約」を授与されたようですね。当初は\nハデスを説得し、取りやめさせようと考えましたが…\nうまく利用すれば、あなたの能力をさらに伸ばせる\nかもしれません。
NyxAboutPact01|Nyx About Pact 01|Zagreus|困難が多いほど成長できるとは、よく言ったものです。\nあなたからそんなふうに楽観的な意見が聞けるとは、\n正直意外ですが。
