Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|ザグレウス。\n妹たちと話し合い、互いに協力することにした。
FurySistersUnion01|Fury Sisters Union 01|Alecto|メガイラ、ティシポネ、準備はいいかい？
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}殺シィ…！{#PreviousFormat}
FurySistersUnion01|Fury Sisters Union 01|Zagreus|三対一か… ちょっと卑怯じゃないか？
FurySistersUnion01|Fury Sisters Union 01|Megaera|お互い、いまさら公正な戦いに\nこだわる意味がどこにある？\nおまえを殺すためなら、私は手段を選ばない。\nわれわれエリニュス三姉妹が相手をしてやる。
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|見ろ、ティシポネ。“殺し”の犯人が現れたぞ。
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|{#DialogueItalicFormat}殺シィィ…{#PreviousFormat}
Fury3SisterUnionSingleSis01_A|Fury Sister Union Single Sis A 3 01|Tisiphone|{#DialogueItalicFormat}殺シィ…！{#PreviousFormat}
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|{#DialogueItalicFormat}殺シ… 殺シィ…
Fury3FirstAppearance|Fury First Appearance 3|Zagreus|メグの妹だな？ザグレウスだ。よろしく。俺の名前は\n「殺シ」じゃないし、人殺しもしてない。
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|殺シ… {#DialogueItalicFormat}殺シィ…！
Fury3FirstAppearance|Fury First Appearance 3|Zagreus|いや… たしかに俺は、いろいろ悪いこともやらかして\nきた。でも、人殺しだけは、誓ってやってない。
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|{#DialogueItalicFormat}殺… 殺シィィィィ…！
Fury3PostEnding01|Fury Post Ending 3 01|Zagreus|ティシポネ、今日は仕事で来たんだ。\nできれば、そこをどいて…\nいや、この仕事の目的を果たすには、君にも全力で\n俺を止めようとしてもらわないと、意味がないか…
Fury3PostEnding01|Fury Post Ending 3 01|Tisiphone|殺、シ… シ… {#DialogueItalicFormat}シィィィ…{#PreviousFormat}
Fury3PostEpilogue01|Fury Post Epilogue 3 01|Zagreus|館での宴に参加してもらえなくて、残念だ。\nまあ、君はああいう席には興味がないかも…\nいや、アレスがいたか。あいつはたぶん、\n確実に何人か殺してる。
Fury3PostEpilogue01|Fury Post Epilogue 3 01|Tisiphone|殺シ…？殺シィ。{#DialogueItalicFormat}殺シ！{#PreviousFormat}
Fury3Encounter01|Fury Encounter 3 01|Tisiphone|{#DialogueItalicFormat}殺… シ…？{#PreviousFormat}
Fury3Encounter01|Fury Encounter 3 01|Zagreus|…いや、「殺シ」は、ナシにしないか？\n殺シ、ナシ！
Fury3Encounter01|Fury Encounter 3 01|Tisiphone|{#DialogueItalicFormat}殺… シ…{#PreviousFormat}
Fury3Encounter02|Fury Encounter 3 02|Tisiphone|殺シ…？殺シ、殺シィ…！
Fury3Encounter02|Fury Encounter 3 02|Zagreus|なあ、せっかくだから、殺し以外の話をしないか？
Fury3Encounter02|Fury Encounter 3 02|Tisiphone|殺シィ… {#DialogueItalicFormat}殺シィ…！{#PreviousFormat}
Fury3Encounter03|Fury Encounter 3 03|Tisiphone|コ…  コ…  殺…！
