Id|Description|Speaker|Text
DusaFirstMeeting|Dusa First Meeting|Dusa|{#DialogueItalicFormat}오{#PreviousFormat}! 왕자님이 친히, 저와 이야기를 나누고 싶으시다고요...? 저와?! 오, 맙소사, {#DialogueItalicFormat}우와!!{#PreviousFormat}
DusaFirstMeeting|Dusa First Meeting|Zagreus|아니, {#DialogueItalicFormat}음{#PreviousFormat}, 그냥 휴게실이 마치 새것처럼 멋지게 변했다고 말하고 싶어서! 수리하느라 너무 고생한 건 아닌가 싶네.
DusaFirstMeeting|Dusa First Meeting|Dusa|저, 저, 전, {#DialogueItalicFormat}아아{#PreviousFormat}, 전 서까래를 청소해야 돼요, 전...!
DusaMiscMeeting02|Dusa Misc Meeting 02|Dusa|부, 부디 편히 머무르시기 바라요! 여기서 더 이상 살고 싶어 하시지 않는다는 거 알지만요.
DusaMiscMeeting02Extra|Dusa Misc Meeting Extra 02|Zagreus|{#DialogueItalicFormat}음{#PreviousFormat}, 두사? 아마 앞으로도 내가 이렇게 가끔 들를 것 같네. 하지만 내 방은 치우지 않아도 돼. 오래 있지 않을 거니까.
DusaMiscMeeting02Extra|Dusa Misc Meeting Extra 02|Dusa|아, {#DialogueItalicFormat}하하하{#PreviousFormat}, 그럼요! 그래도 한 번씩 보기만 할게요. 혹시 마음이 바뀌실 수도 있으니까요. 그럼 안녕히 계세요!
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|{#DialogueItalicFormat}저기{#PreviousFormat}, 왕자님, 아버님이 지금 화가 많이 나신 것 같아요. 무슨 일인지 모르겠지만 당분간 피해 계시는 게 좋을 듯해요. 아니면 여기 안 계신다고 가서 말씀드릴까요?
DusaMiscMeeting03|Dusa Misc Meeting 03|Zagreus|괜찮아, 두사. 안 그래도 돼. 난 아버지가 무섭지 않아. 그러니 너도 무서워할 필요 없어. 너만큼 일 잘하는 아이가 또 어디 있다고.
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|그, 그냥 제가 할 일을 하는 것일 뿐인걸요, 왕자님...!
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|저기, {#DialogueItalicFormat}음{#PreviousFormat}, 그러니까, 안녕하세요, 왕자님. 뭐 가져다드릴 거라도 있나요? 아니면 정리할 거라든가, 마실 거라도 가져다드릴까요? 언제라도 말씀하세요.
DusaMiscMeeting04|Dusa Misc Meeting 04|Zagreus|오! 마실 거 좀 갖다주면 아주 좋겠어, 두사. 지금 말고 내일 이맘때 내가 아직도 못 나가고 여기 있다면 말이지.
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|아하하, 뭐든 상관없어요. 제 말은 그러니까, 신경 쓰지 마세요. 죄송합니다. 그럼 이만!
DusaMiscMeeting05|Dusa Misc Meeting 05|Dusa|어, 음... 사과드리고 싶었어요. 지난번에 제가 행동이 좀 부적절하지 않았나 싶어서요. 전 이 일이 정말 마음에 들어요. 그리고 항상 최선을 다하겠다고 약속할게요. 그러니 한 번만 더 기회를 주시면 안 될까요?
DusaMiscMeeting05|Dusa Misc Meeting 05|Zagreus|두사, 왜 이래. 사과할 필요 전혀 없어! 얼마나 잘하고 있는데, 무슨 말이야!
DusaMiscMeeting05|Dusa Misc Meeting 05|Dusa|저... 네? 진심으로 하시는 말씀이시죠? 가... 감사합니다, 왕자님. 정말 감사해요!!
DusaPostFlashback01|Dusa Post Flashback 01|Dusa|오, 네. 안녕하세요, 왕자님. 그, 그러니까 제 말은, 떠나시고 나면 제가, 우리가 많이 그리워할 거예요. 여기 있는 모두가 말이죠. 아시겠죠? 그러니까, 안녕히 가세요...!
DusaDate01|Dusa Date 01|Zagreus|{#DialogueItalicFormat}음{#PreviousFormat}, 두사 양. 휴게실에서 열리는 연회에 초대하려고 하는데, {#DialogueItalicFormat}어{#PreviousFormat}, 기억나? 한잔하자고 한 거?
DusaDate01|Dusa Date 01|Dusa|{#DialogueItalicFormat}아아! {#PreviousFormat}아, 그, 그럴까요, 아, 지금 당장요... 아... 안 그래도 좀 쉬어야 할 것 같았어요...
DusaDate01|Dusa Date 01|Dusa|...그리고, 그게 그러니까, 제 모습이 전형적인 고르곤 형태에 맞지 않으니까. 제 말은 몸뚱이도 없어서 일자리를 찾기가 어렵긴 했어요! 하데스 님이 절 거둬주시고 이후에 왕자님을 만나기 전까진 말이죠. 전 이 일이 너무나 마음에 들어요!!
DusaDate01|Dusa Date 01|Zagreus|{#DialogueItalicFormat}오{#PreviousFormat}! 나도 그건 엄청 잘 알겠어.
DusaDate01|Dusa Date 01|Dusa|{#DialogueItalicFormat}<한숨> {#PreviousFormat}저, 저는, 왕자님께 감사드려요. 왕자님. 자그레우스 왕자님!
DusaDateAftermath01|Dusa Date Aftermath 01|Dusa|어, 와, 왕자님. 스틱스 강에서 나와서 이곳으로 돌아올 때마다 너무 슬퍼 보이세요. 괜찮으신가요? 제가 해 드릴 일이 있다면...
DusaDateAftermath01|Dusa Date Aftermath 01|Zagreus|아, 걱정 안해도 돼, 두사. 이 빌어먹을 곳에서 나가기가 생각보다 어려워서 그래. 험한 말 해서 미안.
DusaDateAftermath01|Dusa Date Aftermath 01|Dusa|아, 전.... 참 바보 같네요. 왕자님이 힘들 수 있다는 게 상상이 안 됐어요. 위대한 아킬레우스 님보다 강하시고, 아버님보다 영리하시고, 헤르메스 님보다 빠르신데요! 그래도... 저처럼 힘드신가 봐요?
DusaDateAftermath01|Dusa Date Aftermath 01|Zagreus|그래. 그리고 네가 한 말들은 사실이 아니야.
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Dusa|식기 정리했고, 카운터 닦았고, 초도 교체했고, 접시도 닦았고, 바닥 쓸었고, 통 안도 다 확인했고, 이제 남은 일이 뭐가 있지...{#DialogueItalicFormat}아{#PreviousFormat}!! 왕자님 오셨네요!
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Zagreus|내가 왔어! 두사, 네가 이 큰 휴게실을 혼자 다 관리하고 있다니 놀라운걸. 도대체 어떻게 하는 거지? 비결이 뭐야?
