Id|Description|Speaker|Text
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Theseus|...네가 {#DialogueItalicFormat}틀렸다니까{#PreviousFormat}, 아스테리오스! 놈은 {#DialogueItalicFormat}충직함{#PreviousFormat}이라고는 모르는 자다. 적어도 {#DialogueItalicFormat}내 {#PreviousFormat}눈에는 말이야! 놈은 이름도 없는 잊힌 신일 뿐이다! 저 밑바닥에서 태어나 그곳에 영원히 머무를 운명이라고!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Minotaur|나도 한때는 그 말을 믿었다, 왕이여. 우리가 저 자를 몇 번이나 상대했지? 내 생각에 저 자는 항상 용맹하게 싸웠다.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Theseus|{#DialogueItalicFormat}용맹하게{#PreviousFormat}?! 저 기둥 뒤에 숨어다니는 걸 {#DialogueItalicFormat}용맹하다{#PreviousFormat}고 하는 게냐, 아스테리오스? 승리를 거머쥔 다음에 그 판단에 대해 논의를 해 보아야겠구나!
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Theseus|정말 기뻐 날뛰고 있겠구나, 지옥의 자식아, 나와 아스테리오스 사이를 이간질하다니. 내가 너 같은 자를 잘못 판단했다고 하더군! {#DialogueItalicFormat}통탄{#PreviousFormat}을 금치 못하겠구나.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Minotaur|내 말을 안 듣는군, 왕이여. 우리는 이 자에게서 배울 것이 많다. 매번 다른 수법을 쓴다. 다른 무기, 다른 신의 능력을. 아무리 노력해도... 이 자의 전략을 읽을 수가 없다.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Theseus|이젠 내가 싸울 줄 모른다고 말할 셈이냐, 아스테리오스? 내가 네 미로를 돌파하고 {#DialogueItalicFormat}널 {#PreviousFormat}무찔렀는데도?! 그만하고 이리 와서 싸워라!
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Theseus|자, 벌레야! 이리 와서 싸우자. 네놈이 저지른 이 불화를 얼마든지 활용하여라! 우리는 한 팀이 아니다! 이제 우리는 그저 동시에 한 자리에 있게 된 두 전사일 뿐이다.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Minotaur|왕이시여. 너무 흥분하신 것 같습니다. 이성을 찾으세요. 그리고 제 관점에서도 생각해 주시길. 제 요구가 그리 과하지 않다고 생각합니다.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Theseus|불가능한 것을 요구하고 있지 않느냐! 여하튼 싸움을 시작하자. 그리고 우린 지겠구나, 우리가 팀이 아니니, 그렇다면 우리는 무엇이냐, 아스테리오스...?
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds Extra A 05|Minotaur|챔피언을 용서해라, 작은 자여. 스스로를 통제하지 못하고 있다. 그럼에도 챔피언은 너와 죽을 때까지 싸울 것이다.
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds Extra A 05|Zagreus|잘됐네. 잠깐 걱정했거든. 내가 정신을 좀 차리게 해 주려고 하는데, 어떻게 생각해?
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds Extra A 05|Minotaur|모르겠다. 나도 시도는 해 봤다. 하지만 너를 과소평가할 수는 없지. 그렇다면 싸우자.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Theseus|나와 다시 한 번 같이 싸우자, 아스테리오스. 예전처럼 말이다! 최근 나의 불경함은 용서하라. 이 빌어먹을 악마! 놈의 거짓과 배신이 나를 물들였도다.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Minotaur|맹세하라, 왕이여. 우리의 연대에 대한 두려움을 버리기로. 저 작은 자는 결코 그 연대를 끊을 수 없다. 이해조차 못할 것이다. 오직 왕이여, 그대만이 끊을 수 있다.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Theseus|난... 오, 나의 친구 아스테리오스여. 알겠다. 물론이다. 옳다. {#DialogueItalicFormat}옳은 말이야{#PreviousFormat}! 나 여기서 맹세하건대, 다시는 우리의 형제애를 의심하지 않으리! 저 악마의 말에 귀를 기울이지도 않으리! 우리는 지금도, 앞으로도 함께다!!
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|아스테리오스, 놈이 돌아왔다! 이번에는 우리 성스러운 갑옷 없이 놈을 처 부숴야 해! 해 볼만한 도전이지?
TheseusPactReverted01|Theseus Pact Reverted 01|Minotaur|놈을 얕보면 안 됩니다, 왕이시여. 만만치 않은 적수임을 증명했었으니.
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|말도 안 되는 소리 말게! 볼 것도 없는 놈을 어떻게 얕보겠나?! 자, 이제, {#DialogueItalicFormat}공격{#PreviousFormat}!
TheseusWithAsterius01|Theseus With Asterius 01|Minotaur|놈이 왔다, 왕. 무장을 작동한다. 전차가 제 시간에 고쳐져서 다행이군.
TheseusWithAsterius01|Theseus With Asterius 01|Theseus|말도 안 되는 소리 말게, 친구! 우리가 받은 성스러운 가호가 있든 없든 우리는 저 지옥의 종자를 해치울 수 있다네! 그를 잡아라!
TheseusFirstAppearance_NotMetMinotaur|Theseus First Appearance Not Met Minotaur|Theseus|거기 서, 친구! 내가 여기 있는 한 거기서 단 한 발짝도 세상의 빛으로 나갈 수 없다.
