Id|Description|Speaker|Text
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Megaera|...또 놈을 도와줬군. 다음에 만나면 채찍 수천 대를 때려주마. 내가 돌아왔을 때는 바위들이 저 위에 있어야 할 거야. 안 그러면 수천 대를 더 때리겠다.
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Sisyphus|좋습니다, 부인. 실로 공평하다고 하지 않을 수가 없군요. 약속을 지키시리라 믿습니다. 그럼 곧 뵙겠습니다!
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Megaera|...허튼 생각은 말고 열심히 돌이나 굴리는 게 좋을 거야, 이 보잘것없는 사기꾼아. 내가 보고 있지 않을 거라고 생각하지 마.
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Sisyphus|경계해 주셔서 감사합니다, 부인. 돌덩이를 순식간에 저 언덕 위에 올려놓을 겁니다! 아직 한 번도 성공한 적은 없지만요.
MegaeraWithSisyphus03|Megaera With Sisyphus 03|Megaera|...왕자와의 일이 끝나면 다시 예전으로 돌아갈 거야. 그때까지 그 바위를 언덕 위로 계속 굴리는 게 좋을 걸.
MegaeraWithSisyphus03|Megaera With Sisyphus 03|Sisyphus|말이 되네요, 부인. 돌덩이에게 맡기세요. {#DialogueItalicFormat}음{#PreviousFormat}, 여기 이 바위 말입니다. 제가 밀면 앞으로 나아가죠. 늘 그렇듯이요! 그럼 잘 가세요!
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|...그리고 마지막으로, 자그레우스 왕자에게 추가 지원을 제공하는 것은 금지야. 무슨 말인지 알겠지?
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Sisyphus|아, 타나토스 님, 저는 절대로 그렇게 생각하지 않을 것입니다! 제 머릿속은 최신식 바위 밀어내기 전략들로 온통 가득 차 있습니다.
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|됐어! 이제 일해. 나도 일하러 갈 테니.
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Sisyphus|이해합니다, 타나토스 님. 분부대로 하겠습니다. 자그레우스 왕자님에겐 더는 도움을 주지 않겠습니다. 진심이에요.
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Thanatos|좋다. 날 속이려 들지 않는 게 서로에게 좋을 거야. 그럴 일이 없기를 바라지.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|...다음번에는 내 말을 잘 듣고, 나를 피했을 때 어떤 결과를 초래할지 두려워하는 게 좋을 거다. 죽음은 아주 끔찍할 수가 있거든. 너도 잘 알겠지만 말이야.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Sisyphus|됐습니다, 타나토스 님. 감히 말씀드리자면 저는 신들을 끔찍히 두려워한 적이 없습니다. 제가 보기에 신들도 저희 필멸자들만큼이나 힘들어하는 것 같더군요. 죽음의 두려움은 빼고 말입니다.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|네가 신들의 고난에 대해 뭘 알아? 이제 영원히 네가 한 짓을 반성하며 지내라. 몇 억겁 뒤에 다시 찾아와서 네가 뭘 깨달았는지 확인해 볼지도 모르니.
SisyphusFirstMeeting|Sisyphus First Meeting|Sisyphus|안녕하세요, 자그레우스 왕자님. 행여나 내가 게으름 피우고 있다고 오해할까 봐 말인데... 다시 돌덩어리를 들으러 갈 참이었어요. 퓨리 자매들이 잠시라도 날 가만 놔둬야 말이죠. 그나저나 다들 어딜 간 거지? 그러는... 왕자님은 여기서 뭘 하는 거죠?
SisyphusFirstMeeting|Sisyphus First Meeting|Zagreus|아, 그냥 잠깐 산책 중이었어요. 부탁 하나만 들어줘요. 퓨리 자매를 만나면 내가 온 길을 따라 내려갔다고 알려 줘요. 그래 줄 수 있죠?
SisyphusFirstMeeting|Sisyphus First Meeting|Sisyphus|알려 주고 말고요. 무슨 말인지 알겠어요, 왕자님. 난 이만 가서 내 일 해야겠네요. 몸조심하세요.
SisyphusMeeting02_A|Sisyphus Meeting A 02|Sisyphus|자그레우스 왕자님, 이렇게 오랜 시간이 지나고 나서 다시 만나 뵙게 될 줄은 몰랐습니다. 집에 무슨 문제라도 생겼나요? 그냥요, 요즘에는 누굴 만날 일이 없어서요.
SisyphusMeeting02_A|Sisyphus Meeting A 02|Zagreus|아, 집에 문제야 항상 있죠. 타르타로스를 좀 더 자주 점검해야겠다는 생각이 들어서요.
SisyphusMeeting02_A|Sisyphus Meeting A 02|Sisyphus|저와 여기 늙은 돌덩이 모두 감사드립니다. 저는 이 오랜 형벌을 받는 데 익숙해지긴 했지만, 그래도 가끔 방문객을 맞이하는 것은 좋은 일이지요!
SisyphusMeeting02|Sisyphus Meeting 02|Sisyphus|감히 이런 말씀 드려도 될지 모르겠지만... 궁금해서 그런데 어쩌다 다시 여기로 돌아오게 된 건지...? 지난번과 같은 이야기인가요?
SisyphusMeeting02|Sisyphus Meeting 02|Zagreus|시시포스, 당신한테만은 솔직히 말할게요. 집을 떠나려고 해요. 이제 도저히 참을 수가 없어서요. 당신은 이해하시잖아요. 지상으로 갈 거예요.
