Id|Description|Speaker|Text
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|솔직히 말할게, 친구. 네 실력은 여기서 나보다 높은 분까지 감격시켰어. 그래서 작은 제안 하나 할까 하는데. 듣고 있지?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Zagreus|내가 맞춰 볼까... 지하세계 끝까지 싸워서 결국 마지막엔 형벌 규약을 사용하게 하려는 거겠지. 안 그래도 위험천만한 내 모험을 더 어렵게 만들기 위해서. 그리고 만에 하나 내가 성공한다면, 아무 쓸데 없는 장신구를 보상으로 주려는 거 아니야?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|틀렸어! 지금 내가 시시껄렁한 얘기나 하는 줄 알아? 저쪽에 저거 보여? 장신구 말이야. 이봐, 뭘 망설여? 겁먹은 거야?
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|그거 봐. 그럴 줄 알았어. 새로 받은 보상이 마음에 들어? 형벌 조약이든 뭐든 무슨 상관이야. 무슨 뜻인지 알지? 뭐 별로 힘들 것도 없었잖아. 그 정도면 나도 했을 텐데.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Zagreus|잠깐, 이거 하난 짚고 넘어가자. 내가 별의별 고생을 다 해 여기까지 왔는데, 고작 보상이란 게... 네 조각상이라고? 기분 나쁘게 듣진 마. 나름 아름답긴 한데... 내가 뭘 기대했는지 모르겠다.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|이봐, 친구. 그거 요청할 때 약간 혼동이 있었던 건 사실이야. 내가 좀 멋져 보일 만한 무언가를 만들어 달라고 했는데, 결국 결과물이 그렇게 됐네. 다른 조각상들은 훨씬 나아. 보면 알 거라고!
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|스켈리, 뭐 하나만 묻자. 정말 내가 형벌 규약을 쓰게 만들려고 거의 똑같이 생긴 네 조각상을 세 개나 만들라고 의뢰한 거야?
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|그건 날 모욕하는 말이야! 아직 세 번째 것도 안 봤으면서, 꼭 그렇게 기분 나쁘게 말해야 해?! 내가 널 잘못 봤나 보네. 네가 정말 선택받은 자라고 생각했는데 말이야!
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|내가 사과하고 똑같은 조각상 세 개 중 마지막 조각상을 해제하게 만들려고 이러는 거잖아. 안 그래?
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|어떻게 그런 심한 말을--? 내가 움직일 수만 있다면 지금 당장 가서 그 조각상들을 환불받을 거야! 그리고 환불 규정이 있었다면 말이지.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|조각상으로 장난쳐서 미안해. 진심으로. 처음 봤을 때 진짜 소름 끼칠 정도로 놀랐어. 그러다 생각했지. 어떻게 달라진들 네가 눈치채지 못할 거라고. 그래서 그냥 눈 딱 감고 질러 버린 거야.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Zagreus|날 잘 안다면 함부로 과소평가하지 말았어야지. 하지만... 네 조각상에 대해 그렇게까지 심하게 말하는 건 아니었어. 여기까지 가져오느라 고생 많았을 텐데.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|말해 봤자 입 아프지! 그럼 피차 없었던 일로 치자고. 그동안 산전수전 다 겪었잖아. 우리 둘 다 말이야! 이번 일로 느낀 게 많아. 그리고 서로 더 깊이 이해할 수 있게 된 것 같아. 안 그래?
SkellyFirstMeeting|Skelly First Meeting|Skelly|꽤 멋진 곳인데! 그나저나 지금 수다나 떨 때가 아니지. 해야 할 일이 있으니까. 그러니 한번 해 봐! 실력 발휘 제대로 해 보라고!!
SkellyFirstMeeting|Skelly First Meeting|Zagreus|난 그쪽 고용한 기억이 전혀 없는데. 널 부리는 자가 누구지?
SkellyFirstMeeting|Skelly First Meeting|Skelly|어쭈, 내가 그리 쉽게 알려줄 줄 알아? 날 죽도록 패서 알아낸다면 모를까!
SkellyMiscMeeting01|Skelly Misc Meeting 01|Zagreus|내가 무슨 말을 해도 이번에도 역시 맞서 싸우지 않겠지?
SkellyMiscMeeting01|Skelly Misc Meeting 01|Skelly|웃기시네. 내가 호의나 베풀자고 돈 받고 여기 이러고 있는 것 같아? 어서 시작해!!
SkellyMiscMeeting02|Skelly Misc Meeting 02|Skelly|캬아, 볼 때마다 강해지는 것 같네. 물론 이런 말도 돈 받고 하는 말이지만. 하지만 마지막 한 말은 돈 때문에 한 말은 아니야...
SkellyMiscMeeting02|Skelly Misc Meeting 02|Zagreus|뭐 하나만 물어볼게. 대체 돈이 왜 필요한 거야?
SkellyMiscMeeting02|Skelly Misc Meeting 02|Skelly|이봐, 그건 내 문제니 신경 꺼! 매번 돈 얘기하는 거 굉장히 실례라는 거 몰라! 자, 다시 날 흠씬 두들겨 패 봐!
SkellyHintMeeting01|Skelly Hint Meeting 01|Skelly|내가 충고 하나 할까? 밖에서 나처럼 생긴 녀석과 마주치면 묻지도 따지지도 말고 단번에 놈의 등을 찔러 버려. 아버지한테 고자질하러 갈 생각이 아니라면 말이야.
SkellyHintMeeting02|Skelly Hint Meeting 02|Skelly|꽤 강해졌어. 그거 하난 인정해 줄게. 나 같은 놈들 벽에 내리꽂아. {#DialogueItalicFormat}쾅{#PreviousFormat}, 박살을 내 버리다니, 힘이 대단해! 하나만 기억해. 누군가와 끝장을 볼 때는 벽으로 밀어붙이면 유리하다고!
SkellyHintMeeting02|Skelly Hint Meeting 02|Zagreus|벽으로 밀어붙여 때려라. 꽤 괜찮은 조언이네.
SkellyHintMeeting03|Skelly Hint Meeting 03|Skelly|어이, 그 혈석인지 뭔지 던질 때 조심해. 떨어뜨리면 바로 가서 주우라고. 알았어? 혹시 누가 괴롭히면 주저 말고 눈알에다 하나 처박아도 좋아!
SkellyHintMeeting03|Skelly Hint Meeting 03|Zagreus|그냥 중간쯤을 겨냥하는 게 어떨까 해. 경험상 눈을 맞추는 게 여간 어려운 일이 아니더라고.
SkellyHintMeeting04|Skelly Hint Meeting 04|Skelly|어휴, 엄청 빠른데. 그렇게 재빨리 돌진해서 적을 계속해서 혼란스럽게 만들어야 해! 가만히 서 있다가 당하지 말고!
SkellyHintMeeting04|Skelly Hint Meeting 04|Zagreus|가만히 서 있지 말고 미친 듯이 달려라. 뭐 썩 나쁘지 않은 조언이네.
SkellyHintMeeting05|Skelly Hint Meeting 05|Skelly|팁 하나 줄까? 바깥에서 혹시 동전을 발견한다면 뱃사공 카론 알지? 그자한테 줘 버려. 써 버리든가 없애든가, 둘 중 하나야.
SkellyHintMeeting05|Skelly Hint Meeting 05|Zagreus|고마워. 내 꼭 기억해 두지. 돈이 생기면 모으지 말고 전부 써 버려라.
