Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|자매들과 얘기를 나눌 기회가 있었는데, 우리끼리 합의에 이르렀어, 자그레우스. 보시다시피 말이야.
FurySistersUnion01|Fury Sisters Union 01|Alecto|메가이라, 티시포네, 준비됐어?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}스을이이인{#PreviousFormat}!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|3 대 1이야. 별로 재미있어 보이진 않지?
FurySistersUnion01|Fury Sisters Union 01|Megaera|너나 나나 즐거움을 찾을 시기는 지난 것 같은데. 우린 널 죽이고 말 테야. 에리니에스! {#DialogueItalicFormat}지금{#PreviousFormat}.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|조심해, 티시포네.. 너를 위한 살인자를 찾은 것 같다.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|{#DialogueItalicFormat}사아아아알{#PreviousFormat}이이인...
Fury3SisterUnionSingleSis01_A|Fury Sister Union Single Sis A 3 01|Tisiphone|{#DialogueItalicFormat}사아아알인자아아{#PreviousFormat}...!
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|{#DialogueItalicFormat}으으음... 사, 살인자...
Fury3FirstAppearance|Fury First Appearance 3|Zagreus|이봐, 메가이라의 자매 맞지! 드디어 만나다니 반가워. 난 자그레우스라고 해. {#DialogueItalicFormat}살인자{#PreviousFormat}가 아니라. 절대 아니라고.
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|살인자... {#DialogueItalicFormat}사아아리이인자아아...!
Fury3FirstAppearance|Fury First Appearance 3|Zagreus|흐음... 이봐, 내가 한 일이 다 자랑스럽다고 말할 순 없지만, 난 누구도 살인한 적 없다는 것 하나는 확실해.
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|{#DialogueItalicFormat}사아아리이인자아아...!
Fury3PostEnding01|Fury Post Ending 3 01|Zagreus|이번에는 여기 일하러 온 거야, 티시포네. 그러니까...{#DialogueItalicFormat}음{#PreviousFormat}... 저리 비켜! 하긴, 나를 여기서 막는 게 네 일이겠지. 그렇지?
Fury3PostEnding01|Fury Post Ending 3 01|Tisiphone|사사사-{#DialogueItalicFormat}리이이이인{#PreviousFormat}...
Fury3PostEpilogue01|Fury Post Epilogue 3 01|Zagreus|네가 집에서 열린 연회에 오지 못해서 아쉬웠어, 티시포네. 하지만 네가 좋아할 만한 곳은 아니었을 거야. 그래도 아레스님이 계셨으니까, 그분께서 살인을 좀 하셨겠지?
Fury3PostEpilogue01|Fury Post Epilogue 3 01|Tisiphone|살이이이이인? 살이이인. {#DialogueItalicFormat}살이이이인{#PreviousFormat}!
Fury3Encounter01|Fury Encounter 3 01|Tisiphone|사... 살인자...?
