Id|Description|Speaker|Text
ZeusWithAres01|Zeus With Ares 01|Zeus|Bratanku! W imię mojej boskiej władzy, mój nader często błędnie rozumiany syn - Ares - wręczy ci teraz drobny symbol jego mocy. Jeszcze sprawię, że będzie pomocny!
ZeusWithAres01|Zeus With Ares 01|Ares|Stanie się, jak sobie życzysz, Lordzie Ojcze. Twoje życzenia są identyczne z moimi.
AresWithPoseidon01|Ares With Poseidon 01|Ares|Cóż, piekielny krewny mój, muszę powiedzieć, że są momenty, kiedy to chciałbym niejako lepiej poznać się z twoim ojcem, jeżeli mi wybaczysz, że tak mówię. Mój ojciec i mój tu obecny wuj... są w porównaniu do mnie nieco inaczej usposobieni.
AresWithPoseidon01|Ares With Poseidon 01|Poseidon|Być może gdybyś nie był tak dziwny i dokonał pewnego wysiłku, żeby dało się do ciebie dotrzeć, Aresie, to wtedy mielibyśmy więcej wspólnego, ty i ja! Gdybyś potrzebował w tej kwestii jakichś wskazówek, cóż, po prostu daj mi znać!
AresWithAthena01|Ares With Athena 01|Ares|Chciałem jedynie porozmawiać z tobą raz jeszcze na osobności, krewny mój, tylko że, widzisz...
AresWithAthena01|Ares With Athena 01|Athena|...Tylko że widzisz, drogi Kuzynie, niektórzy członkowie naszej rodziny predysponowani są do rzeczy nie do opisania. Ja tylko ostrzegam cię przed moim przyrodnim bratem. A teraz kontynuuj.
AresWithAthena01|Ares With Athena 01|Ares|Znowu mi przerywasz, droga siostro. Wiesz, że tego nie lubię. Ostrzegam cię, żebyś nie wsadzała nosa w moje sprawy. Będę pomagał krewnym tak, jak mi się podoba.
AresWithAthena01|Ares With Athena 01|Athena|Ty i tak robisz tylko to, co ci się podoba, Lordzie Aresie. Żebyś tylko zmierzał w tym samym kierunku, co my wszyscy.
AresWithAphrodite01|Ares With Aphrodite 01|Ares|Już nie mogę się doczekać dnia, gdy wreszcie dotrzesz na Olimp. Niewielu jest tu pośród nas z takimi zainteresowaniami jak te, które jak mniemam podzielamy.
AresWithAphrodite01|Ares With Aphrodite 01|Aphrodite|Jest nas tu przynajmniej kilkoro z podobnymi zainteresowaniami, czyż nie, Lordzie Aresie? A jeśli chodzi o {#DialogueItalicFormat}ciebie{#PreviousFormat}, najdroższy, nie musisz się spieszyć!
AresWithAphrodite02|Ares With Aphrodite 02|Ares|Wojny toczyły się o miłość, krewny mój... wyobrażasz to sobie? Pani Afrodyta i ja możemy bez końca dyskutować o takich okolicznościach. Ufam, że od czasu do czasu przystajesz, by zadać sobie pytanie, dlaczego wybrałeś, aby walczyć. Nie żebyś potrzebował powodu, rzecz jasna.
AresWithAphrodite02|Ares With Aphrodite 02|Aphrodite|O, Lordzie Aresie, doprawdy, nie ma takiej potrzeby, ażeby spowijać myśli i osądy naszego małego bożka tego typu komentarzami, czyż nie, {#DialogueItalicFormat}hm{#PreviousFormat}? Dajmy mu czego chce, a my możemy kontynuować tę rozmowę na osobności.
AresWithDionysus01|Ares With Dionysus 01|Ares|Ach, krewny mój! Właśnie pytałem Lorda Dionizosa, w jakich okolicznościach były wystawiane największe ze śmiertelnych uczt? Ponieważ mam w tej kwestii pewne przeczucie...
AresWithDionysus01|Ares With Dionysus 01|Dionysus|Tak, tak, Aresie, to ci przyznam, stary. Nie ma nic lepszego, niż uczta po wojnie, o tak! Zakładając, że jesteś po stronie wygranych, rzecz jasna! W przeciwnym razie, zdaje się, że ucztowali by z {#DialogueItalicFormat}tobą {#PreviousFormat}tam na dole Zag!
AresWithDemeter01|Ares With Demeter 01|Ares|Chłód śmierci przystoi Bogini Demeter, nie uważasz tak, mój zadający śmierć krewny? A ona się do niej coraz bardziej przyzwyczaja.
AresWithDemeter01|Ares With Demeter 01|Demeter|Myślę, że się pan zapomina, Lordzie Aresie. Jako że jestem starsza wiekiem; moje głodowe klęski zgładziły dziesiątki tysięcy śmiertelnych, zanim jeszcze myśli o tego typu rzeczach przyszły ci do głowy.
AresKillQuestComplete|Ares Kill Quest Complete|Ares|Padło przed tobą dziesięć tysięcy dusz, piekielny krewny mój. Muszę przyznać, że jestem pod ogromnym wrażeniem. Dobra robota.
AresAboutOlympianReunionQuest01|Ares About Olympian Reunion Quest 01|Zagreus|No to do dzieła. W imię Hadesa! Olimpie, to jest oficjalna wiadomość! Lordzie Aresie, proszę, rozważ naszą propozycję... jak ją tylko rozszyfrujesz.
AresAboutOlympianReunionQuest01|Ares About Olympian Reunion Quest 01|Ares|O proszę, a cóż to, krewny mój? Pewnego rodzaju zaproszenie dla mnie, jak przypuszczam. Nie tylko dla mnie... to symbolizuje wszystkich innych, tak? Wielce intrygujące. A zatem, postaram się odkryć znaczenie tego tak szybko, jak będę w stanie. Lecz najpierw!
AresPostEpilogue01|Ares Post Epilogue 01|Ares|Pragnę raz jeszcze powiedzieć ci, że świetnie się bawiłem podczas naszej ostatniej wspólnej uroczystości, krewny mój. Nareszcie mogłem osobiście zobaczyć twoje wypełnione umarłymi królestwo! Wiele się nauczyłem. I nie mogę się doczekać, żeby nauczyć się jeszcze więcej z naszej udanej współpracy, hm?
AresAboutZeus01|Ares About Zeus 01|Ares|Widzę, że Lord Zeus dotarł do ciebie przede mną? Dary mego ojca są hojne, w rzeczy samej, aczkolwiek... uważam, że na swój własny sposób również mogę pomóc.
AresAboutPoseidon01|Ares About Poseidon 01|Ares|Błogosławieństwo twego wuja Lorda Posejdona może i pomogło ci do tej pory, ale proszę: mój dar poniesie cię jeszcze dalej.
AresAboutAthena01|Ares About Athena 01|Ares|Dzierżysz błogosławieństwo Ateny, czy tak? Ona wolałaby ochronić cię przed wrogami. Ja zaś wolę, byś ich pozabijał i tyle.
AresAboutAphrodite01|Ares About Aphrodite 01|Ares|{#DialogueItalicFormat}Hm{#PreviousFormat}, widzę, że masz już błogosławieństwo Pani Afrodyty. Miłość i śmierć - razem ramię w ramię? Dla mnie brzmi doskonale.
AresAboutArtemis01|Ares About Artemis 01|Ares|Zatem, moja samotna przyrodnia siostra, Artemida, dotarła do ciebie pierwsza? Ona zaledwie pomoże ci w polowaniu - ja pomogę w zabijaniu. Spójrz.
AresAboutDionysus01|Ares About Dionysus 01|Ares|Ten pijak Dionizos nie może pomóc ci w takim stopniu, jak ja - mój ty w piekle zrodzony krewny. Porównaj jego dar z tym, co ja ci oferuję.
AresAboutHermes01|Ares About Hermes 01|Ares|Nasz posłaniec Hermes kontaktował się już z tobą, prawda? Być może nie będziesz widywać się z nim zbyt często, jako że moja działalność dość mocno go zajmuje - wiesz, prowadzenie dusz i takie tam.
AresAboutDemeter01|Ares About Demeter 01|Ares|Ledwie wyczuwam na tobie naznaczenie Bogini Demeter, {#DialogueItalicFormat}czyż nie{#PreviousFormat}? Jej moc związana z obfitością przeciwstawia się mojej w pewnych aspektach. Jednakże ostatnio zwróciła się w kierunku, który jest bardziej zgodny z moim własnym.
AresAboutHadesKeepsake01|Ares About Hades Keepsake 01|Ares|Ach, nosisz błogosławieństwo swojego własnego ojca, krewny mój? Cóż za niespodzianka... wiem, że wy dwaj zostaliście sprzymierzeńcami, a jednak... nadal jestem przyzwyczajony do myśli, że jesteście wobec siebie nienawistni niczym na wojnie. Być może nadal coś z tego pozostało, hm?
AresKillProgress01|Ares Kill Progress 01|Ares|Czy wiedziałeś, drogi krewny mój, że odkąd zacząłeś swoją przygodę, zabiłeś ponad stu przeciwników? Tak jest! Jako że liczyłem. I jestem pod ogromny wrażeniem.
AresKillProgress02|Ares Kill Progress 02|Ares|Jesteś naprawdę imponującym zabójcą, krewny mój. Wedle mych obliczeń, zabiłeś tam na dole co najmniej tysiąc dusz! Dusz, które co prawda w większości umarły już wcześniej, no ale i tak.
AresKillQuest01|Ares Kill Quest 01|Ares|Wiem, że masz wiele aspiracji, zacny krewny mój. Będę przez chwilę z tobą szczery co do moich własnych motywów: Tak długo, jak będziesz przynosił szybką i pewną śmierć, będziesz miał moje nieugięte wsparcie.
AresKillQuestAftermath01|Ares Kill Quest Aftermath 01|Ares|Myślę, że im więcej wrogów zabijasz, krewny mój, tym silniejsza będzie więź między nami. Też to czujesz? Aczkolwiek, być może żądza krwi obezwładnia twoje inne zmysły, hm?
AresAboutThanatos01|Ares About Thanatos 01|Ares|Być może słyszałeś o bogu, który nazywa się Tanatos? Wiesz, jesteśmy bardzo bliskimi wspólnikami. Przekaż mu proszę moje pozdrowienia, jeśli go zobaczysz.
AresAboutThanatos02|Ares About Thanatos 02|Ares|Mam nadzieję, że u Tanatosa wszystko w porządku? Choć zapewnia śmiertelnikom litościwy pokój, podczas gdy ja z pewnością czegoś takiego {#DialogueItalicFormat}nie {#PreviousFormat}czynię, to doceniam jego podejście.
AresAboutThanatos03|Ares About Thanatos 03|Ares|Rozumiem, że zbliżyłeś się dość mocno do Tanatosa, krewny mój? To doskonały partner, choć przyznaję, że nie spodziewałem się zobaczyć u Śmierci słabości do istoty innej niż ona sama.
