Id|Description|Speaker|Text
ChaosAboutBeowulfAspect01_A|Chaos About Beowulf Aspect A 01|Chaos|Wyczuwam, że nie rozmawiałeś jeszcze z wszechwidzącym artefaktem, którego nazywasz Egidą. Zadzieraj z zamysłami Mojr ile chcesz. Ale jeśli zmienisz zdanie, przemów do niego: {#DialogueItalicFormat}Widzę cię trzymającego gardę naprzeciw ziejącego ogniem węża.{#PreviousFormat}
ChaosAboutBeowulfAspect01|Chaos About Beowulf Aspect 01|Chaos|Nie użyłeś jeszcze wybudzającego zdania, które zostało przeze mnie przekazane? A może po prostu postanowiłeś nie przedstawiać mi wyniku. Pragnę go w pewnym momencie zobaczyć. Pamiętaj, synu Hadesa: Przemów do wszechwidzącego artefaktu, {#DialogueItalicFormat}Widzę cię trzymającego gardę naprzeciw ziejącego ogniem węża.{#PreviousFormat}
ChaosAboutBeowulfAspect02|Chaos About Beowulf Aspect 02|Chaos|Z nieskończenie rozległych możliwości, oto przede mną stoi Syn Hadesa, noszący mój wszechwidzący artefakt, pojawiający się w aspekcie jeszcze nienarodzonego posiadacza, który będzie znany na całej północy jako Beowulf. Jakże zabawne.
ChaosSurfaceQuestComplete|Chaos Surface Quest Complete|Chaos|Delikatnie wyczułem, że udało ci się skonfrontować z ojcem, gdy byłeś w posiadaniu mojego małego okrągłego nośnika. Wygląda na to, że moje pytanie i twój sukces były zgodne również z zamysłami Mojr. Rezultat jest nawet bardziej zabawny, niż się spodziewałem. Zatem, dziękuję.
ChaosAboutNyx05|Chaos About Nyx 05|Chaos|Wykryłem jakąś niezwykłą aktywność w okolicach Podziemi, Synu Hadesa... ogromne sumy Ciemności zebrane w starożytnym nośniku, który widzę teraz niczym latarnię morską świecącą w nocy. To albo dzieło Nyks, albo twoje, albo was obojga. Wyczekuję rezultatu.
ChaosAboutNyx06|Chaos About Nyx 06|Chaos|Cieszy mnie niezmiernie, Synu Hadesa, że znów zobaczyłem boginię Nyks. Myślę, że znaczna ilość czasu, jaka upłynęła odkąd ostatnim razem miało to miejsce, stłumiła chyba wystarczająco stare bóle. W ten sposób mamy podstawę, na której nasz związek może z czasem ponownie nabrać kształtu.
ChaosAboutResponding01|Chaos About Responding 01|Chaos|Gdy poznamy się bliżej, Synu Hadesa, muszę w pewnej kwestii wyrazić się jasno: obawiam się, że brak mi cierpliwości, jeżeli chodzi o dyskusje. Podczas odwiedzin proszę cię, abyś jedynie słuchał, przyjął moje naznaczenie i opuścił to miejsce. Odpowiadaj wyłącznie, gdy jest to konieczne. Lub gdy jesteś o to poproszony. Tak?
ChaosAboutResponding01|Chaos About Responding 01|Zagreus|...Jedynie słuchał, a zatem tak samo, gdy dostaję te wiadomości z Olimpu. Moment, zostałem przez ciebie właśnie poproszony, Mistrzu Chaosie, czyż nie? Czy może powinienem się nie odzywać?
ChaosAboutResponding01|Chaos About Responding 01|Chaos|Nie mogę zaoferować ci porady. Ale zostałeś poproszony, tak. Możesz wypowiadać się swobodnie, zarówno wtedy, jak i kiedykolwiek indziej, bez względu na me życzenia, by tego nie robić. Całkowita cisza jest moim ogólnym upodobaniem. Nie musi być też twoim.
ChaosAboutNyx01|Chaos About Nyx 01|Chaos|Rozumiem, że Zeus i wszyscy jego krewni na Olimpie myślą, żeś zrodzony z Hadesa i bogini Nyks? Rozbawiło mnie to oszustwo, gdy się o nim dowiedziałem. Nyks jest matką wielu bóstw Podziemi, więc czemu by też nie twoją?
ChaosAboutNyx01|Chaos About Nyx 01|Zagreus|Nie jest moją rodzoną matką, nie, ale jest dla mnie niczym matka. Znasz ją?
ChaosAboutNyx01|Chaos About Nyx 01|Chaos|Och, znam boginię Nyks całkiem dobrze, oczywiście. Choć od naszej ostatniej rozmowy upłynęło już sporo czasu i obawiam się, że... cóż, nie byłem wtedy zbyt życzliwy. Mam nadzieję, że Nyks dobrze się powodzi.
