Id|Description|Speaker|Text
AresWithDionysus01|Ares With Dionysus 01|Ares|Ach, krewny mój! Właśnie pytałem Lorda Dionizosa, w jakich okolicznościach były wystawiane największe ze śmiertelnych uczt? Ponieważ mam w tej kwestii pewne przeczucie...
AresWithDionysus01|Ares With Dionysus 01|Dionysus|Tak, tak, Aresie, to ci przyznam, stary. Nie ma nic lepszego, niż uczta po wojnie, o tak! Zakładając, że jesteś po stronie wygranych, rzecz jasna! W przeciwnym razie, zdaje się, że ucztowali by z {#DialogueItalicFormat}tobą {#PreviousFormat}tam na dole Zag!
ArtemisWithDionysus01|Artemis With Dionysus 01|Artemis|Och, świetnie, to ty, Zagreusie! Proszę, pozwól mi zaoferować ci kilka moich wybornych Darów, tak jak i obecny tutaj Lord Dionizos, który z pewnością chciałby zagadywać na śmierć również i ciebie!
ArtemisWithDionysus01|Artemis With Dionysus 01|Dionysus|{#DialogueItalicFormat}Ech{#PreviousFormat}, mówi mi, że jestem strasznie głośny i żebym się odczepił, i tego typu okropne rzeczy, no ale co zrobisz, prawda?
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Aphrodite|Moje moce, najdroższy, idą ramię w ramię z tymi od Dionizosa - z jego mocą, by przekonać umysł do postrzegania piękna tam, gdzie go tak naprawdę nie ma!
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Dionysus|{#DialogueItalicFormat}Ach, haha{#PreviousFormat}, nie ma potrzeby mi tak schlebiać, Pani Afrodyto! Piękno niemal całkowicie leży w umyśle, jestem pewien! I w mięśniach, i w rysach twarzy, i w czarującym uśmiechu, i, cóż, kim ja jestem, by ci to mówić, co nie?
DionysusWithZeus01|Dionysus With Zeus 01|Dionysus|Hej, Zag, jest tutaj mój Tata i chciałby z tobą zamienić słówko - wyluzuj i zgadzaj się z tym, co mówi, okej?
DionysusWithZeus01|Dionysus With Zeus 01|Zeus|Ten Dionizos, zawsze zbyt uprzejmy, jeżeli chodzi o wstępy, choć przynajmniej okazuje mi należyty szacunek. Być może pewnego dnia zapozna cię ze zwyczajami na Olimpie.
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|{#DialogueItalicFormat}Uch{#PreviousFormat}, Zag, {#DialogueItalicFormat}yyy{#PreviousFormat}... twój wuj nadchodzi. Nie Tata, {#DialogueItalicFormat}yyy{#PreviousFormat}, ten drugi znaczy się. I chciał tylko sprawdzić, jak się masz, więc...
DionysusWithPoseidon01|Dionysus With Poseidon 01|Poseidon|{#DialogueItalicFormat}A-ha{#PreviousFormat}, tutaj jesteś, mój mały Bratanku! Dionizos wyjaśnia ci co i jak, czy coś? Chcesz prawdziwej uczty, to wiesz, trzymaj się {#DialogueItalicFormat}ze mną{#PreviousFormat}! A teraz weź moje błogosławieństwo, {#DialogueItalicFormat}dalej{#PreviousFormat}!
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|{#DialogueItalicFormat}Och{#PreviousFormat}, tak czy inaczej, jesteśmy tutaj, stary, czekamy na ciebie! Wiemy, że ci się uda - kiedyś na pewno?
DionysusWithAthena01|Dionysus With Athena 01|Dionysus|Hej, Zag, kiedy przybędziesz, to dopiero będzie prawdziwa zabawa, mówię ci! Nawet obecna tutaj Atena trochę wyluzuje, no wiesz, rozpuści włosy, założy coś bardziej wygodnego, tak, będzie {#DialogueItalicFormat}świetnie{#PreviousFormat}!
DionysusWithAthena01|Dionysus With Athena 01|Athena|Być może obecny tutaj Lord Dionizos jest w istocie bogiem strategii, jako że jest najwyraźniej zadziwiająco świadomy mojego kolejnego ruchu, Kuzynie. Aczkolwiek pomimo tego, mam zamiar pozostać skupiona na twej sytuacji. Nie na jego uczcie.
DionysusWithAres01|Dionysus With Ares 01|Dionysus|Wiesz, Zag, być może gdy już tu dotrzesz, to dasz radę rozweselić nieco Aresa, wiesz, stary? Zawsze pogarsza nastrój tą swoją gadką o krwi i okropnościach i tego typu rzeczach!
