Id|Description|Speaker|Text
NyxFirstMeeting|Nyx First Meeting|Nyx|Nie rozpaczaj, dziecko. Takie porażki są nieuniknione, lecz czas i wysiłek pomogą ci się po nich podnieść. Nawiązałeś kontakt z boginią Ateną. Będzie wierna swemu słowu.
NyxFirstMeeting|Nyx First Meeting|Zagreus|Wierzę w to, Nyks. Jestem wdzięczny, że nas ze sobą skontaktowałaś. Wiem, że podjęłaś duże ryzyko prosząc ją o pomoc.
NyxFirstMeeting|Nyx First Meeting|Nyx|Ryzyko nie jest po mojej stronie. Spodziewałam się, że w pewnym momencie bogowie Olimpu będą mieli swój udział w tej sprawie. Nie ujawniaj im nic więcej ponad to, co już wiedzą. Rozumiemy się?
NyxFirstMeeting_B|Nyx First Meeting B|Nyx|Cieszy mnie, że wreszcie mamy okazję porozmawiać, dziecko. Zatem bogini Atena pozostała wierna swemu słowu. Zarówno ty jak i ona mądrze postąpiliście zachowując dyskrecję w kwestii twego zadania.
NyxFirstMeeting_B|Nyx First Meeting B|Nyx|Ryzyko nie było po mojej stronie. Nieuniknionym było, że bogowie Olimpu wezmą w tym swój udział. Jedynym pytaniem było: jak.
NyxGrantsRespec|Nyx Grants Respec|Nyx|Ufam, że Lustro w twej komnacie sypialnej okazało się przydatne, drogie dziecko...?
NyxGrantsRespec|Nyx Grants Respec|Zagreus|Jest lepsze, niż kiedykolwiek mógłbym to sobie wymarzyć, Nyks. Wspominałaś, że jest coś jeszcze, co będzie mogło robić, gdy już się do niego przyzwyczaję. Myślę, że jestem już na to gotowy.
NyxGrantsRespec|Nyx Grants Respec|Nyx|Też tak myślę. Zatem, stanie się tak, jak sobie życzysz.
NyxMiscMeeting02|Nyx Misc Meeting 02|Nyx|Zanim pójdziesz, moje dziecko... twój ojciec jest obecnie w dość podłym nastroju. Myślę, że najlepiej nie wchodzić mu teraz w drogę.
NyxMiscMeeting04|Nyx Misc Meeting 04|Zagreus|Nyks, to może być dziwne pytanie, ale... czy wiesz, co Mojry dla mnie zaplanowały? To twoje córki, racja?
NyxMiscMeeting04|Nyx Misc Meeting 04|Nyx|Trzy Mojry to moje córki, tak, moje dziecko. Jednak do ich planów mam taki sam wgląd, co naiwni śmiertelnicy żyjący na powierzchni. Nawet bogowie olimpu nie znają zamysłów Mojr.
NyxMiscMeeting05|Nyx Misc Meeting 05|Nyx|Niech Ciemność cię prowadzi, dziecko. Wyrosłeś z tego domu - jestem tego teraz pewna. Jeśli kiedykolwiek wrócisz, będę cię chronić.
NyxMiscMeeting05|Nyx Misc Meeting 05|Zagreus|Nie zapomnę cię, Nyks. Przysięgam.
