Id|Description|Speaker|Text
AresWithPoseidon01|Ares With Poseidon 01|Ares|Cóż, piekielny krewny mój, muszę powiedzieć, że są momenty, kiedy to chciałbym niejako lepiej poznać się z twoim ojcem, jeżeli mi wybaczysz, że tak mówię. Mój ojciec i mój tu obecny wuj... są w porównaniu do mnie nieco inaczej usposobieni.
AresWithPoseidon01|Ares With Poseidon 01|Poseidon|Być może gdybyś nie był tak dziwny i dokonał pewnego wysiłku, żeby dało się do ciebie dotrzeć, Aresie, to wtedy mielibyśmy więcej wspólnego, ty i ja! Gdybyś potrzebował w tej kwestii jakichś wskazówek, cóż, po prostu daj mi znać!
ArtemisWithPoseidon01|Artemis With Poseidon 01|Artemis|Znasz już mojego ojca i mojego wuja, racja, Zagreusie? Nie wiem, który z nich jest gorszy. {#DialogueItalicFormat}Uch{#PreviousFormat}, to znaczy... potężniejszy! Potężniejszy, mimo że technicznie większość czasu spędza w morzach pod Olimpem, czyż nie jest tak, Wuju?
ArtemisWithPoseidon01|Artemis With Poseidon 01|Poseidon|Och, Artemido, nie musisz przechwalać się przed małym Hadesem w moim imieniu! Poza tym! To czy jesteś na morzu, nad nim, czy też pod nim nie ma większego znaczenia dla twojej miary jako boga! Wy dwoje jesteście jeszcze młodzi! Trzymajcie się tego, a wkrótce będziecie praktycznie tak samo wielcy jak ja!
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|Co należy wiedzieć o tej rodzinie, najdroższy, to że każde z nas ma swoje małe dziwactwa. Jednakże zawsze trzymamy się razem, a nasza wzajemna miłość wciąż trwa!
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Poseidon|{#DialogueItalicFormat}Oho{#PreviousFormat}! A co my tu mamy, mały Hadesie? Wygląda na to, że masz {#DialogueItalicFormat}towarzystwo{#PreviousFormat}! Cóż, zostawię was samych. Moje usta są zamknięte szczelniej niż kadłub statku wojennego!
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|Och, nie krępuj się i zostań, Posejdonie! Wyjaśniałam właśnie, jakim jesteś idiotą, choć sam najlepiej będziesz w stanie to wyartykułować. W każdym razie, najdroższy, o czym to ja mówiłam...?
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|{#DialogueItalicFormat}Uch{#PreviousFormat}, Zag, {#DialogueItalicFormat}yyy{#PreviousFormat}... twój wuj nadchodzi. Nie Tata, {#DialogueItalicFormat}yyy{#PreviousFormat}, ten drugi znaczy się. I chciał tylko sprawdzić, jak się masz, więc...
DionysusWithPoseidon01|Dionysus With Poseidon 01|Poseidon|{#DialogueItalicFormat}A-ha{#PreviousFormat}, tutaj jesteś, mój mały Bratanku! Dionizos wyjaśnia ci co i jak, czy coś? Chcesz prawdziwej uczty, to wiesz, trzymaj się {#DialogueItalicFormat}ze mną{#PreviousFormat}! A teraz weź moje błogosławieństwo, {#DialogueItalicFormat}dalej{#PreviousFormat}!
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|{#DialogueItalicFormat}Och{#PreviousFormat}, tak czy inaczej, jesteśmy tutaj, stary, czekamy na ciebie! Wiemy, że ci się uda - kiedyś na pewno?
