Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|Moje siostry i ja. Miałyśmy szansę porozmawiać i doszłyśmy do porozumienia, Zagreusie. Jak widzisz.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megajra, Tyz - gotowe?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}Mmorrrderca{#PreviousFormat}!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Trzy na jednego. Nie wydaje się to być zbyt sportową zagrywką.
FurySistersUnion01|Fury Sisters Union 01|Megaera|Wszystkie już dawno straciłyśmy ochotę na jakikolwiek sport. Zabijemy cię - niezależnie od tego, ile nas to będzie kosztować. Erynie! {#DialogueItalicFormat}Teraz{#PreviousFormat}.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|Uwaga, Tyzyfone. Chyba znalazłam dla ciebie mordercę.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|{#DialogueItalicFormat}Mmmmorrrr{#PreviousFormat}derrrstwooo...
Fury3SisterUnionSingleSis01_A|Fury Sister Union Single Sis A 3 01|Tisiphone|{#DialogueItalicFormat}Mmmoorrderrcaaa{#PreviousFormat}...!
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|{#DialogueItalicFormat}Mmmm... mmmorderca...
Fury3FirstAppearance|Fury First Appearance 3|Zagreus|Hej, musisz być jedną z sióstr Megajry! Miło cię wreszcie poznać. Nazywam się Zagreus. Nie {#DialogueItalicFormat}Morderca{#PreviousFormat}. Zdecydowanie nie.
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|Morderca... {#DialogueItalicFormat}mmmmmorderrcaaaaaa...!
Fury3FirstAppearance|Fury First Appearance 3|Zagreus|{#DialogueItalicFormat}Yyy{#PreviousFormat}... słuchaj, może i robiłem rzeczy, które nie były zbyt przyjemne, ale jestem bardzo, ale to bardzo pewien, że nikogo nie zamordowałem.
Fury3FirstAppearance|Fury First Appearance 3|Tisiphone|{#DialogueItalicFormat}Mmmmmmorderrrcaaaaaaa{#PreviousFormat}...!
Fury3PostEnding01|Fury Post Ending 3 01|Zagreus|Tym razem jestem tu w oficjalnych sprawach, Tyzyfone, więc, {#DialogueItalicFormat}uch{#PreviousFormat}... odsuń się! Chociaż zgaduję, że cały sens tej pracy jest taki, że i tak będziesz próbować mnie powstrzymać, prawda?
Fury3PostEnding01|Fury Post Ending 3 01|Tisiphone|Mmm, hrr-hrr-{#DialogueItalicFormat}hrrdderrrstwo{#PreviousFormat}...
Fury3PostEpilogue01|Fury Post Epilogue 3 01|Zagreus|Och, przykro mi, że nie mogłaś dotrzeć na tamtą ucztę w Domu, Tyzyfone. Chociaż nie wydaje mi się, żeby to było coś dla ciebie. W każdym razie, Ares tam był - on prawdopodobnie popełnił kilka morderstw, prawda?
Fury3PostEpilogue01|Fury Post Epilogue 3 01|Tisiphone|Morrrddderrrca? Morrdderrstwo...! {#DialogueItalicFormat}Morrdderstwo{#PreviousFormat}!
Fury3Encounter01|Fury Encounter 3 01|Tisiphone|{#DialogueItalicFormat}Mmmmorrrr{#PreviousFormat}... derstwo...?
Fury3Encounter01|Fury Encounter 3 01|Zagreus|{#DialogueItalicFormat}Yyy{#PreviousFormat}... a może jednak nie? Nie morderstwo. Nie morderstwo!
Fury3Encounter01|Fury Encounter 3 01|Tisiphone|{#DialogueItalicFormat}Mmmmorrrderstwoooo....{#PreviousFormat}
Fury3Encounter02|Fury Encounter 3 02|Tisiphone|Morderstwo...? Morderstwo, morrrderca...!
Fury3Encounter02|Fury Encounter 3 02|Zagreus|Naprawdę miałem nadzieję, że zmienimy temat. Proszę?
Fury3Encounter02|Fury Encounter 3 02|Tisiphone|Moorderca... {#DialogueItalicFormat}mmmooorrrderca{#PreviousFormat}!
Fury3Encounter03|Fury Encounter 3 03|Tisiphone|Mmm... mmm.... mmmrrrr....!
Fury3Encounter03|Fury Encounter 3 03|Zagreus|Niech zgadnę. Morderstwo? A może morderca? Jedno z tych dwóch.
Fury3Encounter03|Fury Encounter 3 03|Tisiphone|Mmm, mmmorrderstwo... mmmorrderstwo!!
Fury3Encounter04|Fury Encounter 3 04|Tisiphone|Mmmrrrrr... mmorrr, derrstwooo....
Fury3Encounter04|Fury Encounter 3 04|Zagreus|Proszę, nie jestem mordercą, nie musisz tego robić.
Fury3Encounter04|Fury Encounter 3 04|Tisiphone|Morderca. Morrrderrrcaaa.
Fury3Encounter05|Fury Encounter 3 05|Tisiphone|Morderca.... morderstwo, morderstwo, {#DialogueItalicFormat}morderstwo{#PreviousFormat}!
Fury3Encounter05|Fury Encounter 3 05|Zagreus|Odnoszę wrażenie, że coś nie możemy się dogadać, czyż nie? Przykro mi, że musi tak być.
Fury3Encounter05|Fury Encounter 3 05|Tisiphone|Morderca. {#DialogueItalicFormat}Morderstwooo{#PreviousFormat}!!
Fury3Encounter06|Fury Encounter 3 06|Tisiphone|Morderstwo? {#DialogueItalicFormat}Morderstwo{#PreviousFormat}...? Morderstwo....
Fury3Encounter06|Fury Encounter 3 06|Zagreus|Nie rozumiem. Ale nie jestem tym, za kogo mnie masz. Mój ojciec nasłał cię, żebyś mnie powstrzymała - to wszystko.
Fury3Encounter06|Fury Encounter 3 06|Tisiphone|Morderca... morderca! {#DialogueItalicFormat}Morderca{#PreviousFormat}!
Fury3Encounter07|Fury Encounter 3 07|Tisiphone|Mrrr... morr.. derr... {#DialogueItalicFormat}morrderrstwo{#PreviousFormat}!
Fury3Encounter07|Fury Encounter 3 07|Zagreus|Nie morderstwo. Zagreus. Moje imię to Zagreus! Możesz to powiedzieć, Tyzyfone? Nie morderstwo. {#DialogueItalicFormat}Zagreus{#PreviousFormat}!
Fury3Encounter07|Fury Encounter 3 07|Tisiphone|Morr... derr... {#DialogueItalicFormat}zztwo{#PreviousFormat}....
Fury3Encounter08|Fury Encounter 3 08|Tisiphone|Mm, morr... derr.... ztwo!
Fury3Encounter08|Fury Encounter 3 08|Zagreus|Naprawdę powiedziałaś {#DialogueItalicFormat}morderztwo{#PreviousFormat}, czyż nie?! To postęp! Zagreus! Jestem Zagreus, nie jestem mordercą! Możesz powiedzieć Zagreus?
Fury3Encounter08|Fury Encounter 3 08|Tisiphone|Derr... ztwo... zzaa... zzaa, {#DialogueItalicFormat}graaaaa{#PreviousFormat}!
Fury3Encounter09|Fury Encounter 3 09|Tisiphone|Zarr... zznn... zrrrggghh...!
Fury3Encounter09|Fury Encounter 3 09|Zagreus|Pamiętasz mnie, Tyzyfone? Moje imię to Zagreus. Książę Podziemi? Jestem całkiem blisko z Megajrą, jak sądzę. Spróbujesz ponownie powiedzieć dla mnie Zagreus?
Fury3Encounter09|Fury Encounter 3 09|Tisiphone|Zrrnngh... zzaaa... zzaa... gree... mrrsss...?
Fury3Encounter10|Fury Encounter 3 10|Tisiphone|{#DialogueItalicFormat}Zzaaaaa... derrr... caa{#PreviousFormat}... Zzaa... derr.
Fury3Encounter10|Fury Encounter 3 10|Zagreus|Och, jesteś tak blisko, Tyzyfone! Pamiętasz, Zagreus? To ja. Nie jestem twoim wrogiem, wiesz, jeszcze tego nie zrozumiałaś? Jestem tylko Zagreusem!
Fury3Encounter10|Fury Encounter 3 10|Tisiphone|...Zzzzzaaaaa... gree... usss.... Zzaagreeusss! {#DialogueItalicFormat}Zaagreuss{#PreviousFormat}!!
Fury3Encounter11|Fury Encounter 3 11|Tisiphone|{#DialogueItalicFormat}Zzzaaggreussss{#PreviousFormat}.... mm... morrdercaa....
Fury3Encounter11|Fury Encounter 3 11|Zagreus|Nie. Czekaj. Tylko ta pierwsza część. Nie morderca. Tylko Zagreus. Albo... zobaczmy, a może by tak... {#DialogueItalicFormat}wesoły{#PreviousFormat}? Możesz powiedzieć {#DialogueItalicFormat}wesoły{#PreviousFormat}?
Fury3Encounter11|Fury Encounter 3 11|Tisiphone|Mmrrr... {#DialogueItalicFormat}Zzzrrderrrcaa{#PreviousFormat}....
Fury3Encounter12|Fury Encounter 3 12|Tisiphone|Morderrca... Zzaagreusss... {#DialogueItalicFormat}morrderrca{#PreviousFormat}...
Fury3Encounter12|Fury Encounter 3 12|Zagreus|{#DialogueItalicFormat}Yyy{#PreviousFormat}, dobrze... spróbujmy ponownie z {#DialogueItalicFormat}wesoły{#PreviousFormat}, co ty na to? Wesoły? Nie morderca, tylko wesoły. No dalej, teraz!
Fury3Encounter12|Fury Encounter 3 12|Tisiphone|Morrderca... morderrca {#DialogueItalicFormat}Zzagreusss{#PreviousFormat}!
Fury3Encounter13|Fury Encounter 3 13|Tisiphone|Mmmorderr{#DialogueItalicFormat}caa{#PreviousFormat}... znnnhh... zrrrnnggh...
Fury3Encounter13|Fury Encounter 3 13|Zagreus|{#DialogueItalicFormat}Uuch{#PreviousFormat}, wydaje mi się, że {#DialogueItalicFormat}wesoły {#PreviousFormat}do ciebie nie pasuje. Chociaż, może próba zabicia mnie w ten sposób jakoś przybliża cię do tego stanu. Nauczyłaś się przynajmniej mojego imienia, to jest coś, prawda?
Fury3Encounter13|Fury Encounter 3 13|Tisiphone|{#DialogueItalicFormat}Morrdercaa... Zzaagreusss{#PreviousFormat}...
Fury3Encounter14|Fury Encounter 3 14|Tisiphone|Mmmorrderrca...{#DialogueItalicFormat}morrdderrcaaa{#PreviousFormat}....
Fury3Encounter14|Fury Encounter 3 14|Zagreus|...Więc wracamy do punktu wyjścia. Słuchaj, po prostu próbowałem do ciebie jakoś dotrzeć z tym Zagreusem i wesołym. Ale jeśli cokolwiek z tego rozumiesz, Tyzyfone, to myślę, że jesteś w porządku taka, jaka jesteś. Przyjaciele?
Fury3Encounter14|Fury Encounter 3 14|Tisiphone|...Zzrrngh... zrrnnggh... {#DialogueItalicFormat}zzrrdderrcaaa!{#PreviousFormat}...
Fury3Encounter15|Fury Encounter 3 15|Tisiphone|Zzz, zzaa... {#DialogueItalicFormat}Zaaggreus? {#PreviousFormat}Mmorderrcaa?
Fury3Encounter15|Fury Encounter 3 15|Zagreus|Hej, {#DialogueItalicFormat}uch{#PreviousFormat}, czy przypadkiem zmieniłaś zdanie, odnośnie tej całej kwestii z {#DialogueItalicFormat}wesołym{#PreviousFormat}? Tylko się upewniam.
Fury3Encounter15|Fury Encounter 3 15|Tisiphone|Zagreuss {#DialogueItalicFormat}morderrrca{#PreviousFormat}!
Fury3MiscStart01|Fury Misc Start 3 01|Tisiphone|Mmmmm, mmm, mmrrrrr....
Fury3MiscStart02|Fury Misc Start 3 02|Tisiphone|Mm, mmorrrderrrca.... Morderca!
Fury3MiscStart04|Fury Misc Start 3 04|Tisiphone|Morrrrderrcaaa.... mmmorrrrderrrcaaa...!
Fury3MiscStart05|Fury Misc Start 3 05|Tisiphone|Mmm, hrr-hrr-{#DialogueItalicFormat}Morrderrca{#PreviousFormat}?
Fury3MiscStart06|Fury Misc Start 3 06|Tisiphone|Morderstwo. Morderstwo. Morderstwo. {#DialogueItalicFormat}Morderstwo. Morderstwo{#PreviousFormat}!
Fury3MiscStart07|Fury Misc Start 3 07|Tisiphone|Morderca. Morderca...! {#DialogueItalicFormat}Morderca{#PreviousFormat}!
Fury3MiscStart09|Fury Misc Start 3 09|Tisiphone|Mmmmorderrrcaaaa...?
Fury3MiscStart13|Fury Misc Start 3 13|Tisiphone|Morrrrderstwooo? Moorrrrrdeerrrstwoo....
Fury3MiscStart14|Fury Misc Start 3 14|Tisiphone|Mmm... mmmrrrr... mrrrrr!
Fury3MiscStart15|Fury Misc Start 3 15|Tisiphone|Mm, mmm, mmrrrnnggghh!
Fury3MiscStart16|Fury Misc Start 3 16|Tisiphone|{#DialogueItalicFormat}Morderstwoooo{#PreviousFormat}!
Fury3MiscStart17|Fury Misc Start 3 17|Tisiphone|{#DialogueItalicFormat}Zzzaaa, zzz, zrnnghh... {#PreviousFormat}moorrdercaa...!
Fury3MiscStart18|Fury Misc Start 3 18|Tisiphone|Zz, zzzaggreuss.... {#DialogueItalicFormat}Zagreus{#PreviousFormat}!
Fury3MiscStart19|Fury Misc Start 3 19|Tisiphone|Zzzagreus? {#DialogueItalicFormat}Mmorddercaa Zaggreuss{#PreviousFormat}!
Fury3MiscStart20|Fury Misc Start 3 20|Tisiphone|Mmmorderrcaa...{#DialogueItalicFormat}Zzaaggreusss{#PreviousFormat}...!
Fury3MiscStart22|Fury Misc Start 3 22|Tisiphone|Zzhhrr, zzzrnn, {#DialogueItalicFormat}Zzzrrderca{#PreviousFormat}...
Fury3MiscStart23|Fury Misc Start 3 23|Tisiphone|Zagreuss. Zagreuss...! {#DialogueItalicFormat}Zagreuss{#PreviousFormat}!
Fury3MiscStart24|Fury Misc Start 3 24|Tisiphone|{#DialogueItalicFormat}Zzzaaagggreussss{#PreviousFormat}....
Fury3MiscStart25|Fury Misc Start 3 25|Tisiphone|{#DialogueItalicFormat}Zzzaaagggreussss{#PreviousFormat}...?
Fury3MiscStart27|Fury Misc Start 3 27|Tisiphone|{#DialogueItalicFormat}Zzzaaag{#PreviousFormat}greusssss....
Fury3MiscStart28|Fury Misc Start 3 28|Tisiphone|Zzagreuss? {#DialogueItalicFormat}Zzaaggreusss. {#PreviousFormat}Morderrcaaa....
Fury3MiscStart29|Fury Misc Start 3 29|Tisiphone|Zzz... zzuh, zzzrnnn! {#DialogueItalicFormat}Mor{#PreviousFormat}dderrcaa!
Fury3MiscStart30|Fury Misc Start 3 30|Tisiphone|Zz, zrrngh, {#DialogueItalicFormat}zzrraugghhh{#PreviousFormat}!
Fury3MiscStart31|Fury Misc Start 3 31|Tisiphone|{#DialogueItalicFormat}Zag{#PreviousFormat}reussss!
Fury3MiscStart32|Fury Misc Start 3 32|Tisiphone|Zzz{#DialogueItalicFormat}zaaaag{#PreviousFormat}greusss....!
Fury3MiscStart33|Fury Misc Start 3 33|Tisiphone|Zzzagreuss, {#DialogueItalicFormat}mmordercaa{#PreviousFormat}!
