Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|Minhas irmãs e eu tivemos a chance de conversar e chegamos a um acordo, Zagreu. Como você pode ver.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megaira, Tis, estão prontas?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}Assassinooo{#PreviousFormat}!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Três contra um. Não parece tão divertido assim, parece?
FurySistersUnion01|Fury Sisters Union 01|Megaera|Já passamos dessa fase de diversão. Vamos matar você, custe o que custar. Erínias! {#DialogueItalicFormat}Agora{#PreviousFormat}.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Megaera|Está vendo, Alecto? Ele chegou a tempo, como eu disse.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Alecto|Megaira, faça-o {#DialogueItalicFormat}sangrar{#PreviousFormat}!
Fury2SisterUnion01|Fury Sister Union 2 01|Alecto|Está pronta, Megaira? Tisífone? Vamos.
Fury2SisterUnionSingleSis01|Fury Sister Union Single Sis 2 01|Alecto|Veja só, irmã! O deus do lixo está aqui. Mãos à obra.
Fury2SisterUnionWithMeg01|Fury Sister Union With Meg 2 01|Alecto|Ugh, {#DialogueItalicFormat}olha só {#PreviousFormat}pra ele! Esse olhar convencido, essa pose, {#DialogueItalicFormat}tudo{#PreviousFormat}! Por favor não me diga que você tá ficando caidinha por esse deus lixoso, Irmã.
Fury2SisterUnionWithMeg01|Fury Sister Union With Meg 2 01|Megaera|Por favor, Alecto. Quando foi a última vez que pedimos a aprovação da outra? Além disso, desde que matemos ele, por que se importa?
Fury2SisterUnionWithMeg01|Fury Sister Union With Meg 2 01|Alecto|Sabe? É um bom argumento, Irmã! Muito bem dito. {#DialogueItalicFormat}Agora, vamos matar ele{#PreviousFormat}!
Fury2SisterUnionWithMeg02|Fury Sister Union With Meg 2 02|Alecto|Olha só esse pedaço de lixo nojento, veio aqui só pra sujar de sangue nosso lindo chãozinho que acabou de ser polido. Pronto pra lutar com minha adorável irmã, sangrentinho?
Fury2SisterUnionWithMeg02|Fury Sister Union With Meg 2 02|Megaera|Ele não é tão ruim depois que você o conhece bem, mana. Não que isso importe, devido ao que vamos fazer agora.
Fury2SisterUnionWithMeg02|Fury Sister Union With Meg 2 02|Alecto|Vocês dois me dão nojo, Meg, sabia disso? Cai na real e {#DialogueItalicFormat}mata {#PreviousFormat}ele dessa vez, que droga!
Fury2PactReaction01|Fury Pact Reaction 2 01|Alecto|Você deve ter assinado o Pacto! Não foi, sangrentinho? Me conta, agora.
Fury2PactReaction01|Fury Pact Reaction 2 01|Zagreus|Bem, na verdade, eu assinei sim. Mas não vejo como isso possa ser assunto seu, Alecto.
Fury2PactReaction01|Fury Pact Reaction 2 01|Alecto|Eu gosto de trabalhar {#DialogueItalicFormat}sozinha{#PreviousFormat}! E você está me vendo sozinha agora, está? Então eu diria que é assunto meu, sim. Assim como {#DialogueItalicFormat}te matar{#PreviousFormat}!
Fury2PactDisabledReaction01|Fury Pact Disabled Reaction 2 01|Alecto|{#DialogueItalicFormat}Ufa{#PreviousFormat}! Pensei que nunca teria um momento de silêncio de novo, sabia, sangrentinho? Aquele maldito Pacto que você estupidamente assinou me fez trabalhar com as minhas irmãs de novo. Eu vou te fazer pagar por isso!
Fury2PactDisabledReaction01|Fury Pact Disabled Reaction 2 01|Zagreus|Estou sentindo um padrão de que não precisa de muito para você querer me matar, não é?
Fury2PactDisabledReaction01|Fury Pact Disabled Reaction 2 01|Alecto|Ah, isso é ótimo! Que espertinho você é, você é {#DialogueItalicFormat}inteligente{#PreviousFormat}! Quer saber, vou te matar por isso também.
Fury2FirstAppearance|Fury First Appearance 2|Alecto|{#DialogueItalicFormat}Ah, hah hah, hohohohohhh. {#PreviousFormat}Finalmente. Estive esperando por isso! De verdade.
Fury2FirstAppearance|Fury First Appearance 2|Zagreus|Você deve ser uma das adoráveis irmãs da Megaira, não creio que tive o prazer de te conhecer ainda. Esteve esperando pelo que, exatamente?
Fury2FirstAppearance|Fury First Appearance 2|Alecto|...Estou tão cansada de fazer o meu trabalho normal sem ser interrompida. Não ter de limpar a bagunça de Meg!
Fury2FirstAppearance|Fury First Appearance 2|Zagreus|Tenho a sensação de que estamos começando com o pé errado.
Fury2FirstAppearance|Fury First Appearance 2|Alecto|De qualquer forma. Eu sempre quis matar um deus. Você deve servir.
Fury2PostEnding01|Fury Post Ending 2 01|Alecto|Ouvi sussuros de algumas novidades na Casinha do Papai, sangrentinho. Então sua maravilhosa rainha sequestrada, finalmente voltou pra casa?!
Fury2PostEnding01|Fury Post Ending 2 01|Zagreus|Espere, como que você sabe disso tudo? Você realmente devia estar falando sobre a Rainha desse jeito?
Fury2PostEnding01|Fury Post Ending 2 01|Alecto|Eu não obedeço a ela! Ela pode ir e vir como bem entender, eu não ligo. Mas sabe quem não pode?! Isso, você.
Fury2PostEnding02|Fury Post Ending 2 02|Alecto|Eu peciso perguntar, como que você continua aparecendo, sangrentinho? Eu pensei que você tinha sido surrado o bastante a essa altura.
Fury2PostEnding02|Fury Post Ending 2 02|Zagreus|Bem, você sabe, ultimamente passei a gostar tanto de te visitar, Alecto, que fiz virar rotina. ''Crie bons hábitos, e mantenha-se consistente'' é o que eu sempre digo!
Fury2PostEnding02|Fury Post Ending 2 02|Alecto|Você chama isso de bons hábitos, huh? Talvez para mim, seja. Bem, venha aqui o quanto quiser, e estarei esperando. {#DialogueItalicFormat}Toda. Maldita. Vez{#PreviousFormat}! No mínimo uma a cada três vezes estarei aqui.
Fury2PostEpilogue01|Fury Post Epilogue 2 01|Alecto|Soube que você deu um festão na casa do seu pai, sangrentinho. Pena que eu não pude ir. Da próxima vez, quem sabe?
Fury2PostEpilogue01|Fury Post Epilogue 2 01|Zagreus|Da próxima, sem dúvida, Alecto. Nós com certeza sentimos sua falta e desejamos que você pudesse ter vindo!
Fury2PostEpilogue01|Fury Post Epilogue 2 01|Alecto|{#DialogueItalicFormat}Hohoho{#PreviousFormat}, tenho certeza que sim, mas o trabalho vem em primeiro lugar, certo! Então, mãos à obra.
Fury2EndOfDiscussion01|Fury End Of Discussion 2 01|Alecto|Olá, sangrentinho. Eu andei pensando bastante, e cheguei à conclusão que eu quero que você {#DialogueItalicFormat}nunca mais {#PreviousFormat}fale comigo de novo. {#DialogueItalicFormat}Nunca{#PreviousFormat}. Entendeu?
