Id|Description|Speaker|Text
DusaFirstMeeting|Dusa First Meeting|Dusa|{#DialogueItalicFormat}Oh{#PreviousFormat}! O príncipe em pessoa, você, deseja falar comigo...? Eu?! Oh, nossa, oh nossa!!
DusaFirstMeeting|Dusa First Meeting|Zagreus|Eu só queria dizer, o saguão parece maravilhoso, novinho em folha. Melhor! Espero que não tenha sido muito difícil consertar.
DusaFirstMeeting|Dusa First Meeting|Dusa|Eu, eu, eu... {#DialogueItalicFormat}aah{#PreviousFormat}... eu tenho que limpar as vigas, eu...!
DusaMiscMeeting02|Dusa Misc Meeting 02|Dusa|Espero que você esteja tendo uma boa estadia! Mesmo que você não queira mais morar aqui, Vossa Alteza!
DusaMiscMeeting02Extra|Dusa Misc Meeting Extra 02|Zagreus|{#DialogueItalicFormat}Err{#PreviousFormat}, Dusa? Parece que vou acabar voltando de tempos em tempos, como agora. Mas, por favor, não se preocupe em arrumar meu quarto. Eu não vou ficar aqui por muito tempo.
DusaMiscMeeting02Extra|Dusa Misc Meeting Extra 02|Dusa|Ah, {#DialogueItalicFormat}hahaha{#PreviousFormat}, claro! Mas vou ficar de olho nas coisas por ali, de vez em quando, caso você mude de ideia, um, então, tchau tchau!
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|{#DialogueItalicFormat}Hm{#PreviousFormat}, Príncipe? Seu pai, eu... eu acho que ele está bem irritado sobre alguma coisa. Então, então você talvez poderia não se aproximar dele dessa vez? Ou... eu poderia dizer que você não está aqui?
DusaMiscMeeting03|Dusa Misc Meeting 03|Zagreus|Tudo bem, Dusa. Não tenho medo dele, e você também não deveria. Você é a melhor ajuda que ele já encontrou.
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|Apenas, ah, fazendo meu trabalho, aqui, Príncipe...!
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|Ah, {#DialogueItalicFormat}hm{#PreviousFormat}, bem, oi Príncipe! Então, tem alguma coisa que eu possa fazer por você, talvez arrumar mais um pouco, ou... você poderia querer beber alguma coisa? Alguma hora?
DusaMiscMeeting04|Dusa Misc Meeting 04|Zagreus|Ah! Seria maravilhoso uma bebida, Dusa. Talvez amanhã, considerando que eu ainda não tenha saído daqui até lá...?
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|O que, digo, não é grande coisa, digo, esqueça que perguntei, ou sei lá, me desculpe, tchau!
DusaMiscMeeting05|Dusa Misc Meeting 05|Dusa|Uh, um, eu só, queria me desculpar, porque, acho que talvez eu não tenha agido de maneira apropriada da última vez que você falou comigo? Mas é que eu gosto muito, muito desse trabalho, e prometo que sempre farei o meu melhor, então, eu gostaria de ter outra chance?
DusaMiscMeeting05|Dusa Misc Meeting 05|Zagreus|Dusa, por favor, não precisa se desculpar! Você tem feito um trabalho maravilhoso, de verdade!
DusaMiscMeeting05|Dusa Misc Meeting 05|Dusa|Eu... o que? Está falando sério, Príncipe, eu... obrigada, muito obrigada!!
DusaPostFlashback01|Dusa Post Flashback 01|Dusa|Ah, olá, Vossa Alteza? Eu só queria que você soubesse que, se você sair, eu... nós sentiremos sua falta. Por aqui. OK? Até logo...!
DusaDate01|Dusa Date 01|Zagreus|{#DialogueItalicFormat}Err{#PreviousFormat}, Senhorita Dusa, eu queria, {#DialogueItalicFormat}uhm{#PreviousFormat}, convidá-la cordialmente para um passeio no saguão? Lembra quando você me perguntou sobre uma bebida?
DusaDate01|Dusa Date 01|Dusa|{#DialogueItalicFormat}Aaah! {#PreviousFormat}Oh, oh, oh, sério, o que você quer dizer, agora, você... Eu... Acho que estou cansada de dar um tempo...
DusaDate01|Dusa Date 01|Dusa|...E bem, como eu não me encaixo bem no padrão da sua górgona tradicional, quero dizer - sem corpo por exemplo, tenho dificuldades em arrumar trabalho! Era assim antes de Lorde Hades ter me recebido, e aí... eu te conheci, e bem... eu realmente amo esse trabalho!!
DusaDate01|Dusa Date 01|Zagreus|{#DialogueItalicFormat}Ah{#PreviousFormat}! Eu posso entender pelo menos parte disso, sem dúvidas.
DusaDate01|Dusa Date 01|Dusa|{#DialogueItalicFormat}<Suspiro> {#PreviousFormat}Eu, eu, eu, muito obrigado, Vossa Alteza. Príncipe. Príncipe Zagreu!
DusaDateAftermath01|Dusa Date Aftermath 01|Dusa|Uhm, P-Príncipe, o seu semblante parece muito triste as vezes, quando você volta pra cá, pra fora da Piscina do Estige? Está tudo OK? Porque se tiver algo que eu possa fazer...
DusaDateAftermath01|Dusa Date Aftermath 01|Zagreus|Ah, nada com o que você precise se preocupar, Dusa. Eu só estou tendo mais trabalho pra sair deste maldito lugar do que eu previ. Desculpe meu linguajar.
DusaDateAftermath01|Dusa Date Aftermath 01|Dusa|Ah, eu... isso é meio bobo, mas, eu não sabia que alguém podia te derrotar, digo, o Príncipe? Mais forte que o poderoso Aquiles, mais astuto que seu pai, mais rápido do que Hermes! Mas... você está tendo dificuldades, assim como eu?
DusaDateAftermath01|Dusa Date Aftermath 01|Zagreus|Estou. E isso que você ouviu sobre mim não é verdade.
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Dusa|...organizei os talheres, limpei os balcões, troquei as velas, limpei os pratos, varri o chão, inspecionei os barris... vamos ver o quê mais... ah!! O Príncipe, é você mesmo!
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Zagreus|Sou eu mesmo! Dusa, estou impressionado que você é capaz de cuidar desse saguão todo sozinha. Como você consegue, qual é o seu segredo?
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Dusa|{#DialogueItalicFormat}Hahaha{#PreviousFormat}, segredo? Estou duas semanas atrasada no cronograma desse lugar, pelo menos! Felizmente, ninguém aqui é muito bom em perceber a passagem do tempo, então ninguém brigou comigo ainda, mas... ah, você não vai contar, vai?
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Zagreus|Claro que não. Mas o que é que está atrasado no cronograma? Este lugar não parece nem um pouco pior que o normal.
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Dusa|Bem, é exatamente isso! A senhorita Nix, ela me deu um projeto bem grande e importante a um tempo atrás, de fazer este lugar {#DialogueItalicFormat}digno de seu nome{#PreviousFormat}, o que significa... ai, tem tanto a se fazer ainda, preciso deixar tudo pronto, então... com sua licença, Príncipe!
DusaLoungeRenovationQuest02|Dusa Lounge Renovation Quest 02|Dusa|...consertei os assentos, atualizei o menu, limpei o forno, estoquei a vitrine, bati o tapete, espanei as vigas, passei pano nos azulejos, paguei o mercador... ah!! Hm, desculpa, Príncipe... muito atrasada no serviço, então, com sua licença...?
DusaLoungeRenovationQuest02|Dusa Lounge Renovation Quest 02|Zagreus|Dusa, espere... antes que voe para longe... deve ter algo que eu possa fazer, dar uma mãozinha? Não importa o quão boa você é no seu trabalho, o que você está descrevendo... é mais que uma única pessoa pode fazer!
DusaLoungeRenovationQuest02|Dusa Lounge Renovation Quest 02|Dusa|Vossa Alteza, por favor! Eu sei que tem boas intenções, mas eu consigo! Eu realmente queria que todo mundo parasse de duvidar de mim o tempo todo assim, como aquele Empreiteiro da Casa, só fica parado no canto dele, esperando novas ordens de serviço! A menos que elas venham de mim, aí {#DialogueItalicFormat}nãããããão{#PreviousFormat}.
DusaLoungeRenovationQuest02|Dusa Lounge Renovation Quest 02|Zagreus|O Empreiteiro da Casa não está cooperando com você, huh. Não me impressiona que tantas renovações do saguão estão presas naquela lista dele. Talvez eu possa facilitar um pouco o processo?
DusaLoungeRenovationQuest02|Dusa Lounge Renovation Quest 02|Dusa|{#DialogueItalicFormat}AAH{#PreviousFormat}, eu me esqueci completamente!! Eu preciso trazer mais banha pro Cozinheiro Chefe! Eu tenho que ir!!
DusaLoungeRenovationQuest02_Alt|Dusa Lounge Renovation Quest Alt 02|Zagreus|Aah, isso pode ter sido culpa minha. Eu tenho dado muitas ordens de serviço ao Empreiteiro. Algumas dessas ordens para o saguão devem terem vindo de você, certo? Esse lugar está realmente ficando interessante!
DusaLoungeRenovationQuest02_Alt|Dusa Lounge Renovation Quest Alt 02|Dusa|Q-que... espera, então é você quem tem autorizado todas as melhorias?! Ai meus... ai meus deuses... {#DialogueItalicFormat}aaaah{#PreviousFormat}!
DusaLoungeRenovationQuest03|Dusa Lounge Renovation Quest 03|Zagreus|O saguão está começando a ficar bonito ultimamente, Dusa! Todo seu trabalho duro está mostrando resultados!
DusaLoungeRenovationQuest03|Dusa Lounge Renovation Quest 03|Dusa|{#DialogueItalicFormat}Hah{#PreviousFormat}! Nossa, muito obrigada, Príncipe, é só que... ultimamente, o Empreiteiro da Casa tem sido levemente mais cooperativo, eu acho, trabalhado um pouco mais rápido, talvez... mas ainda tem muito a ser feito, então, só espere pra ver!
DusaLoungeRenovationQuestComplete|Dusa Lounge Renovation Quest Complete|Dusa|Hm.. Príncipe Zagreu...? Eu só queria te dizer uma coisa, se tiver um minutinho? Eu sei que você é muito ocupado... eu posso voltar outra hora.
DusaLoungeRenovationQuestComplete|Dusa Lounge Renovation Quest Complete|Zagreus|Espera... não, agora é uma boa hora. É claro, o que quer me dizer, Dusa? Não sou tão ocupado, por sinal, fico sempre contente de ver como você está. Espera, tem algum problema?
DusaLoungeRenovationQuestComplete|Dusa Lounge Renovation Quest Complete|Dusa|Não, {#DialogueItalicFormat}nãonãonãonão{#PreviousFormat}, o oposto na verdade, eu... não acredito que você me ajudou, com o saguão. Eu acho que {#DialogueItalicFormat}ninguém {#PreviousFormat}havia me ajudado antes, {#DialogueItalicFormat}nunca {#PreviousFormat}alguém me ajudou tanto como você fez, limpando o estrago do Cérbero, e o tapete novo, e a cozinha, e, tudo, tudo isso!
DusaLoungeRenovationQuestComplete|Dusa Lounge Renovation Quest Complete|Zagreus|Foi um prazer, sério. Todos nós usamos o saguão, não é mesmo? Essa Casa pode ter um ar pesado, mas aqui no saguão, as coisas ficam mais simples e leves, eu acho. Estou tão feliz que temos você pra ficar de olho nas coisas por aqui.
DusaLoungeRenovationQuestComplete|Dusa Lounge Renovation Quest Complete|Dusa|V-Você está mesmo falando sério, Príncipe...? Mas você não sabe o que isso significa pra mim. Eu finalmente pus o trabalho em dia! O q-que eu faço agora? Eu, eu não sei o que vou fazer com todo esse tempo de sobra que tenho agora! Eu tenho que ir, e planejar tudo!!
BecameCloseWithDusa01|Became Close With Dusa 01|Dusa|Hm, Zagreu? Eu queria conversar um pouco mais, se estiver disponível? Quero dizer, se estiver sem compromissos. Quero dizer! Se tiver um tempinho agora. Pode ser?
BecameCloseWithDusa01|Became Close With Dusa 01|Zagreus|Claro, Dusa! Onde seria bom de conversarmos? O saguão, ou talvez um lugar mais particular...?
BecameCloseWithDusa01|Became Close With Dusa 01|Dusa|Um lugar mais particular, por favor, se estiver tudo bem com isso. Obrigada.
BecameCloseWithDusa01|Became Close With Dusa 01|Dusa|...Hm, Zagreu... então, desde que você me contou que tinha sentimentos por mim, tem sido... tipo, minha cabeça está pegando fogo. Eu não estou conseguindo pensar, ou fazer qualquer coisa direito. É demais pra mim!
BecameCloseWithDusa01|Became Close With Dusa 01|Zagreus|Me desculpe, Dusa... eu... eu te dei muita coisa para fazer e para pensar, e... talvez eu não deveria, já que sou o príncipe e tudo mais, como você relembrou, e... às vezes esqueço minha posição. Eu nunca a pressionaria, é só... pensei que também tivesse esses sentimentos por mim.
BecameCloseWithDusa01|Became Close With Dusa 01|Dusa|Eu {#DialogueItalicFormat}tenho {#PreviousFormat}sentimentos por você, seu bobo! É isso que eu tenho tentado te contar, é só... é só que...
BecameCloseWithDusa01|Became Close With Dusa 01|Zagreus|É só o que...? O que quer que seja, está tudo bem. Você pode ser você mesma comigo, Dusa, eu prometo.
BecameCloseWithDusa01|Became Close With Dusa 01|Dusa|Fico feliz que tenha dito isso assim. Eu... não estou procurando por um relacionamento íntimo. Você tem a alma mais bondosa dessa Casa inteira. E tenho aprendido tanto com você! Mas... quando penso nos meus sentimentos... eu só... não me sinto atraída a você dessa forma. Sinto muito. Você é um cara muito legal!
BecameCloseWithDusa01|Became Close With Dusa 01|Zagreus|Ah... {#DialogueItalicFormat}hahaha{#PreviousFormat}, olha, não tem nada para se desculpar, nadinha. Na verdade... é meio que um alívio. Eu aprendi tanto com você também, e aprecio muito nossa amizade como ela é. Você... você acha que ainda podemos ser amigos? Ou é melhor que não nos víssemos mais...?
BecameCloseWithDusa01|Became Close With Dusa 01|Dusa|Nem pense {#DialogueItalicFormat}nisso{#PreviousFormat}! Eu também ia te pedir a mesma coisa. Eu gostaria muito se você fosse meu amigo! Mas minha carreira vem em primeiro lugar então... eu não quero você fazendo favorezinhos pra mim, promete? Eu preciso ver o quão longe posso ir sozinha.
BecameCloseWithDusa01|Became Close With Dusa 01|Zagreus|Eu tenho muito respeito por isso, e sim, eu prometo Dusa. Bem... então... amigos? Por toda a eternidade?
BecameCloseWithDusa01|Became Close With Dusa 01|Dusa|Isso. Amigos. Por toda a eternidade. Agora... é melhor eu ir. Te vejo por aí, ok?
BecameCloseWithDusaAftermath01|Became Close With Dusa Aftermath 01|Dusa|Ei, Zagreu, eu... queria falar com você de novo, eu... o que quero dizer é... eu só... espero não ter machucado seus sentimentos porque... se eu tiver, você me contaria, não contaria?
