Id|Description|Speaker|Text
OrpheusWithEurydice01|Orpheus With Eurydice 01|Orpheus|Ora, Zagreu, que maravilhoso vê-lo aqui. Eurídice e eu temos colocado em dia os acontecimentos de todo o tempo que passamos separados.
OrpheusWithEurydice01|Orpheus With Eurydice 01|Eurydice|Sim. Então, pode nos perdoar por um instante, querido? Ainda não terminei de colocar a conversa em dia com ele. Mas primeiro, antes de você partir!
OrpheusWithEurydice02|Orpheus With Eurydice 02|Zagreus|Eu nunca ouvi nada assim. Por melhor que seja o canto de vocês em separado, juntos vocês são simplesmente maravilhosos.
OrpheusWithEurydice02|Orpheus With Eurydice 02|Orpheus|Um elogio esplêndido, meu amigo. Sem dúvida, as próprias Moiras conspiraram para assegurar que Eurídice e eu nos encontrássemos e cantássemos juntos. Nos apaixonássemos. E depois, fôssemos cruelmente separados por algum tempo!
OrpheusWithEurydice02|Orpheus With Eurydice 02|Eurydice|Arre, não comece com isso novamente, está me entendendo, Orfinho? Temos toda a nossa pós-vida pela frente! E muitas canções para colocar em dia.
OrpheusWithEurydice02|Orpheus With Eurydice 02|Orpheus|Oras, você está certa, é claro, minha querida. Se nos dá licença, Zagreu? Nossa vocação nos chama.
OrpheusWithEurydice03|Orpheus With Eurydice 03|Zagreus|Ei, vocês dois, como estão as coisas ultimamente? Já estão se falando novamente? Estão cantando?
OrpheusWithEurydice03|Orpheus With Eurydice 03|Orpheus|Oh, tudo está progredindo maravilhosamente, meu amigo. Nunca pensei que veria Eurídice outra vez, após eu...
OrpheusWithEurydice03|Orpheus With Eurydice 03|Eurydice|O Orfinho não para de falar sobre aquela época, fofo. Mas estamos fazendo progresso. Obrigada por tê-lo feito parar aqui. Tenho certeza que ele precisou de muito incentivo.
OrpheusWithEurydiceMiscChat01|Orpheus With Eurydice Misc Chat 01|Eurydice|Olá, gentil da sua parte em nos visitar, Vossa Majestade Real! Aqui, para você!
OrpheusWithEurydiceMiscChat02|Orpheus With Eurydice Misc Chat 02|Eurydice|Orfinho e eu estamos muito bem, graças a você. Cuide-se lá fora, fofo!
OrpheusWithEurydiceMiscChat03|Orpheus With Eurydice Misc Chat 03|Eurydice|Espero que você também encontre alguém com quem cantar, fofo.
OrpheusWithEurydiceMiscChat04|Orpheus With Eurydice Misc Chat 04|Eurydice|Não esquenta, Vossa Majestade, eu já vou mandar ele de volta ao trabalho, entendido, Orfinho?
OrpheusWithEurydiceMiscChat05|Orpheus With Eurydice Misc Chat 05|Eurydice|Orfinho e eu somos como seu típico casal de velhinhos, fofo.
OrpheusWithEurydiceMiscChat06|Orpheus With Eurydice Misc Chat 06|Eurydice|Se você encontrar a felicidade lá fora, fofo, não olhe para trás.
OrpheusWithEurydiceMiscChat07|Orpheus With Eurydice Misc Chat 07|Eurydice|As coisas não são tão ruins aqui, fofo. Espero que você possa dizer o mesmo.
OrpheusWithEurydiceMiscChat08|Orpheus With Eurydice Misc Chat 08|Eurydice|O que posso dizer, fofo? Gostamos de praticar nossa música favorita!
OrpheusWithEurydiceMiscChat09|Orpheus With Eurydice Misc Chat 09|Eurydice|Olha, se não é o garoto do Hades que veio nos visitar!
OrpheusWithEurydiceMiscChat18|Orpheus With Eurydice Misc Chat 18|Eurydice|Adivinha o que andamos aprontando ultimamente, fofo? Agora, se nos dá licença?
OrpheusWithEurydiceMiscChat19|Orpheus With Eurydice Misc Chat 19|Eurydice|Nós acabamos de comer, tome! Temos bastante sobrando.
OrpheusWithEurydiceMiscChat20|Orpheus With Eurydice Misc Chat 20|Eurydice|A única coisa que é melhor do que cantar, fofinho, é cantar com alguém que você ama.
OrpheusWithEurydiceMiscChat21|Orpheus With Eurydice Misc Chat 21|Eurydice|O Orfinho aqui só está praticando para a próxima vez em que for cantar para o Hades Pai!
OrpheusWithEurydiceMiscChat22|Orpheus With Eurydice Misc Chat 22|Eurydice|Quer saber, estávamos bem no meio de uma música, fofo!
OrpheusWithEurydiceMiscChat23|Orpheus With Eurydice Misc Chat 23|Eurydice|Não está dando muito certo ensinar o Orfinho a cozinhar, mas ele canta muito bem!
OrpheusWithEurydiceMiscChat24|Orpheus With Eurydice Misc Chat 24|Eurydice|Olha, Orfinho, nós temos expectadores! Vamos cantar de todo o coração!
OrpheusWithEurydiceMiscChat25|Orpheus With Eurydice Misc Chat 25|Eurydice|Não ligue para o Orfinho, fofo. É impossível fazê-lo parar depois que começa a cantar!
OrpheusWithEurydiceInTheBloodChat01|Orpheus With Eurydice In The Blood Chat 01|Eurydice|Você conhece essa canção, fofo? É um dos nossos antigos sucessos!
OrpheusWithEurydiceInTheBloodChat02|Orpheus With Eurydice In The Blood Chat 02|Eurydice|Orfinho e eu só estávamos lembrando dos velhos tempos!
OrpheusWithEurydiceInTheBloodChat03|Orpheus With Eurydice In The Blood Chat 03|Eurydice|Acho que deveríamos variar um pouquinho os estilos da nossa cantoria, fofo!
OrpheusWithEurydiceInTheBloodChat04|Orpheus With Eurydice In The Blood Chat 04|Eurydice|Devo admitir que comecei a gostar dessa música antiga com o passar dos anos!
EurydiceFirstMeeting01_A|Eurydice First Meeting A 01|Eurydice|Ei, você deve ser o filho de Hades! Como você está, Vossa Majestade Real? Prazer em conhecê-lo, sou Eurídice. O que traz uma pessoa tão importante quanto você a um lugar como este?
EurydiceFirstMeeting01_A|Eurydice First Meeting A 01|Zagreus|E aí! Sem formalidades, meu nome é Zagreu. Só estou cuidando de alguns assuntos oficiais! Examinando de perto a situação do magma. Não quero ser rude, mas estou com um pouco de pressa.
EurydiceFirstMeeting01_A|Eurydice First Meeting A 01|Eurydice|Bem, você não está ocupado, querido! Vou deixar você ir, mas há uma regra em meu lugar, que é: Ninguém sai daqui de mãos vazias, entendeu? Então escolha, o prazer é meu!
EurydiceFirstMeeting01_B|Eurydice First Meeting B 01|Eurydice|Ei, você deve ser o filho de Hades! Como você está, Vossa Majestade Real? Prazer em conhecê-lo, sou Eurídice. O que traz uma pessoa tão importante quanto você a um lugar como este?
EurydiceFirstMeeting01_B|Eurydice First Meeting B 01|Zagreus|E aí! Sem formalidades, eu sou Zagreu. Só estou cuidando de alguns assuntos oficiais. Logo após a ameaçadora Hidra Esquelética. Não quero ser rude, mas estou com um pouco de pressa.
EurydiceFirstMeeting01_B|Eurydice First Meeting B 01|Eurydice|Bem, você deve estar muito ocupado, fofo! Já te deixo ir, mas tem uma regra na minha casa, e ela é: Ninguém sai daqui de mãos vazias, entendeu? Então pegue o que quiser, por conta da casa!
EurydiceFirstMeeting01_C|Eurydice First Meeting C 01|Zagreus|E aí! Sem formalidades, meu nome é Zagreu. Só estou cuidando de alguns assuntos oficiais. Olá, se o seu nome é Eurídice, acho que você deve conhecer um tal de Orfeu, não é mesmo? Gosta muito de música, um pouco austero, com cabelo impressionante?
EurydiceFirstMeeting01_C|Eurydice First Meeting C 01|Eurydice|{#DialogueItalicFormat}Ele {#PreviousFormat}convenceu a fazer isso? Olha, querido, por que você não cuida da sua vida, hein? Mas você não pode sair de mãos vazias, essa é a regra, então escolha, o prazer é meu! Mas não tenho nada para ele.
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Eurydice|Ei, querido, o que está acontecendo? Fale! Eu sinto quando algo está acontecendo, e algo está acontecendo.
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Zagreus|Bem, acho que você conhece um tal de Orfeu, não é? Gosta muito de música, um pouco austero, com cabelo impressionante? Ele é músico da corte na casa de meu pai. Te chama de musa. Diz que sente muito a sua falta. Eu... pensei que você deveria saber.
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Eurydice|Orfeu disse tudo isso, hein? Vou dizer uma coisa, da próxima vez que o encontrar, pergunte a ele sobre a época em que ele veio até aqui para tentar me salvar, apesar de eu já estar morta. Consegue adivinhar como isso acabou?
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Zagreus|Bem... sim, acho que posso. Olha, eu não quis aborrecê-la.
EurydiceAboutOrpheus01|Eurydice About Orpheus 01|Eurydice|Sim, bem, nem ele! Mas sabe de uma coisa? Ações valem mais que intenções, querido. Agora, que tal escolher um presente e ir embora?
EurydiceAboutOrpheus02|Eurydice About Orpheus 02|Eurydice|O que é isto, querido? Ah não, não me diga que você veio do Tártaro para me fazer mais perguntas sobre o seu amigo inútil que é músico da corte.
EurydiceAboutOrpheus02|Eurydice About Orpheus 02|Zagreus|Certamente não! Só estou aqui pela sua maravilhosa capacidade de cantar, cozinhar ou conversar. Mas, já que você mencionou, você... parece ter muito a dizer para ele. Há algo que eu possa fazer?
EurydiceAboutOrpheus02|Eurydice About Orpheus 02|Eurydice|Então deixe-me ver se eu entendo. Orfeu estragou tudo comigo, como um idiota, mas agora eu deveria falar com {#DialogueItalicFormat}ele{#PreviousFormat}? Desculpe-me, querido, mas isso não vai acontecer. Nós dois terminamos. E sabe de uma coisa? Acho que nós também terminamos por aqui. Com sua licença!
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Eurydice|Olá, querido! O que você acha? Muito bom, não é? Não sei como alguém pode não cantar. Anima a vida, faz o tempo passar. Como não gostar disso?
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Zagreus|É uma música linda. Mesmo que você esteja com raiva dele... Orfeu, quero dizer... você ainda continua cantando?
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Eurydice|Oh, esta música não é do Orfeu, fala sério? Ela é toda minha. Ele sempre gostou de falar sobre como eu sou sua musa; bem, é porque eu escrevi metade de suas músicas para ele! Aposto que ele não mencionou isso, não é?
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Zagreus|Bem, não exatamente com essas palavras, mas... Orfeu pode ser um pouco difícil de entender.
EurydiceAboutOrpheus03|Eurydice About Orpheus 03|Eurydice|Ele pode ser um pouco difícil de tolerar. Uma qualidade que espero não ser relevante para nenhuma de suas companheiras. Eu deveria voltar a praticar, até mais.
EurydiceAboutOrpheus04|Eurydice About Orpheus 04|Zagreus|Eurídice, prometo não incomodá-la com isso de novo, mas... você deve saber que seu marido está abalado com o que aconteceu com vocês dois. Ele sente muito mesmo, e ele te ama profundamente, tenho certeza disso.
EurydiceAboutOrpheus04|Eurydice About Orpheus 04|Eurydice|{#DialogueItalicFormat}TSK{#PreviousFormat}... e o que devo fazer com isso, Vossa Majestade Real...?
EurydiceAboutOrpheus04|Eurydice About Orpheus 04|Zagreus|Eu... Ainda não sei. Mas sabe de uma coisa? Você não deveria acreditar em mim. Acredite nele.
EurydiceAboutOrpheus04|Eurydice About Orpheus 04|Eurydice|Não pense que vou encontrá-lo tão cedo, pelo que entendi. Mas você é o filho de Hades! Se quiser mexer uns pauzinhos para nós, vá em frente, eu acho. Mas não criarei expectativas. Mesmo que eu pudesse.
EurydiceProgressWithOrpheus01|Eurydice Progress With Orpheus 01|Eurydice|Então, {#DialogueItalicFormat}ah{#PreviousFormat}, como está Orfeu ultimamente? Ele ainda mantém aqueles cachinhos bem arrumados? Eu acho que o bronzeado dele já deve ter desaparecido.
EurydiceProgressWithOrpheus01|Eurydice Progress With Orpheus 01|Zagreus|Cachos? Ahn, não exatamente. Mas ele está bem! Do jeito dele. Ele começou a cantar de novo, recentemente, o que foi um grande passo. Ele não fazia isso há tempos. Ficava falando sobre como ele havia perdido sua musa.
EurydiceProgressWithOrpheus01|Eurydice Progress With Orpheus 01|Eurydice|E agora ele sabe que eu ainda estou por aí, então. Bem, muito obrigado por me informar, querido. A música é o dom dele. É bom saber que ele não jogou tudo fora.
EurydiceProgressWithOrpheus02|Eurydice Progress With Orpheus 02|Zagreus|Eurídice, posso pedir um favor aqui? Não que você me deva alguma coisa, mas você pode me ouvir?
EurydiceProgressWithOrpheus02|Eurydice Progress With Orpheus 02|Eurydice|Sim, claro, querido, o que é? Mas é melhor você não pedir minhas receitas. É um segredo de família bem guardado! Eu diria que vou levá-las para o meu túmulo, mas... sim.
