Id|Description|Speaker|Text
HypnosFirstMeeting|Hypnos First Meeting|Hypnos|Bem-vindo à Casa de Hades, onde... espera, {#DialogueItalicFormat}eu te conheço{#PreviousFormat}! Acho que isso significa que você morreu lá fora, não foi? Bem, não fique triste, quase todo mundo morre algum dia!
HypnosMiscMeeting01|Hypnos Misc Meeting 01|Hypnos|Ah! Oi. Gostaria de perguntar como foi, mas como você está aqui de novo, acho que já sei, hein. Ah bem, é só entrar!
HypnosMiscMeeting02|Hypnos Misc Meeting 02|Hypnos|Ah, bom, você já voltou, hein. Alguns de nós fizemos uma aposta sobre quanto tempo você levaria desta vez, e eu sabia que você voltaria rapidinho!
HypnosMiscMeeting03|Hypnos Misc Meeting 03|Hypnos|Ah, oi! {#DialogueItalicFormat}Uhm{#PreviousFormat}, seja bem-vindo, de novo! Pode seguir em frente, mas acho que seu pai está bravo com alguma coisa.
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Hypnos|Uau, você morreu pelo menos cinco vezes até agora, eu acho? Morrer é bom para todo o ecossistema aqui embaixo, então, muito obrigado! Você está ajudando a tornar o Submundo um lugar melhor!
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Zagreus|Ótimo! Apenas continue morrendo sem parar e tudo ficará bem.
HypnosMiscMeeting05|Hypnos Misc Meeting 05|Hypnos|É divertido ver a Piscina do Estige, sabe? As ondulações no sangue e tudo mais! E às vezes, sai alguém dali, como você! Trabalhadores da casa e convidados de honra, mas ninguém mais. Eu relato a chegada deles, e ajudo a garantir uma estadia agradável!
HypnosMiscMeeting06|Hypnos Misc Meeting 06|Hypnos|{#DialogueItalicFormat}Ooh{#PreviousFormat}, você chegou até Asfódelo dessa vez, isso é muito legal! Ainda morreu e tudo mais, mas não tão rápido quanto você costumava, então isso é um progresso, certo?
HypnosRunProgress01_A|Hypnos Run Progress A 01|Hypnos|Ei, nossa, você conseguiu! Minha lista aqui diz que você morreu umas... cinquenta vezes, {#DialogueItalicFormat}no mínimo{#PreviousFormat}! Acho que ninguém aqui morreu tantas vezes antes!
HypnosRunProgress01|Hypnos Run Progress 01|Hypnos|Olá, deixe-me ser o primeiro a dizer: {#DialogueItalicFormat}Parabéns{#PreviousFormat}! Você morreu cem vezes desde que eu comecei a contar. Desde que comecei a acompanhar. Não há prêmio por isso ou algo assim, mas a jornada é sua própria recompensa ou alguma coisa assim, certo?
HypnosRunProgress02|Hypnos Run Progress 02|Hypnos|Você não vai acreditar, tá preparado? Tre.. zentas... {#DialogueItalicFormat}vezes{#PreviousFormat}!! Isso mesmo! Tu morreu trezentas vezes! É tipo... um vilarejo inteiro depois de um terremoto, tudo sozinho!
HypnosRunProgress03|Hypnos Run Progress 03|Hypnos|Ah, não acredito, mesmo minha lista nunca mentindo! Ela diz aqui que você morreu incríveis {#DialogueItalicFormat}quinhentas{#PreviousFormat} vezes! {#DialogueItalicFormat}Quinhentas{#PreviousFormat}!! Não consigo nem contar mais alto que isso!
HypnosMegDefeated01|Hypnos Meg Defeated 01|Hypnos|Costuma ser bem tranquilo vigiar a Piscina do Estige lá atrás. Mas ultimamente tem sigo muito agitado, com certeza! Ora, alguém apareceu mais cedo! Você deveria ter visto o olhar no meu rosto quando percebi que não era você!
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|Ei, você continua morrendo. Por acaso, você encontrou meu irmão em algum lugar lá fora? Não o vejo há séculos. Qual é a desse trabalho interminável?
HypnosAboutThanatos01|Hypnos About Thanatos 01|Zagreus|Algo sobre uma guerra. Meu pai enviou Tânato para tomar medidas, mas você está certo, já faz algum tempo que você mencionou isso. Acho que muita coisa aconteceu aqui desde então.
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|Concordo! O saguão foi reaberto, vejamos, o que mais... Enfim! Se vir meu irmão lá fora, diga a ele que está tudo sob controle!
HypnosAboutThanatos02|Hypnos About Thanatos 02|Hypnos|Ei, você viu? Meu irmão voltou! Ele tá aqui! Em algum lugar, eu acho! Bom e velho Tânato. Ele tá sempre tão ocupado, ele... ele nunca fala comigo! Tipo como o seu pai e {#DialogueItalicFormat}você{#PreviousFormat}, eu acho!
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|{#DialogueItalicFormat}Quêêê{#PreviousFormat}! Ah, hah, você me assustou, só isso, eu só tava... er... eu...
HypnosAboutThanatos03|Hypnos About Thanatos 03|Zagreus|Ei, hum, tá tudo bem, Hipnos?
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|Sim, claro! Tudo tá tranquilo {#DialogueItalicFormat}com certeza{#PreviousFormat}. É só que... o Tânato. Me disse umas coisas e... agora não sei se estou dando o melhor de mim no trabalho, sabe?
HypnosAboutThanatos03|Hypnos About Thanatos 03|Zagreus|Tenho certeza que ele não estava querendo te magoar. Espera aí, o que estou dizendo? Ele sempre foi grosso com você, não foi?
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|Eita, e se ele não gostar mais de mim? Ele tem outros irmãos!
HypnosAboutThanatos04|Hypnos About Thanatos 04|Hypnos|Ah, eae! Hm, isso pode soar estranho, mas.. {#DialogueItalicFormat}aah{#PreviousFormat}... obrigado! Digo, você falou de mim pro Tânato, não foi? No começo achei que ele tava tentando me zoar, mas ele tem sido bem mais gentil comigo ultimamente!
HypnosAboutThanatos04|Hypnos About Thanatos 04|Zagreus|Por favor, Hipnos, eu não tive nada a ver com isso. Você parece que tem trabalhado super pesado ultimamente, e ouvido bem os conselhos que tem recebido. Acho que Tânato realmente gosta desse tipo de coisa. E quem não gosta?
HypnosAboutThanatos04|Hypnos About Thanatos 04|Hypnos|Eu não sei! Mas eu realmente gostei que você fez questão de fazer isso, quero dizer... eu só fico aqui parado, digo um ''oi'' e registro os mortos! Mas você? Você é um amigo de verdade!
HypnosAboutThanatosRelationship01|Hypnos About Thanatos Relationship 01|Hypnos|Opa, aí está você! Então é verdade?! Sabe, sobre você o Tânato? Porque ele me contou, e eu disse {#DialogueItalicFormat}''O Queeeeee??''{#PreviousFormat}, mas aí, tudo fez sentido?
HypnosAboutThanatosRelationship01|Hypnos About Thanatos Relationship 01|Zagreus|Tenho certeza que seja lá o que ele disse, é verdade, sim, Hipnos.
HypnosAboutSleeperSeat01|Hypnos About Sleeper Seat 01|Hypnos|Ei, você viu? Alguém me deu esse lindo divã aqui! Mas eu nunca me deitaria em serviço! Estou perfeitamente bem dormindo em pé!
HypnosPostFlashback01|Hypnos Post Flashback 01|Zagreus|Ei, Hipnos? O que eu preciso fazer para você me deixar atravessar as portas trancadas no fim do corredor?
HypnosPostFlashback01|Hypnos Post Flashback 01|Hypnos|Oh, {#DialogueItalicFormat}hahaha{#PreviousFormat}, essa é boa, você sabe que eu não posso mais deixar você entrar nos aposentos particulares do seu pai, já que você traiu a confiança dele e tentou fugir de casa! Desculpe, ordens do mestre!
HypnosPostEnding01|Hypnos Post Ending 01|Hypnos|Ei, você viu?! A Rainha voltou! Mas caramba, como ela demorou!
HypnosPostEnding01|Hypnos Post Ending 01|Zagreus|Olha sua língua, Hipnos. Você está falando da minha mãe!
HypnosPostEnding01|Hypnos Post Ending 01|Hypnos|O quê? Sério? Ué! Então {#DialogueItalicFormat}sua {#PreviousFormat}mãe também não passa tempo com você! Temos algo em comum!
HypnosPostEnding02|Hypnos Post Ending 02|Hypnos|'Pera, pera, pera aí, o que é isso que eu ouvi de você {#DialogueItalicFormat}trabalhar {#PreviousFormat}aqui? Achei que tivesse sido demitido, e que esse fosse o motivo de ter ido embora!
