Id|Description|Speaker|Text
Text|Text|Zagreus|...Eu... Meg, fico muito honrado, e eu sempre tive muito carinho por você, mas é que... não é isso o que quero em nosso relacionamento. Eu receio ter te iludido. Me perdoe. Por favor, me diga que ainda seremos amigos?
Text|Text|Megaera|...Isto é tudo que você realmente quer...? Ser meu amigo? {#DialogueItalicFormat}Heh. {#PreviousFormat}Você é difícil de entender as vezes, Zag. Mas, quer saber, nós já tentamos várias coisas. Por que não tentamos isso como você disse? Eu te vejo por aí, então.
Text|Text|Megaera|...Você tem certeza? Veja, eu... está tudo bem mesmo. Te vejo por aí, então.
Text|Text|Zagreus|...Sim. Às vezes preciso ir mais devagar. Fico grato por estarmos nos entendendo melhor ultimamente. Mas, eu andei pegando muito pesado. Me perdoe. Você é meu amigo querido. Não quero fazer nada que possa machucá-lo. Ou a ninguém.
Text|Text|Thanatos|Eu... ah. Tudo bem. Entendo. Eu sempre tive muito carinho por você, também. Mas nós fizemos muitas coisas que comprometeram nossa amizade ultimamente, não é? Olha, fica bem, Zag. Te vejo por aí.
Text|Text|Zagreus|...Te vejo por aí, também.
Text|Text|Zagreus|Tân... {#DialogueItalicFormat}Hahaha{#PreviousFormat}, fico tão contente! É só que... você sabe que a Megaira esteve aqui, também...?
Text|Text|Thanatos|{#DialogueItalicFormat}Tsch. {#PreviousFormat}Conheço a Megaira há muito mais tempo que você. Quem você acha que me convenceu a fazer isso?
Text|Text|Zagreus|Hah! Foi ela, não foi? Isso é ótimo! Gostei.
Text|Text|Thanatos|Você tem certeza? Bem... Entendo. É melhor voltar para as minhas responsabilidades agora.
Text|Text|Zagreus|...Até mais, Tân.
Text|Text|Zagreus|...Ei... olha. Eu me preocupo com você. Com vocês dois. Muito. Estou feliz de ver que estamos próximos assim... que vocês estão próximos assim, ao invés de estarmos um pulando no pescoço do outro como antes. Mas, eu acho que tudo isso é um pouco demais pra mim, neste momento.
Text|Text|Megaera|...Você tem certeza? Olha... tá tudo bem. Você já tem pressão o suficiente do jeito que está. Nós nos vemos por aí, então.
Text|Text|Thanatos|A gente se fala outra hora, tá bem?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Tânato...! Eu te convidaria para entrar, mas... você já está aqui. É muito bom te ver.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|Me diga uma coisa, Zagreu. Você falava sério quando me disse antes, que... talvez nós não devêssemos... nos apressar?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Eu... Não quero pressioná-lo, Tân. Eu sei que isso é demais. E eu gostaria que você soubesse... Não estou sendo impulsivo. Eu vou te esperar o tempo que for necessário.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|{#DialogueItalicFormat}Khh! {#PreviousFormat}Você não tem noção sobre quais impulsos seguir, e quais manter sob controle. Você diz que vai aguardar, bem, deixe-me perguntar: O que está esperando? O que está esperando, eu já estou aqui. Certo...?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Tân...! {#DialogueItalicFormat}Hahaha{#PreviousFormat}, ah, você está certo!
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Ei, Tân, olha... diga algo, eu não gosto quando você fica quieto por muito tempo; no que está pensando?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|Em muitas coisas. E você terá que aprender a gostar, Zag. Ou, o que quero dizer é... não entenda mal meu silêncio, está bem? É melhor eu ir, estou atrasado com minhas tarefas, mas... te vejo de novo. Se não for problema.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Não é. Não é.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Zagreu, você não tem nenhuma porta. Por que está sempre tão surpreso?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|{#DialogueItalicFormat}Err{#PreviousFormat}, Meg, Tân, o que... o que vocês dois... o que tá acontecendo? Seja lá o que for, eu posso explicar, ou... pera, vocês dois estão sorrindo. Ah... me deixa só... processar isso aqui por um momento.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Você dá ao Tânato e a mim pouquíssimo crédito, Zagreu. Nós nos conhecemos desde antes de você nascer.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Thanatos|Eu diria que nós já conhecemos bastante, considerando tudo. Não é mesmo, Megaira?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Não consegue ver que agora estamos de folga, Zagreu?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|{#DialogueItalicFormat}{#PreviousFormat}! Tudo bem então... se isso acabar sendo algum tipo de sonho, eu vou ficar bem, mas bem brabo. Entretanto... eu acho que tem um bom jeito de descobrir.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|Nossa, bem, agora, um, onde eu estava...
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Bem! Eu acho que nós chegamos a um entendimento aqui. Eu deveria ir. Até a próxima, Zag. E Tânato.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|Nossa, bem, isso foi... isso foi... {#DialogueItalicFormat}a-ham{#PreviousFormat}.
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|...E, por fim, você está proibido de prestar assistência ao Príncipe Zagreu. Estamos de acordo?
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Sisyphus|Ora, sem dúvida, Mestre Tânato, nem passou pela minha cabeça! Além disso, minha mente está completamente ocupada com todas essas novas estratégias de empurrar pedra que desenvolvi.
ThanatosWithSisyphus01|Thanatos With Sisyphus 01|Thanatos|Basta! Volte ao seu trabalho, que voltarei ao meu.
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Sisyphus|Eu entendo, Mestre Tânato, e agirei conforme suas palavras. Nenhuma ajuda mais para o Príncipe Zagreu, é sério desta vez.
ThanatosWithSisyphus02|Thanatos With Sisyphus 02|Thanatos|Acho bom. Sobrará para nós dois se você for pego aprontando. Garanta que isso não aconteça.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|...Seria sábio da sua parte ouvir minhas palavras da próxima vez, e temer as consequências de me enganar. A morte pode ser bem desagradável, tenho certeza que sabe.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Sisyphus|Bem, é exatamente isso, Mestre Tânato. Eu nunca fui muito amedrontado por vocês, deuses, se me permite dizer. Ao que eu saiba, todos vocês têm tantos problemas que lidar quanto mortais têm. Exceto um medo da morte.
ThanatosWithSisyphus03|Thanatos With Sisyphus 03|Thanatos|O que você sabe sobre os problemas dos deuses? Agora você tem a eternidade para pensar sobre o que fez. Talvez eu dê uma passada aqui de novo depois de uma era ou duas, para ver se você aprendeu algo a mais.
ThanatosHomeFirstMeeting|Thanatos Home First Meeting|Thanatos|Vá cuidar de seus assuntos, Zag. E se Lorde Hades nos visse conversando assim, agora...? Arrisquei tudo ajudando você lá fora, e você ainda falhou.
