Id|Description|Speaker|Text
ZeusWithAphrodite01|Zeus With Aphrodite 01|Zeus|Юноша, я знаю, что тебе хочется получше узнать красавицу Афродиту, и кто знает... Ты можешь решить это, когда наконец доберёшься наверх. Я прав, владычица Афродита?
ZeusWithAphrodite01|Zeus With Aphrodite 01|Aphrodite|Ах, поверить не могу, владыка Зевс! Из {#DialogueItalicFormat}твоих {#PreviousFormat}уст это прозвучало грубо. Как ужасно, что тот, кого все считают идеалом, так со {#DialogueItalicFormat}мной {#PreviousFormat}обращается!
AresWithAphrodite01|Ares With Aphrodite 01|Ares|С нетерпением жду того дня, когда ты наконец прибудешь на Олимп. Мало кто здесь разделяет мои интересы, а вот ты, кажется, мог бы.
AresWithAphrodite01|Ares With Aphrodite 01|Aphrodite|И всё же здесь сейчас присутствуют те, кто разделяет эти интересы, не так ли, владыка Арес? Что касается тебя, дорогуша, не торопись и действуй, как сочтёшь нужным!
AresWithAphrodite02|Ares With Aphrodite 02|Ares|Войны во имя любви, собрат... Представляешь себе? Мы с владычицей Афродитой можем вечно обсуждать сей вариант развития событий. Думается мне, иногда ты перестаёшь задаваться вопросом, что же вынудило тебя сражаться. Если бы для сражений вообще нужна была причина.
AresWithAphrodite02|Ares With Aphrodite 02|Aphrodite|Ах, владыка Арес, не следует затуманивать мысли и суждения нашего юного бога подобными комментариями, м-м? Давай просто даруем ему то, чего он желает, и продолжим разговор наедине.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Эй, {#DialogueItalicFormat}эм{#PreviousFormat}, Загрей! Я хочу тебя кое о чём спросить, только не пойми меня неправильно, хорошо? О нет, это она.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Aphrodite|Почему ты так молчалива, Артемида! Тому виной наш юный бог из Подземного мира или всё же я? {#DialogueItalicFormat}Кх-хм{#PreviousFormat}, уверена, ты сама разберёшься!
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Послушай, я хотела, {#DialogueItalicFormat}кхм{#PreviousFormat}... просто... неважно. Поговорим с тобой в другой раз.
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Artemis|Кхм, Загрей, несмотря на мои охотничьи инстинкты, в этот раз мне не удалось ускользнуть от Афродиты, которая настояла на том, чтобы по какой-то причине мы вместе явились пред тобою...
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Aphrodite|Ой, перестань, Артемида! Уверена, тебе не составит труда избежать встречи с обычным зверем, но я-то вижу тебя как на ладони. Почему бы в следующий раз тебе не попробовать быть честной с самой собой?
AphroditeWithZeus01|Aphrodite With Zeus 01|Aphrodite|Дорогуша, твой царственный дядя желает обратиться к тебе с вершины нашей горы, хоть я и заверила его, что у нас с тобой всё под полным контролем!
