Id|Description|Speaker|Text
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|{#DialogueItalicFormat}Мммррррнннн{#PreviousFormat}...
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Zagreus|Послушай, Харон, по всей видимости, ты заключил пари со своим партнёром по бизнесу Гермесом, что когда-нибудь мне удастся одержать над тобой победу два раза подряд? Не хотелось бы разочаровывать его, поэтому... без обид, ладно?
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|{#DialogueItalicFormat}Нннррррааааааууггггххх{#PreviousFormat}!!!
BossCharonEncounter01|Boss Charon Encounter 01|Charon|{#DialogueItalicFormat}Хааахххх{#PreviousFormat}...
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|{#DialogueItalicFormat}Эм{#PreviousFormat}, Харон, послушай, я всё могу объяснить. Понимаешь, просто я уже привык хвататься за всякие вещи, разбросанные по царству моего отца. Я не собирался у тебя красть, честное слово!
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|Едва ли этот звук означает, что ты отнёсся ко мне с пониманием. Погоди, почему ты так угрожающе держишь своё весло?
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Это такое испытание для меня, да, Харон? Если ты кладёшь целую гору монет на самом видном месте, где я могу до неё дотянуться — какой реакции ты от меня ожидаешь?
BossCharonEncounter02|Boss Charon Encounter 02|Charon|Нррннххх, хннн, хррнн, {#DialogueItalicFormat}хрррррннн{#PreviousFormat}...
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Договорились, приятель, когда я в очередной раз попытаюсь обокрасть тебя, считай, что я просто хочу этим сказать следующее: {#DialogueItalicFormat}«Харон, я желаю незамедлительно схлестнуться с тобой в смертельной битве, чтобы немного расслабиться»{#PreviousFormat}.
BossCharonMiscStart01|Boss Charon Misc Start 01|Charon|{#DialogueItalicFormat}Хрррнннгггхх{#PreviousFormat}...
BossCharonMiscStart02|Boss Charon Misc Start 02|Charon|{#DialogueItalicFormat}Гррнрнхх, рррааххх{#PreviousFormat}!
BossCharonMiscStart03|Boss Charon Misc Start 03|Charon|{#DialogueItalicFormat}Хрраааахххххх{#PreviousFormat}!!!
BossCharonMiscStart04|Boss Charon Misc Start 04|Charon|Хррн... {#DialogueItalicFormat}грррааааууугггхх{#PreviousFormat}!!!
BossCharonMiscStart05|Boss Charon Misc Start 05|Charon|Рррн... {#DialogueItalicFormat}грррааааууугггхх{#PreviousFormat}!!!
BossCharonMiscStart06|Boss Charon Misc Start 06|Charon|Гррр... {#DialogueItalicFormat}нрррааааууугггххх{#PreviousFormat}!!!
BossCharonMiscStart07|Boss Charon Misc Start 07|Charon|Уррх... {#DialogueItalicFormat}урраааууугггхх{#PreviousFormat}!!!
BossCharonMiscStart08|Boss Charon Misc Start 08|Charon|Кррр... {#DialogueItalicFormat}кррааууугггхх{#PreviousFormat}!!!
BossCharonMiscStart09|Boss Charon Misc Start 09|Charon|Ххх, {#DialogueItalicFormat}хррееххххх{#PreviousFormat}!!!
BossCharonOutro01|Boss Charon Outro 01|Charon|Хааахх, нрраугх, {#DialogueItalicFormat}хааааах{#PreviousFormat}!!!
BossCharonHermesQuestComplete01|Boss Charon Hermes Quest Complete 01|Zagreus|Подловил тебя, друг! Два раза подряд. Полагаю, Гермес выиграл ваше скромное пари. Скажи ему, что я передавал {#DialogueItalicFormat}хррррррнннгггхх{#PreviousFormat}!
BossCharonHermesQuestComplete01|Boss Charon Hermes Quest Complete 01|Charon|{#DialogueItalicFormat}Хррррррнннгггхх{#PreviousFormat}...
CharonFirstMeeting|Charon First Meeting|Charon|{#DialogueItalicFormat}Ггаххххх{#PreviousFormat}...
