Id|Description|Speaker|Text
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|...Ступай своей дорогой, незнакомец. Тебя ждёт множество теней, жаждущих вступить в бой.
PatroclusFirstMeeting|Patroclus First Meeting|Zagreus|Я просто проходил мимо. Ты выглядишь менее воинственно, чем прочие. Могу ли я узнать твоё имя? Меня зовут Загрей.
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|Имена придуманы, чтобы их забывать, незнакомец. Тебе не следует здесь находиться. Пусть Мойры будут благосклонны к твоим странствиям. А на случай, если у них другие планы, возьми это?
PatroclusMeeting02|Patroclus Meeting 02|Zagreus|Что-то не так? Разве тебе не положено сейчас сражаться за вечную честь, славу и всё прочее?
PatroclusMeeting02|Patroclus Meeting 02|Patroclus|А смысл? Давай, если кто-то спросит, скажем, что мы сразились. А теперь иди отсюда. Кроме того, у нас с тобой нет повода для ссоры. Я просто хочу остаться здесь и отдыхать в комфорте и покое долгие тысячелетия. Хорошего... времени суток.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|Я вижу, ты всё так же мыкаешься по Элизиуму. Сражаешься с моими собратьями во имя славы, да?
PatroclusMeeting03|Patroclus Meeting 03|Zagreus|Я хочу выбраться на поверхность. А твои собратья пытаются меня задержать. Не то во имя славы, не то по приказу моего отца.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|Твоего отца?.. {#DialogueItalicFormat}Ах{#PreviousFormat}, вот оно что, ты принц, не так ли? Тогда ты должен был заметить, чего стоит твоё высокое происхождение: ты ничем не лучше, чем любой из нас. А теперь уходи.
PatroclusMeeting04|Patroclus Meeting 04|Patroclus|Опять ты. Я же просил меня не трогать. Твой отец — большая шишка, но для меня это ничего значит, понимаешь? Иди и скажи ему, что он может швырнуть меня в самые гнусные дыры Тартара, мне всё равно. Это будет приятной переменой после пасторального отдыха.
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|В прошлый раз я был довольно груб, незнакомец. Прости за бестактность. Или не прощай. Но мне хотелось принести свои извинения.
PatroclusMeeting05|Patroclus Meeting 05|Zagreus|Ничего страшного. Но если я могу тебе чем-то помочь, скажи, хорошо?
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|Боюсь, не в твоих силах спасти меня от этого мытарства. Просто ступай по своим делам и оставь меня.
PatroclusMeeting06|Patroclus Meeting 06|Patroclus|Незнакомец, предупреждаю тебя: если ты продолжишь постоянно приходить сюда, мне придётся выбрать тебе новое прозвище.
PatroclusMeeting06|Patroclus Meeting 06|Zagreus|Не стоит так утруждаться. Мы просто случайные знакомые. Я о тебе ничего не знаю.
PatroclusMeeting06|Patroclus Meeting 06|Patroclus|И хорошо, что не знаешь. Это место предназначено для величайших из греков. Разве я выгляжу, как один из них? Иди пообщайся с Тесеем и ему подобным.
PatroclusMeeting07|Patroclus Meeting 07|Patroclus|Скажи, незнакомец, если тебя не затруднит. Почему ты постоянно приходишь сюда?.. Я думал, это самая отдалённая часть Элизиума.
PatroclusMeeting07|Patroclus Meeting 07|Zagreus|Всё зависит от воли постоянно меняющих положение залов Подземного мира. Я считал наши встречи чистой случайностью.
PatroclusMeeting07|Patroclus Meeting 07|Patroclus|Раз вероятность случайного совпадения так низка, возможно, сюда приложили руку Мойры. Или ещё кто-то. Я не знаю, можно ли тебе верить, но точно хочу, чтобы ты сейчас же ушёл.
PatroclusMeeting07B|Patroclus Meeting B 07|Patroclus|Раз вероятность случайного совпадения так низка, возможно, сюда приложили руку Мойры. Или ещё кто-то.
PatroclusMeeting08|Patroclus Meeting 08|Patroclus|Ну, что ещё, незнакомец? Ты отлично выучился меня находить, а вот способность оставить меня в покое у тебя хромает.
PatroclusMeeting08|Patroclus Meeting 08|Zagreus|Я просто прогуливаюсь по этому райскому уголку, вот и всё. Следую по пути к своей цели.
PatroclusMeeting08|Patroclus Meeting 08|Patroclus|Ты думаешь, что это рай? В глубинах Подземного мира, по крайней мере, можно встретить другие души, способные разделить с тобой страдания. Не обижайся, я знаю, что ты просто проходил мимо.
PatroclusMeeting09|Patroclus Meeting 09|Patroclus|Что, незнакомец, как продвигается твоё умышленное неповиновение? Ах, если бы я тоже посмел бросить вызов богам.
PatroclusMeeting09|Patroclus Meeting 09|Zagreus|О, знаешь, продвигается. То, что я смог добраться сюда, уже говорит о том, что я кое-чего достиг. Хотя твои собратья в Элизиуме стараются мне помешать.
PatroclusMeeting09|Patroclus Meeting 09|Patroclus|Да, с моими собратьями не договоришься. Я видел, как многие из тех, с кем ты здесь бился, тратили свою жизнь впустую, когда ещё были живы. И до сих пор они стремятся доказать самим себе и друг другу, что являются великими воинами.
PatroclusMeeting10|Patroclus Meeting 10|Zagreus|Скажи, это ведь Лета здесь протекает? Ты столько пережил, разве ты никогда... не думал хлебнуть большой глоток из реки забвения и покончить со всем?
PatroclusMeeting10|Patroclus Meeting 10|Patroclus|Да, это соблазнительная мысль. И периодически я пил из неё понемногу. Но есть воспоминания, от которых я ещё не готов отказаться.
PatroclusMeeting11|Patroclus Meeting 11|Zagreus|Ты когда-нибудь хотел пересечь этот луг? Великолепный Элизиум... Здесь есть на что поглядеть. Уверен, что тебя всё устраивает?
PatroclusMeeting11|Patroclus Meeting 11|Patroclus|Уверен, незнакомец. Я немало странствовал, когда ещё был жив, и это избавило меня от страсти к путешествиям. Мне кажется, этот уголок мне вполне подходит. Здесь есть статуя и река... весьма уютно.
PatroclusAboutBracer01A|Patroclus About Bracer A 01|Patroclus|А что это у тебя на запястье, незнакомец? Позволь взглянуть, это же... наручи мирмидонца. Но это значит...
PatroclusAboutBracer01A|Patroclus About Bracer A 01|Zagreus|А, это? Как ты узнал? Это просто сувенир от друга.
PatroclusAboutBracer01A|Patroclus About Bracer A 01|Patroclus|Сувенир? От друга?.. Тогда скажи своему другу, что Патрокл ждёт его и готов забыть все обиды, если тот вернётся.
PatroclusAboutBracer01B|Patroclus About Bracer B 01|Zagreus|Значит, ты это узнаёшь. Конечно. Это от Ахиллеса. Его подарок. Он был моим наставником.
PatroclusAboutBracer01B|Patroclus About Bracer B 01|Patroclus|Понятно... подарок. Тогда скажи Ахиллесу, что Патрокл ждёт его и готов забыть все обиды, если тот вернётся.
PatroclusAboutBracer01E|Patroclus About Bracer E 01|Patroclus|А что это у тебя на запястье, незнакомец? Позволь взглянуть, это же... наручи мирмидонца. Ахиллес...
