Id|Description|Speaker|Text
AchillesFirstMeeting_Alt|Achilles First Meeting Alt|Achilles|见到你很高兴，小伙子。你最近真的是忙坏了，是吧？如果有什么能帮到你的地方，尽管告诉我。不过在我看来，你已经把这些事情处理得很好了。
AchillesGrantsCodex|Achilles Grants Codex|Achilles|你会掌握诀窍的，小伙子。训练得再多，也不如实战来的有用。来，我有东西要给你。
AchillesGrantsCodex|Achilles Grants Codex|Zagreus|等下，你要把你的手稿给我？这我真的受不起！
AchillesGrantsCodex|Achilles Grants Codex|Achilles|不用客气，拿着吧。我希望你不仅善武，文化这块儿也要抓一抓。也许你可以把它填满。
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|阿喀琉斯，刻耳柏洛斯他真的在我离开后把休息室毁了吗？他一定给自己惹了不少麻烦吧。
AchillesLoungeClosed01|Achilles Lounge Closed 01|Achilles|我只希望你可以亲眼看到，小伙子。那地方简直就像台风肆虐过的葡萄园一样！你的父亲大人脸都气歪了。他可是从来都没对狗这么生气过。可怜的杜莎，她现在就在收拾那个地方。
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|不会吧……她现在怎么样了？就算没发生这种事，她也一直在担心父亲会不会解雇她。
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|不得不说，小伙子！这地方比起以前要更生机勃勃一点了。圣殿里的一些老旧设施装修过了，新添的家具…说真心话也都很棒。这我们可得好好感谢你呢，呵呵。
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Zagreus|噢，就这？没什么的。能有好的改变，我也很高兴。都是承包商的功劳，我只不过下几个订单而已。
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|当然还付了钱。你父亲用他自己的方式来运营整个冥界。因为你父亲的原因，过去这地方表面上看上去非常奢华，但实际上并不适合居住。所以说，你做出的改变很好。
AchillesMiscMeeting01|Achilles Misc Meeting 01|Achilles|不要放弃，小伙子。我一生中遇到过很多了不起的人，所以我一眼就能知道，谁能超越自己目前的处境。像我一样去外面战斗吧。
AchillesMiscMeeting01|Achilles Misc Meeting 01|Zagreus|我会像你一样让他们好看的，阿喀琉斯。毫无疑问，很多那些在塔耳塔罗斯对抗我的暗灵们都是因为你才在那里的。
AchillesMiscMeeting02|Achilles Misc Meeting 02|Zagreus|我房间外面的那些武器是你放的吗，阿喀琉斯？我得谢谢你。
AchillesMiscMeeting02|Achilles Misc Meeting 02|Achilles|肯定不是我，小伙子。如果我碰巧遇见那人的话，我会道谢的。
AchillesMiscMeeting03|Achilles Misc Meeting 03|Achilles|你的敌人不是那些可怜的死人，也不是你的父亲，小伙子。是冥界本身。防止逃跑就是它的特性。这么长时间，你也应该了解了这些房间似乎一直在变换出口。
AchillesMiscMeeting03|Achilles Misc Meeting 03|Zagreus|我的敌人，就是冥界本身…我会好好接受它带来的惊喜的，老师。
AchillesMiscMeeting04|Achilles Misc Meeting 04|Achilles|你房间里那些被封锁的武器，我想你的父亲也注意到了。它们让他想起以前与自己的兄弟姐妹并肩作战的时光。他现在最不想要的就是这些东西。我觉得你继承了他们的力量。
AchillesMiscMeeting04|Achilles Misc Meeting 04|Zagreus|曾经驱逐了泰坦的力量…或许这力量能让我逃离这里。谢谢你的帮助，阿喀琉斯。
AchillesAboutFistWeapon01|Achilles About Fist Weapon 01|Zagreus|老师，我最近结识了双子之拳玛尔封。 它使我充满了以前从未有过的战斗渴望。 没想到空手竟然可能具有与任何武器一样大的破坏力。
AchillesAboutFistWeapon01|Achilles About Fist Weapon 01|Achilles|赤手空拳比任何武器都强大，小伙子。唯一一样身为武器、还能掌控其他武器的就是双手，没有它们，其余兵器的力量都无从谈起。双子之拳彰显了这种强大。小心使用它们吧，别被冲昏了头脑。
