Id|Description|Speaker|Text
ZeusWithAphrodite01|Zeus With Aphrodite 01|Zeus|年轻人，我知道你很想和阿弗洛狄忒面对面地交流。不过，或许我想错了呢，还是等你来这里之后再说吧！他想不想来，得看他的意思，你说是吧，我亲爱的阿弗洛狄忒？
ZeusWithAphrodite01|Zeus With Aphrodite 01|Aphrodite|你这么说是什么意思，宙斯大人！{#DialogueItalicFormat}你{#PreviousFormat}的话听起来就像是在侮辱我一样！被我们大家尊为天父的人，竟然会对{#DialogueItalicFormat}我{#PreviousFormat}说出这样的话，这真是太让我震惊了！
AresWithAphrodite01|Ares With Aphrodite 01|Ares|我期待着你最终到达奥林匹斯山的那一天。这里还能有几个人与咱们志趣相投。
AresWithAphrodite01|Ares With Aphrodite 01|Aphrodite|这里至少还有几个人有这样的志趣，不是吗，阿瑞斯大人？至于你，亲爱的，你需要多少时间都可以！
AresWithAphrodite02|Ares With Aphrodite 02|Ares|为了爱情而发动战争，我的家人……你能想象得到这种事情吗？像这种话题，我和阿弗洛狄忒女士能讨论上三天三夜。我相信，你时常会停下来，反思自己为什么要用战斗的方式解决问题。当然了，想战斗是不需要理由的。
AresWithAphrodite02|Ares With Aphrodite 02|Aphrodite|哦，阿瑞斯大人，没必要对这位小小神说这些话，让他的思想和判断蒙上阴影，不是吗？我们只要给他想要的东西就好，至于其它的事情，我们可以私下里做。
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|嗨，{#DialogueItalicFormat}呃{#PreviousFormat}，扎格列欧斯！我一直想知道一件事，不要误会我的意思，好吗？哦，糟了。她来了。
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Aphrodite|阿尔忒弥斯，你几乎说不出话来了！是因为我们的冥界小小神，还是因为我？{#DialogueItalicFormat}嗯……嗯{#PreviousFormat}，我相信你会把一切弄清楚的！
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|话说，什么来着，我，{#DialogueItalicFormat}呃{#PreviousFormat}，算了。还是改天再和你说好了。
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Artemis|呃，扎格列欧斯，虽然我有猎手的本能，但看来我这次是躲不掉阿弗洛狄忒了。她坚持无论出于什么理由，我们都应该同时在你面前出现……
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Aphrodite|哦，别害羞嘛，阿尔忒弥斯！我肯定你很擅长躲避普通的野兽，但在我眼中，你就像白纸一样，一眼就看透了。不如你下次对自己诚实一点吧？
AphroditeWithZeus01|Aphrodite With Zeus 01|Aphrodite|亲爱的，你的天神叔叔希望能在奥林匹斯之巅和你聊聊。不过我早就和他保证过，说我们两个一定能把所有的事情都安排好。
AphroditeWithZeus01|Aphrodite With Zeus 01|Zeus|说真的，扎格列欧斯，阿弗洛狄忒女士唯一能安排好的事情，就是她那些垂涎欲滴的追求者。我没说错吧，阿弗洛狄忒？不如你赶紧把你的祝福给他，接下来的事情都交给我吧？
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|关于这个家庭，亲爱的，要知道，我们每个人都有自己的小怪癖。尽管如此，我们总归还是团结在一起，我们对彼此的爱坚不可摧！
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Poseidon|哦，{#DialogueItalicFormat}哈哈{#PreviousFormat}！看看这是什么呀，小哈迪斯？在我看来，你有{#DialogueItalicFormat}伙伴{#PreviousFormat}了！好了，我就让你们两个单独呆着吧，我的嘴可比坚固的船身还紧！
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|哦，波塞冬，你留下来也没关系。我正和扎格解释你有多蠢呢，你这不就过来亲身示范了嘛！那，亲爱的，我刚刚说到哪了……？
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|小小神，你一定要原谅我们，我是说我们这个奥林匹斯大家庭！我们之中确实有几个自大的混蛋，他们总是想把事情搞得复杂起来。
AphroditeWithAthena01|Aphrodite With Athena 01|Athena|我在想，亲爱的阿弗洛狄忒，你是否愿意当着我的面再说一次那些话？
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|噢，你肯定很清楚，我想做的可不仅仅是当着你的面说说那么简单，我亲爱的雅典娜！坦白说，你还差得远呢！
AphroditeWithAthena02|Aphrodite With Athena 02|Aphrodite|亲爱的，你要知道，我和女神雅典娜一直都意见不合。可能是因为她总是想得太多，而我喜欢遵从内心！
AphroditeWithAthena02|Aphrodite With Athena 02|Athena|很高兴我们互相理解了，要是让扎格列欧斯看到我们在争执，那就太尴尬了。
AphroditeWithAres01|Aphrodite With Ares 01|Aphrodite|我想了很多关于我们之间的事情，亲爱的。我发现爱情与战争总是形影不离，这真让我吃了一惊。明明是截然相反的力量，却又如此紧密地结合在一起，不是吗？对众神与凡人而言，这正是最炽热的感情。我说得没错吧，阿瑞斯大人？
AphroditeWithAres01|Aphrodite With Ares 01|Ares|凡人注定贪生怕死，其中有不少人为了自己能活下去，不惜杀死别人。他们所感受到的激情……其实没什么本质区别，亲爱的阿弗洛狄忒女士。
AphroditeWithArtemis01|Aphrodite With Artemis 01|Aphrodite|哦，我最亲爱的！我把眼观六路的阿尔忒弥斯带来了。她只会专心狩猎，不太明白来找你需要什么样的社交礼仪！
AphroditeWithArtemis01|Aphrodite With Artemis 01|Artemis|她还说什么社交礼仪！就像这样！我敢肯定你明白，有必要的时候我会去找你的，扎格列欧斯。不过，至于怎么从阿弗洛狄忒这里逃开，我恐怕就不知道了。
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Aphrodite|亲爱的，我的力量与迪奥尼索司的力量相辅相成。有了他的力量，人的心灵就能在根本没有美的地方发现美，真的！
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Dionysus|{#DialogueItalicFormat}啊，哈哈{#PreviousFormat}，没必要这么恭维我，阿弗洛狄忒女士！我敢肯定，美差不多只存在于心灵之中！当然，也存在于结实的肌肉、紧致的下颚与胜利的笑容之中。不过，这些话哪轮得到我跟你说呢？
AphroditeWithDemeter01|Aphrodite With Demeter 01|Aphrodite|你敢相信吗，亲爱的？尊敬的四季女神得墨忒尔想要让自己看起来尽可能地尊贵。不过我不明白，为什么人要往自己的脸上画那么多线呢？
