Id|Description|Speaker|Text
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Theseus|……听我一句劝吧，阿斯忒里俄斯，你{#DialogueItalicFormat}错了{#PreviousFormat}！他才不是什么{#DialogueItalicFormat}有王室血统的人呢{#PreviousFormat}，反正肯定不是{#DialogueItalicFormat}我{#PreviousFormat}认识的家伙！他不过是个被遗忘的无名小神，他诞生于深渊之底，也应该生生世世呆在那里！
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Minotaur|国王，我以前也听信过他的鬼话。这个敌人我们已经交手过多少次了？在我看来，他战斗得很英勇。
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Theseus|{#DialogueItalicFormat}英勇{#PreviousFormat}？！他就会躲在那些柱子后面，你却管这叫{#DialogueItalicFormat}英勇{#PreviousFormat}，阿斯忒里俄斯？等打败他之后，我们得好好讨论讨论你怎么会产生这种怪想法！
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Theseus|我希望你已经准备好了，地狱之子，因为我和阿斯忒里俄斯狠狠地吵了一架！没错，他说是我看错了像你这样的人！{#DialogueItalicFormat}真是气死我了{#PreviousFormat}。
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Minotaur|我的话你根本没听进去，国王。关于这个敌人，我们还有很多事情要弄明白。他每次来这里，装备都不一样，拿的武器、能力之类的也都不一样。无论我们怎么努力……都没办法看透他的战术。
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Theseus|是吗？你是在说我打不过他吗，阿斯忒里俄斯？别忘了，我可是在你的迷宫里，轻轻松松就把{#DialogueItalicFormat}你{#PreviousFormat}打败了啊！？别废话了，赶紧打完这一仗吧！
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Theseus|是你啊，蛆虫！你是来和我们打架的吧，看看你把我们的关系破坏成了什么样子！我们已经不再是什么队友了！不过是两个单打独斗的人，刚好在这里各自为战罢了。
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Minotaur|国王，我觉得你实在是太小题大做了，冷静点，好好考虑考虑我的观点吧。我觉得我的要求并不过分。
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds A 05|Theseus|别让我做我做不到的事情！赶紧开打，然后认输吧。我知道肯定打不赢，因为如果我们不是队友的话，那我们到底算什么呢，阿斯忒里俄斯……？
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds Extra A 05|Minotaur|你得原谅我们的最强战士，小矮个，他最近脾气不太好。不过我敢肯定，他还是会与你恶战到底的。
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds Extra A 05|Zagreus|这样就好，我一开始还有点担心呢。嘿，或许我可以让他开开窍，你说呢？
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds Extra A 05|Minotaur|我不太确定，我已经试过了。不过我知道，最好还是不要低估你为好，我们要上了。
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Theseus|请再次和我并肩作战吧，阿斯忒里俄斯。我是说，就像从前一样！你一定得原谅我最近犯下的蠢事。那只该死的恶魔！他的谎言和背叛，或是幻象之类的法术，毒害了我的心灵！
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Minotaur|我的国王，向我发誓，发誓你永远都不会再怀疑我们之间的羁绊。那个小矮子是不会摧毁我们之间的羁绊的，他甚至根本无法理解这种感情。唯一能摧毁这种羁绊的人，只有你自己。
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds A 06|Theseus|我……哦，阿斯忒里俄斯，我亲爱的朋友。我明白了，你说得没错，你说得没错，{#DialogueItalicFormat}你说得没错{#PreviousFormat}！我郑重地向你发誓，我永远不会再怀疑我们的兄弟之情了！我也再也不会听信这个恶魔的鬼话了！我们是好兄弟，永远都是！！
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|好了，阿斯忒里俄斯，他回来了！而这一次，我们必须在没有神圣护甲的保护下打败他！这是一次值得尝试的挑战，不是吗？
TheseusPactReverted01|Theseus Pact Reverted 01|Minotaur|注意，不要小看他，国王。他之前也是不好对付的人物。
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|别瞎扯了，我的朋友！对于一个毫无尊严的人，我还能如何小瞧？！现在，我们一起进攻！
TheseusWithAsterius01|Theseus With Asterius 01|Minotaur|他来了，国王。正在激活护甲。你的战车及时修好了，真是幸运。
TheseusWithAsterius01|Theseus With Asterius 01|Theseus|别瞎扯了，我的朋友！无论有没有额外的神圣保护，我们都可以击败这个卑鄙无耻的地狱之子！干掉他！
TheseusFirstAppearance_NotMetMinotaur|Theseus First Appearance Not Met Minotaur|Theseus|站住，恶魔！只要我还在这里，你休想跨过这里重见天日。
TheseusFirstAppearance_NotMetMinotaur|Theseus First Appearance Not Met Minotaur|Minotaur|二打一。似乎不太公平……啊，好吧！{#DialogueItalicFormat}<鼻息声>{#PreviousFormat}赶快杀了他吧，我的王。
TheseusFirstAppearance_NotMetMinotaur|Theseus First Appearance Not Met Minotaur|Zagreus|忒修斯？！米诺斯公牛？！你们是传说级人物啊！如果能与两位公平竞技的话我会非常荣幸。
TheseusFirstAppearance_NotMetMinotaur|Theseus First Appearance Not Met Minotaur|Theseus|啊，竟想通过这种话来动摇我的信念。准备战斗吧，你这坏东西！希望众神会仁慈待你，因为我没有仁慈！
TheseusFirstAppearance_MetBeatMinotaur|Theseus First Appearance Met Beat Minotaur|Minotaur|我警告过你了，小矮个。现在你面对的是比我还强大的敌人。唯一一个打败过我的人。
TheseusFirstAppearance_MetBeatMinotaur|Theseus First Appearance Met Beat Minotaur|Zagreus|忒修斯？！不是吧！你们是传说级人物啊！如果能与两位公平竞技的话我会非常荣幸。
TheseusFirstAppearance_MetNotBeatMinotaur|Theseus First Appearance Met Not Beat Minotaur|Minotaur|准备好，小矮个。现在你面对的是比我还强大的敌人。唯一一个打败过我的人。
