Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|……打理这座花园费了我很多日子，抑或是夜晚？毕竟在这里很难辨明时辰。然而，如我所料，它可能无法再继续留存了……
Ending01|Ending 01|Hades|……珀尔塞福涅……我……
Ending01|Ending 01|Persephone|刻耳柏洛斯！我真想念你。永远这么尽责，是不是。
Ending01|Ending 01|Hades|……对不起。我真诚地道歉。
Ending01|Ending 01|Persephone|哈迪斯……你看上去很疲惫。 但是，你不能只向我一人道歉。
Ending01|Ending 01|Hades|我知道，我知道。我……你怎么回来了？如果让众神 …… 让你母亲知道了，那后果，即使是宙斯——即使是{#DialogueItalicFormat}他{#PreviousFormat}也拦不住啊！
Ending01|Ending 01|Persephone|噢，我想我有几个应对方案。但为了解决这个问题，我需要你和扎格列欧斯的协助。或者……我就这么原路返回更合你的意？
Ending01|Ending 01|Hades|应对方案？什么，你还想把他们请过来喝一杯{#DialogueItalicFormat}仙馔密酒{#PreviousFormat}？即便是你也无法修复分崩离析的家庭关系，珀尔塞福涅。
Ending01|Ending 01|Persephone|你说得对，哈迪斯！我做不到。只靠我自己肯定做不到。那，你愿意帮我吗？
Ending01|Ending 01|Hades|……只要你开口，我愿意为你做任何事。
Ending01|Ending 01|Persephone|那么首先，和你的儿子聊聊。
Ending01|Ending 01|Hades|……嗯。扎格列欧斯？见过我们的冥后，珀尔塞福涅。我希望你对她表现恭敬，无论何时！
Ending01|Ending 01|Zagreus|哇哦，父亲大人，您称呼了我的名字！我现在这种受宠若惊的奇怪感觉是怎么回事？说不定这就是您说的恭敬？
Ending01|Ending 01|Persephone|噢，你们两个，别这样。别让我后悔回来，哈迪斯。跟他说真心话，谈谈你自己，不是谈我。说吧。
Ending01|Ending 01|Hades|好吧。我……扎格列欧斯。我知道之前有一段时间……我总是迁怒于你。我不够耐心。而且我也经常质疑你的判断，哪怕明明是我自己考虑得不够周全。因此，我向你道歉，我的儿子。我难辞其咎，并不奢求你的原谅。
Ending01|Ending 01|Zagreus|关于母亲的事你向我撒了谎，你会为此道歉吗？你的那些臭脾气，还总是冲我发泄……我已经忍受够久的了，为此我真的恨你。但我本来一直以为……你没对我撒谎。
Ending01|Ending 01|Hades|我第一次遇见你母亲的时候，她并不是自愿来冥府的。她离开的时候……她以为你是死胎……所以她心意已决。我曾认为我们，包括奥林匹斯神，都是她的负担。欺骗了你们俩一直使我心如刀割，但我别无他法。
Ending01|Ending 01|Zagreus|那你也不必从我出生起就把那种自责向外发泄到我身上吧。不过，我想我现在理解了。我只是希望我能早点理解这一切。好了，呃……现在怎么办？我已经完全习惯把你的领地搅个底朝天了，今后我肯定会怀念这种感觉的。
Ending01|Ending 01|Hades|关于这件事……你的胡闹暴露出我们的安保系统里有很多漏洞，这些漏洞以前从没被报告上来。我们的宗旨是从此处无路可逃，所以……你能不能继续试着逃出去。不是因为我，而是为了这片冥界。为了冥后。
Ending01|Ending 01|Persephone|扎格列欧斯……如果你继续战斗的话……就能使一切看上去和往常一样。
Ending01|Ending 01|Zagreus|我有一个问题，父亲大人。假如我同意了，那下次我到达地面世界的时候……还会是你在那儿等着我吗？
Ending01|Ending 01|Hades|啊，孩子。如果因为我们和解了你就有一瞬间以为我会放你一马，你很快就会吃到苦头。
Ending01|Ending 01|Zagreus|所以我得一路杀到地面然后不断地杀了我的亲生父亲？
Ending01|Ending 01|Hades|你只说对了一半！
Ending01|Ending 01|Persephone|也许你还可以打理一下我的小园子？照料花园不需要占用你很多精力。我是说万一我没法在这逗留很久的话。
Ending01|Ending 01|Zagreus|{#DialogueItalicFormat}哈哈哈{#PreviousFormat}，好吧！我会去看看我能做些什么。
Ending01|Ending 01|Persephone|做你力所能及的事就好。而且，我也有工作要做。前路漫漫啊，我想。那么，我们现在开始吧？
Ending01|Ending 01|Zagreus|{#DialogueItalicFormat}终于尘埃落定了{#PreviousFormat}，这不过是短短几天的事情！不过一切都很好。母亲和父亲重新团聚，我结识了一些新朋友，还弄到了这幅漂亮的画！真简单，在冥界一切都是那么美好！
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}不过，王子发现了一张字条……上面有着他从未见闻过的优美字迹以及动听的声音。
Flashback05|Flashback 05|Persephone|{#DialogueItalicFormat}“哈迪斯：我不想再在这个地方折磨自己了。我要离开，付出生命的代价也在所不惜。我不会再回奥林匹斯。如果这世界有可以包容我的地方，那它一定在天堂与地狱之间。也许是在海岸边，附带一个小花园。照顾好刻耳柏洛斯；我会想他的。”
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}母亲写下的字条内容深深吸引了扎格列欧斯，这位冥界的王子。
Flashback05|Flashback 05|Zagreus|母亲写下的字条，母亲写下的，等等，{#DialogueItalicFormat}你说什么{#PreviousFormat}？！你是说，这个叫珀尔塞福涅的人，她是……我母亲……？可，可我父亲一直说，说倪克斯才是我的……那个骗子。他骗我，他们两个都在骗我，把我蒙在鼓里！
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}咳咳，就这样，王子在不经意间解开了自己的身世之谜。完完全全的偶然，没错……
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|墨纪。噢。你怎么来了？你刚才，是有在偷看嘛，还是……有什么我能帮你的？
MegaeraBedroom01|Megaera Bedroom 01|Megaera|……我刚准备离开，扎格列欧斯。我只是刚好出现在这里，想着拿回我剩下的东西。不得不说，你把这个地方弄得一团糟。
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|……她走了。好。太好了！我猜我们又要开始不停地互相杀害对方了吧。
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|你忘了我的卧室里还有什么东西吗，墨纪？
MegaeraBedroom02|Megaera Bedroom 02|Megaera|不，我们需要再谈一谈。我的姐妹们现在都被牵扯进来了。你确实惹出了不小的乱子。
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|对不起。我的母亲就在那里的某个地方。在找到她之前，我是不会罢手的。你不会理解的。
MegaeraBedroom02|Megaera Bedroom 02|Megaera|你不知道。我想说的是……如果把我的姐妹们牵扯进来，事情就不一样了。我身上的压力就变小了一些。
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|你是什么意思？
MegaeraBedroom02|Megaera Bedroom 02|Megaera|我的意思是……我知道你需要找到你的母亲，扎格列欧斯。在这件事中，我有我自己的角色，让我想想我可以做些什么。
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|墨纪…！她… {#DialogueItalicFormat}嗐{#PreviousFormat}。
MegaeraBedroom02B|Megaera Bedroom B 02|Zagreus|我知道，我很抱歉。但这件事情我必须做，你是不会明白的。
MegaeraBedroom02B|Megaera Bedroom B 02|Zagreus|压力……等等，你要干什么？
MegaeraBedroom02B|Megaera Bedroom B 02|Megaera|我的意思是……我知道你必须这么做，扎格列欧斯。而我和我的姐妹们也总是会试着阻止你。但我之所以这么做，也有我的难处。你知道吗？
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|墨纪……这太令人意外了。再一次。怎么了？……发生了什么？等下。为什么要这样看着我？
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|扎格列欧斯，你可以不要再问这么愚蠢的问题，然后过来这边一下吗？现在，马上。
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|……我……你真的……哦……
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|……我还以为你不打算问了呢，不过我很高兴你问了。
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|呃，墨纪，我…我想说的是，你……我们的关系没问题吧，还是……？
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|不要在我面前摆出一副唯唯诺诺的样子，扎格。你现在应该很清楚。不过，是的，如果你非得要个答案的话……我觉得我们的关系还好。但如果你敢告诉其他人，不管是活人死人，我就要了你的命，明白吗？
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|我……知道了，墨纪，我知道了。那么……接下来要做什么？
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|现在要做什么？我想，我们会在塔耳塔罗斯的边缘再见。也有可能还在这里。无论我们要坚持多久。
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|无论我们要坚持多久？
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|你的问题太多了，扎格。我回答不了，再说了：你比我更懂得活在当下。我们后会有期。
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|……后会有期！……是的。
Text|Text|Zagreus|……我……墨纪，我非常荣幸，你对我十分重要，只不过……这不是我想从我们之间的关系中得到的东西。恐怕是我骗了你。原谅我。我们还可以继续做朋友吧？
Text|Text|Megaera|……这真的是你想要的吗……？想和我交朋友？{#DialogueItalicFormat}呵{#PreviousFormat}，我是真的搞不懂你啊，扎格。不过，既然我们已经一起做过那么多事情了，不如这次就按你说的办吧？我们到时候见吧。
Text|Text|Megaera|……你确定？听着，我……完全没放在心上。那我们回头再见。
Text|Text|Zagreus|……我真的这么觉得。有时候我需要放慢节奏。我们最近的关系越来越好，我也感到非常欣慰。但我的情绪有点过于激动。请你原谅。你是我的好朋友。我不想伤害你。或者其他人。
Text|Text|Thanatos|我……哦，我知道，我明白的，你也是我亲爱的朋友。虽然我们最近做了不少破坏友谊的事情，不过我们还是朋友，对吧？多保重，扎格，下次再见。
Text|Text|Zagreus|……再见了。
Text|Text|Zagreus|塔纳……{#DialogueItalicFormat}哈哈哈{#PreviousFormat}，我很高兴！只是……你知道吗，墨纪拉也在这里……？
Text|Text|Thanatos|{#DialogueItalicFormat}哧。{#PreviousFormat}我认识墨纪拉可比你早得多。你以为在这件事情上是谁说服我的？
Text|Text|Zagreus|哈！难道是她？很好！不错。
Text|Text|Thanatos|你确定吗？嗯……我明白。我现在最好重新肩负起自己的责任。
Text|Text|Zagreus|……再见，塔纳。
Text|Text|Zagreus|……嘿……你看，我很在乎你，很在乎你们两个。你看，我很高兴我们的关系变得这么亲密……很高兴你们的关系变得这么亲密，不用像以前那样剑拔弩张。可是，我觉得我稍微有点接受不了。
Text|Text|Megaera|……你确定吗？你看……这一点问题都没有。你已经承受很大的压力了，我们下次见吧。
Text|Text|Thanatos|改天再和你说，可以吗？
BecameCloseWithMegaera01_B|Became Close With Megaera B 01|Megaera|快闭嘴，扎格列欧斯。然后过来这边。
BecameCloseWithMegaera01_B|Became Close With Megaera B 01|Megaera|你的问题太多了，扎格。是的，我们暂时重归于好了。但如果你告诉别人，我就宰了你，明白吗？
BecameCloseWithMegaera01_B|Became Close With Megaera B 01|Zagreus|但是……不，等一下……连塔纳也不行……？
BecameCloseWithMegaera01_B|Became Close With Megaera B 01|Megaera|塔纳又不傻。他会为你着想。而且他也不是爱嫉妒的人。再说了，我和他保持着良好的合作关系，这你也是知道的。
BecameCloseWithMegaera01_B|Became Close With Megaera B 01|Zagreus|是啊，但……你呢，你会惩罚那些善嫉之人。如果我……
BecameCloseWithMegaera01_B|Became Close With Megaera B 01|Megaera|我们都不是凡人，扎格。凡人总是相互充满敌意，因为他们的生命短暂。我们在乎什么？如果说倪克斯让我学得了什么的话，他让我知道心是无边无际的。现在别担心了，为我们的下次见面做好准备吧。再见。
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|塔纳托斯……！我正要叫你进来呢，这不……你就来了。很高兴见到你。
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|告诉我一件事，扎格列欧斯。上次你说的话是真心的吗，就是……或许我们应该……慢慢来？
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|我只是……不想给你太多压力，塔纳。我知道发生了太多的事。而且我想让你知道……对我来说，在这件事上我不会冲动。我会等你，不管多长时间。
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|{#DialogueItalicFormat}咳！{#PreviousFormat}你根本就不知道哪些事情需要冲动，哪些需要克制。你说你会等，好，那我问你：你在等什么？你在等什么，我就在这里啊。不是吗……？
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|塔纳……！{#DialogueItalicFormat}哈哈哈{#PreviousFormat}，你说的没错！
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|嘿，塔纳，听好了……有什么就说什么，我不喜欢你一直这样保持沉默，你究竟在想什么？
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|很多事情。而且你会慢慢喜欢上这样的我，扎格。我的意思是……不要对我的沉默产生误会，好吗？不过，我现在得继续忙了，工作进度有点落后……回聊。如果可以的话。
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|当然可以了。没问题。
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|扎格列欧斯，你房间又没有门，你怎么老是这么惊讶？
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|{#DialogueItalicFormat}嗳{#PreviousFormat}，等下，墨纪，塔纳，你们……你们两个……什么情况？总之，这里发生的事情我都可以解释……等等，你们怎么都在笑。哦……让我……让我先冷静一下。
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|你对我和塔纳托斯实在是太不放心了，扎格，我们认识的时间比你活着的时间都长。
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Thanatos|这么说吧，到目前为止，我们已经对彼此相当了解了。是这样吧，墨纪拉？
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|你看不出来我们现在不在上班吗，扎格列欧斯？
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|{#DialogueItalicFormat}哈{#PreviousFormat}！好吧……如果这是个梦的话，那我肯定要气急败坏了。不过……我猜只有一个办法能弄清楚了。
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|呼，好了，现在，呃，我刚刚说到哪儿了……
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|很好！我觉得我们已经达成了共识。我得走了，下次见，扎格，塔纳托斯。
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|哎呀，这，这可真是……这可真是……{#DialogueItalicFormat}嗯嗯{#PreviousFormat}。
BadgeSellerInfo01|Badge Seller Info 01|Zagreus|已经有一段时间没见面了，资源总监。等我在冥界的宝藏中尽情畅游的时候，我一定会见你一面的，顺便祝愿我会更喜欢自己的新职位。
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|我给你讲实话，兄弟。我上头的人很欣赏你。然后呢… 他们想找你合作一手，你有空不？
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Zagreus|我猜猜……他们想让我启用那个惩罚契约，让环境变得更危险，然后我接着杀穿冥界，如果我成功了，他们就会奖励我一个没用的小饰品。
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|错！我们现在说的可是件大事，兄弟，看到后面那个东西没有？小饰品。你怎么回事，怂了吗？
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|我就知道你行的，兄弟，新奖励怎么样？惩罚契约这种东西，都不是事，你知道吧？那当然了，你那个太简单了，我上我也行。
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Zagreus|等会，我明白了。我辛辛苦苦在这杀了八百个来回，然后我的奖励就是……就是一尊你的雕像？没别的意思，我觉得这东西挺好的，但是就是……也许本来就没什么好期待的。
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|兄嘚，雕像这块，之前实行的时候有点误会，你知道不？我给他们说，用我的原料做一些让我看起来很帅的东西，然后就成这样了。其他的雕像肯定好看得多，到时候你就知道了！
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|骨头，我想问你点事。你真的想用三个跟你差不多的雕像来煽动我使用惩罚契约？
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|你这样说我就不高兴了！你有见到第三个吗？你到底想表达什么？！也许是我错怪你了。我还以为你能做到！
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|你这么说只是想让我道歉然后给你解锁最后一个雕像吧？
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|你怎么——？如果我能动的话，我现在立刻就把这些雕像全部退货退款！如果有退款这么一说的话。
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|把你的雕像弄这样我真的很不好意思，兄嘚，真的。我看到它们的时候，我也懵了。但我转念一想，反正你也不可能全部解锁，我就释然了，你懂我意思吧？
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Zagreus|你这样也太小看我了，伙计。但是……我不该说你雕像的坏话。你一定花了很大功夫才收集了这些东西。
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|你最好这样想，朋友！那咱们扯平了。咱们可真经历了一场大冒险，可不咋的！这趟下来真是学到了不少，现在我们彼此了解更深了，对吧？
SkellyFirstMeeting|Skelly First Meeting|Skelly|你这地方不错啊，兄嘚！咱也别跟这废话了，我是来这办正事的。咱们开始吧！看看你到底有多大能耐！！
